No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
2.0,Taurean Prince,SF,79.0,218,"March 22, 1994",us,3,Baylor
22.0,Caris LeVert,SG,78.0,205,"August 25, 1994",us,3,Michigan
31.0,Jarrett Allen,C,83.0,237,"April 21, 1998",us,2,Texas
,Dzanan Musa,G-F,81.0,217,"May 8, 1999",ba,1,
0.0,Rodions Kurucs,SF,81.0,228,"February 5, 1998",lv,1,
12.0,Joe Harris,SG,78.0,220,"September 6, 1991",us,5,Virginia
8.0,Spencer Dinwiddie,SG,77.0,215,"April 6, 1993",us,5,Colorado
,Nicolas Claxton,F,83.0,215,"April 17, 1999",us,R,Georgia
,Kevin Durant,F-G,82.0,240,"September 29, 1988",us,12,Texas
6.0,DeAndre Jordan,C,83.0,265,"July 21, 1988",us,11,Texas A&M
11.0,Kyrie Irving,PG,74.0,195,"March 23, 1992",au,8,Duke
,Wilson Chandler,F,80.0,235,"May 10, 1987",us,11,DePaul
17.0,Garrett Temple,SG,77.0,195,"May 8, 1986",us,9,LSU
,Theo Pinson,G,77.0,212,"November 5, 1995",us,1,UNC
0.0,David Nwaba,SG,77.0,219,"January 14, 1993",us,3,Cal Poly
,Henry Ellenson  (TW),F,82.0,240,"January 13, 1997",us,3,Marquette
,Timothe Luwawu-Cabarrot  (TW),F,78.0,210,"May 9, 1995",fr,3,
