No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
17.0,Dennis Schroder,PG,73.0,172,"September 15, 1993",de,6,
12.0,Steven Adams,C,84.0,265,"July 20, 1993",nz,6,Pitt
8.0,Danilo Gallinari,PF,82.0,233,"August 8, 1988",it,10,
11.0,Abdel Nader,SF,78.0,225,"September 25, 1993",eg,2,"Northern Illinois, Iowa State"
,Andre Roberson,G-F,79.0,210,"December 4, 1991",us,5,Colorado
23.0,Terrance Ferguson,SG,79.0,190,"May 17, 1998",us,2,
2.0,Shai Gilgeous-Alexander,SG,78.0,181,"July 12, 1998",ca,1,Kentucky
3.0,Chris Paul,PG,72.0,175,"May 6, 1985",us,14,Wake Forest
6.0,Hamidou Diallo,SG,77.0,202,"July 31, 1998",us,1,Kentucky
30.0,Deonte Burton,SG,77.0,240,"January 31, 1994",us,1,"Marquette, Iowa State"
7.0,Darius Bazley,PF,80.0,208,"June 12, 2000",us,R,
9.0,Nerlens Noel,C,83.0,220,"April 10, 1994",us,5,Kentucky
33.0,Mike Muscala,C,83.0,240,"July 1, 1991",us,6,Bucknell
,Luguentz Dort  (TW),G,76.0,215,"April 19, 1999",ca,R,Arizona State
13.0,Justin Patton,C,84.0,241,"June 14, 1997",us,2,Creighton
,Devon Hall  (TW),G,77.0,215,"July 7, 1995",us,R,Virginia
