No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
99.0,Jae Crowder,SF,78.0,235,"July 6, 1990",us,7,Marquette
44.0,Solomon Hill,SF,79.0,225,"March 18, 1991",us,6,Arizona
,Josh Jackson,F-G,80.0,207,"February 10, 1997",us,2,Kansas
,Andre Iguodala,G-F,78.0,215,"January 28, 1984",us,15,Arizona
24.0,Dillon Brooks,SF,78.0,220,"January 22, 1996",ca,2,Oregon
13.0,Jaren Jackson Jr.,C,83.0,242,"September 15, 1999",us,1,Michigan State
3.0,Grayson Allen,SG,77.0,198,"October 8, 1995",us,1,Duke
1.0,Kyle Anderson,SF,81.0,230,"September 20, 1993",us,5,UCLA
,Yuta Watanabe  (TW),F,81.0,205,"October 13, 1994",jp,1,George Washington
0.0,De'Anthony Melton,PG,76.0,200,"May 28, 1998",us,1,USC
5.0,Bruno Caboclo,SF,81.0,218,"September 21, 1995",br,5,
12.0,Ja Morant,PG,75.0,175,"August 10, 1999",us,R,Murray State
15.0,Brandon Clarke,PF,80.0,210,"September 19, 1996",ca,R,"San Jose State, Gonzaga"
21.0,Tyus Jones,PG,74.0,196,"May 10, 1996",us,4,Duke
17.0,Jonas Valanciunas,C,84.0,265,"May 6, 1992",lt,7,
,John Konchar  (TW),G,77.0,210,"March 22, 1996",us,R,Purdue-Fort Wayne
23.0,Marko Guduric,SG,78.0,201,"March 8, 1995",rs,R,
