No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
27.0,Rudy Gobert,C,85.0,245,"June 26, 1992",fr,6,
10.0,Mike Conley,PG,73.0,175,"October 11, 1987",us,12,Ohio State
45.0,Donovan Mitchell,SG,75.0,215,"September 7, 1996",us,2,Louisville
13.0,Tony Bradley,C,82.0,248,"January 8, 1998",us,2,UNC
23.0,Royce O'Neale,PF,78.0,226,"June 5, 1993",us,2,Baylor
2.0,Joe Ingles,SF,80.0,226,"October 2, 1987",au,5,
,Dante Exum,G,78.0,190,"July 13, 1995",au,4,
31.0,Georges Niang,PF,80.0,230,"June 17, 1993",us,3,Iowa State
,Miye Oni,G,78.0,206,"August 4, 1997",us,R,Yale
44.0,Bojan Bogdanovic,SF,80.0,216,"April 18, 1989",ba,5,
5.0,Jarrell Brantley,PF,79.0,250,"June 7, 1996",us,R,College of Charleston
,Justin Wright-Foreman,G,74.0,190,"October 27, 1997",us,R,Hofstra
0.0,Nigel Williams-Goss,PG,75.0,190,"September 16, 1994",us,R,"Gonzaga, Washington"
8.0,Emmanuel Mudiay,PG,77.0,200,"March 5, 1996",cd,4,
22.0,Jeff Green,PF,81.0,235,"August 28, 1986",us,11,Georgetown
17.0,Ed Davis,C,82.0,225,"June 5, 1989",us,9,UNC
15.0,Stanton Kidd,SF,79.0,215,"March 18, 1992",us,R,"South Plains College, NC Central, Colorado State"
