No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
45.0,Denzel Valentine,SG,76.0,210,"November 16, 1993",us,2,Michigan State
32.0,Kris Dunn,PG,75.0,205,"March 18, 1994",us,3,Providence
24.0,Lauri Markkanen,PF,84.0,240,"May 22, 1997",fi,2,Arizona
,Cristiano Felicio,F-C,82.0,270,"July 7, 1992",br,4,
22.0,Otto Porter,SF,80.0,198,"June 3, 1993",us,6,Georgetown
,Chandler Hutchison,G,79.0,196,"April 26, 1996",us,1,Boise State
34.0,Wendell Carter Jr.,C,81.0,259,"April 16, 1999",us,1,Duke
8.0,Zach LaVine,SG,78.0,181,"March 10, 1995",us,5,UCLA
0.0,Coby White,PG,76.0,185,"February 16, 2000",us,R,UNC
12.0,Daniel Gafford,PF,82.0,234,"October 1, 1998",us,R,Arkansas
31.0,Tomas Satoransky,PG,79.0,198,"October 30, 1991",cz,3,
21.0,Thaddeus Young,PF,80.0,220,"June 21, 1988",us,12,Georgia Tech
51.0,Ryan Arcidiacono,PG,75.0,195,"March 26, 1994",us,2,Villanova
2.0,Luke Kornet,C,86.0,240,"July 15, 1995",us,2,Vanderbilt
3.0,Shaquille Harrison,PG,79.0,190,"October 6, 1993",us,2,Tulsa
,Adam Mokoka  (TW),G,77.0,190,"July 18, 1998",fr,R,
,Max Strus  (TW),G,78.0,215,"March 28, 1996",us,R,"Lewis, DePaul"
