No.,Player,Pos,Ht,Wt,Birth.Date,Var.7,Exp,College
5.0,Dejounte Murray,PG,77.0,170,"September 19, 1996",us,2,Washington
10.0,DeMar DeRozan,SG,79.0,220,"August 7, 1989",us,10,USC
25.0,Jakob Poltl,C,84.0,230,"October 15, 1995",at,3,Utah
4.0,Derrick White,PG,76.0,190,"July 2, 1994",us,2,Colorado
8.0,Patty Mills,PG,72.0,180,"August 11, 1988",au,10,Saint Mary's
12.0,LaMarcus Aldridge,C,83.0,260,"July 19, 1985",us,13,Texas
1.0,Lonnie Walker,SG,77.0,205,"December 14, 1998",us,1,Miami (FL)
18.0,Marco Belinelli,SG,77.0,210,"March 25, 1986",it,12,
11.0,Bryn Forbes,SG,75.0,190,"July 23, 1993",us,3,Michigan State
,Chimezie Metu,F,82.0,225,"March 22, 1997",us,1,USC
,Drew Eubanks  (TW),F,82.0,245,"February 1, 1997",us,1,Oregon State
,Luka Samanic,F,83.0,227,"January 9, 2000",hr,R,
,Keldon Johnson,G,78.0,211,"October 11, 1999",us,R,Kentucky
,Quinndary Weatherspoon  (TW),G,76.0,207,"September 10, 1996",us,R,Mississippi State
,DeMarre Carroll,F,80.0,215,"July 27, 1986",us,10,"Vanderbilt, Missouri"
22.0,Rudy Gay,PF,80.0,230,"August 17, 1986",us,13,UConn
41.0,Trey Lyles,PF,82.0,234,"November 5, 1995",ca,4,Kentucky
