"","Date","Start..ET.","Visitor.Neutral","PTS","Home.Neutral","PTS.1","Var.7","Var.8","Attend.","Notes"
"1","Thu, Nov 1, 2018","7:30p","Sacramento Kings",146,"Atlanta Hawks",115,"Box Score","","12,095",NA
"2","Thu, Nov 1, 2018","8:00p","Milwaukee Bucks",113,"Boston Celtics",117,"Box Score","","18,624",NA
"3","Thu, Nov 1, 2018","7:00p","Oklahoma City Thunder",111,"Charlotte Hornets",107,"Box Score","","14,583",NA
"4","Thu, Nov 1, 2018","7:00p","Denver Nuggets",110,"Cleveland Cavaliers",91,"Box Score","","19,432",NA
"5","Thu, Nov 1, 2018","7:00p","Los Angeles Clippers",113,"Philadelphia 76ers",122,"Box Score","","20,246",NA
"6","Thu, Nov 1, 2018","10:30p","New Orleans Pelicans",119,"Portland Trail Blazers",132,"Box Score","","18,921",NA
"7","Fri, Nov 2, 2018","7:30p","Houston Rockets",119,"Brooklyn Nets",111,"Box Score","","14,013",NA
"8","Fri, Nov 2, 2018","8:00p","Indiana Pacers",107,"Chicago Bulls",105,"Box Score","","19,704",NA
"9","Fri, Nov 2, 2018","8:30p","New York Knicks",118,"Dallas Mavericks",106,"Box Score","","20,008",NA
"10","Fri, Nov 2, 2018","10:30p","Minnesota Timberwolves",99,"Golden State Warriors",116,"Box Score","","19,596",NA
"11","Fri, Nov 2, 2018","7:00p","Los Angeles Clippers",120,"Orlando Magic",95,"Box Score","","15,953",NA
"12","Fri, Nov 2, 2018","10:00p","Toronto Raptors",107,"Phoenix Suns",98,"Box Score","","15,843",NA
"13","Fri, Nov 2, 2018","9:00p","Memphis Grizzlies",110,"Utah Jazz",100,"Box Score","","18,306",NA
"14","Fri, Nov 2, 2018","8:00p","Oklahoma City Thunder",134,"Washington Wizards",111,"Box Score","","20,409",NA
"15","Sat, Nov 3, 2018","7:30p","Miami Heat",118,"Atlanta Hawks",123,"Box Score","","16,303",NA
"16","Sat, Nov 3, 2018","8:00p","Houston Rockets",96,"Chicago Bulls",88,"Box Score","","20,505",NA
"17","Sat, Nov 3, 2018","7:00p","Cleveland Cavaliers",94,"Charlotte Hornets",126,"Box Score","","16,221",NA
"18","Sat, Nov 3, 2018","9:00p","Utah Jazz",88,"Denver Nuggets",103,"Box Score","","19,520",NA
"19","Sat, Nov 3, 2018","7:00p","Boston Celtics",101,"Indiana Pacers",102,"Box Score","","17,505",NA
"20","Sat, Nov 3, 2018","1:00p","Detroit Pistons",99,"Philadelphia 76ers",109,"Box Score","","20,289",NA
"21","Sat, Nov 3, 2018","10:00p","Los Angeles Lakers",114,"Portland Trail Blazers",110,"Box Score","","19,848",NA
"22","Sat, Nov 3, 2018","8:30p","New Orleans Pelicans",95,"San Antonio Spurs",109,"Box Score","","18,354",NA
"23","Sun, Nov 4, 2018","6:00p","Philadelphia 76ers",97,"Brooklyn Nets",122,"Box Score","","12,826",NA
"24","Sun, Nov 4, 2018","9:30p","Toronto Raptors",121,"Los Angeles Lakers",107,"Box Score","","18,997",NA
"25","Sun, Nov 4, 2018","3:30p","Sacramento Kings",109,"Milwaukee Bucks",144,"Box Score","","17,341",NA
"26","Sun, Nov 4, 2018","8:00p","Memphis Grizzlies",100,"Phoenix Suns",102,"Box Score","","13,074",NA
"27","Sun, Nov 4, 2018","9:00p","Minnesota Timberwolves",81,"Portland Trail Blazers",111,"Box Score","","19,522",NA
"28","Sun, Nov 4, 2018","7:00p","Orlando Magic",117,"San Antonio Spurs",110,"Box Score","","18,354",NA
"29","Sun, Nov 4, 2018","6:00p","New York Knicks",95,"Washington Wizards",108,"Box Score","","16,679",NA
"30","Mon, Nov 5, 2018","9:00p","Boston Celtics",107,"Denver Nuggets",115,"Box Score","","19,520",NA
"31","Mon, Nov 5, 2018","7:00p","Miami Heat",120,"Detroit Pistons",115,"Box Score","OT","14,148",NA
"32","Mon, Nov 5, 2018","10:30p","Memphis Grizzlies",101,"Golden State Warriors",117,"Box Score","","19,596",NA
"33","Mon, Nov 5, 2018","7:00p","Houston Rockets",98,"Indiana Pacers",94,"Box Score","","14,735",NA
"34","Mon, Nov 5, 2018","10:30p","Minnesota Timberwolves",109,"Los Angeles Clippers",120,"Box Score","","16,564",NA
"35","Mon, Nov 5, 2018","7:30p","Chicago Bulls",116,"New York Knicks",115,"Box Score","2OT","19,812",NA
"36","Mon, Nov 5, 2018","8:00p","New Orleans Pelicans",116,"Oklahoma City Thunder",122,"Box Score","","18,203",NA
"37","Mon, Nov 5, 2018","7:00p","Cleveland Cavaliers",100,"Orlando Magic",102,"Box Score","","15,009",NA
"38","Mon, Nov 5, 2018","9:00p","Toronto Raptors",124,"Utah Jazz",111,"Box Score","","18,306",NA
"39","Tue, Nov 6, 2018","7:00p","Atlanta Hawks",102,"Charlotte Hornets",113,"Box Score","","13,955",NA
"40","Tue, Nov 6, 2018","8:30p","Washington Wizards",100,"Dallas Mavericks",119,"Box Score","","19,234",NA
"41","Tue, Nov 6, 2018","9:00p","Brooklyn Nets",104,"Phoenix Suns",82,"Box Score","","14,205",NA
"42","Tue, Nov 6, 2018","10:00p","Milwaukee Bucks",103,"Portland Trail Blazers",118,"Box Score","","19,512",NA
"43","Wed, Nov 7, 2018","7:30p","New York Knicks",112,"Atlanta Hawks",107,"Box Score","","12,412",NA
"44","Wed, Nov 7, 2018","7:00p","Oklahoma City Thunder",95,"Cleveland Cavaliers",86,"Box Score","","19,432",NA
"45","Wed, Nov 7, 2018","8:00p","Philadelphia 76ers",100,"Indiana Pacers",94,"Box Score","","16,434",NA
"46","Wed, Nov 7, 2018","10:30p","Minnesota Timberwolves",110,"Los Angeles Lakers",114,"Box Score","","18,997",NA
"47","Wed, Nov 7, 2018","8:00p","Denver Nuggets",87,"Memphis Grizzlies",89,"Box Score","","15,832",NA
"48","Wed, Nov 7, 2018","7:30p","San Antonio Spurs",88,"Miami Heat",95,"Box Score","","19,600",NA
"49","Wed, Nov 7, 2018","8:00p","Chicago Bulls",98,"New Orleans Pelicans",107,"Box Score","","15,514",NA
"50","Wed, Nov 7, 2018","7:00p","Detroit Pistons",103,"Orlando Magic",96,"Box Score","","16,103",NA
"51","Wed, Nov 7, 2018","10:00p","Toronto Raptors",114,"Sacramento Kings",105,"Box Score","","17,583",NA
"52","Wed, Nov 7, 2018","9:00p","Dallas Mavericks",102,"Utah Jazz",117,"Box Score","","18,306",NA
"53","Thu, Nov 8, 2018","10:30p","Milwaukee Bucks",134,"Golden State Warriors",111,"Box Score","","19,596",NA
"54","Thu, Nov 8, 2018","8:00p","Houston Rockets",80,"Oklahoma City Thunder",98,"Box Score","","18,203",NA
"55","Thu, Nov 8, 2018","9:00p","Boston Celtics",116,"Phoenix Suns",109,"Box Score","OT","17,359",NA
"56","Thu, Nov 8, 2018","10:00p","Los Angeles Clippers",105,"Portland Trail Blazers",116,"Box Score","","19,170",NA
"57","Fri, Nov 9, 2018","7:30p","Detroit Pistons",124,"Atlanta Hawks",109,"Box Score","","14,759",NA
"58","Fri, Nov 9, 2018","9:00p","Brooklyn Nets",112,"Denver Nuggets",110,"Box Score","","19,520",NA
"59","Fri, Nov 9, 2018","8:00p","Indiana Pacers",110,"Miami Heat",102,"Box Score","","19,600",NA
"60","Fri, Nov 9, 2018","7:00p","Washington Wizards",108,"Orlando Magic",117,"Box Score","","16,562",NA
"61","Fri, Nov 9, 2018","7:00p","Charlotte Hornets",132,"Philadelphia 76ers",133,"Box Score","OT","20,424",NA
"62","Fri, Nov 9, 2018","10:00p","Minnesota Timberwolves",110,"Sacramento Kings",121,"Box Score","","17,583",NA
"63","Fri, Nov 9, 2018","9:30p","Boston Celtics",115,"Utah Jazz",123,"Box Score","","18,306",NA
"64","Sat, Nov 10, 2018","8:00p","Cleveland Cavaliers",98,"Chicago Bulls",99,"Box Score","","21,506",NA
"65","Sat, Nov 10, 2018","9:00p","Oklahoma City Thunder",96,"Dallas Mavericks",111,"Box Score","","19,818",NA
"66","Sat, Nov 10, 2018","8:30p","Brooklyn Nets",100,"Golden State Warriors",116,"Box Score","","19,596",NA
"67","Sat, Nov 10, 2018","3:30p","Milwaukee Bucks",126,"Los Angeles Clippers",128,"Box Score","OT","17,486",NA
"68","Sat, Nov 10, 2018","8:00p","Philadelphia 76ers",106,"Memphis Grizzlies",112,"Box Score","OT","16,904",NA
"69","Sat, Nov 10, 2018","8:00p","Washington Wizards",116,"Miami Heat",110,"Box Score","","19,600",NA
"70","Sat, Nov 10, 2018","7:00p","Phoenix Suns",99,"New Orleans Pelicans",119,"Box Score","","15,222",NA
"71","Sat, Nov 10, 2018","10:00p","Los Angeles Lakers",101,"Sacramento Kings",86,"Box Score","","17,583",NA
"72","Sat, Nov 10, 2018","8:30p","Houston Rockets",89,"San Antonio Spurs",96,"Box Score","","18,354",NA
"73","Sat, Nov 10, 2018","3:00p","New York Knicks",112,"Toronto Raptors",128,"Box Score","","19,800",NA
"74","Sun, Nov 11, 2018","8:00p","Milwaukee Bucks",121,"Denver Nuggets",114,"Box Score","","19,520",NA
"75","Sun, Nov 11, 2018","3:30p","Charlotte Hornets",113,"Detroit Pistons",103,"Box Score","","15,133",NA
"76","Sun, Nov 11, 2018","7:00p","Indiana Pacers",103,"Houston Rockets",115,"Box Score","","18,055",NA
"77","Sun, Nov 11, 2018","9:30p","Atlanta Hawks",106,"Los Angeles Lakers",107,"Box Score","","18,997",NA
"78","Sun, Nov 11, 2018","7:30p","Orlando Magic",115,"New York Knicks",89,"Box Score","","19,812",NA
"79","Sun, Nov 11, 2018","9:00p","Boston Celtics",94,"Portland Trail Blazers",100,"Box Score","","19,712",NA
"80","Mon, Nov 12, 2018","8:00p","Dallas Mavericks",103,"Chicago Bulls",98,"Box Score","","19,012",NA
"81","Mon, Nov 12, 2018","10:30p","Golden State Warriors",116,"Los Angeles Clippers",121,"Box Score","OT","19,068",NA
"82","Mon, Nov 12, 2018","8:00p","Utah Jazz",96,"Memphis Grizzlies",88,"Box Score","","13,477",NA
