"","Rk","G","Date","Age","Tm","Var.6","Opp","Var.8","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","X..."
"1",1,1,"2019-04-05","28-197","SAS","@","WAS","W (+17)",0,"4:21",1,4,0.25,0,0,NA,0,0,NA,1,0,1,0,0,1,1,1,2,-0.4,-6
"2",2,2,"2019-04-07","28-199","SAS","@","CLE","W (+22)",0,"5:50",1,1,1,0,0,NA,0,2,0,0,1,1,1,0,0,0,4,2,0.3,-4
"3",3,3,"2019-04-10","28-202","SAS","","DAL","W (+11)",0,"2:36",1,1,1,0,0,NA,0,0,NA,1,0,1,0,0,0,2,1,2,0,-6
