PG,PG,SG,SG,SF,SF,PF,PF,C,P
Damian Lillard,Ricky Rubio,CJ McCollum,Bogdan Bogdanovic,Rudy Gay,Jaron Blossomgame,Blake Griffin,Serge Ibaka,Brook Lopez,280.7
Damian Lillard,Ben Simmons,CJ McCollum,Buddy Hield,Rudy Gay,James III,Larry Jr,Derrick Favors,Brook Lopez,237.4
Ricky Rubio,Demetrius Jackson,Buddy Hield,Khris Middleton,Kawhi Leonard,Rudy Gay,Serge Ibaka,Derrick Favors,Brook Lopez,269.5
Ricky Rubio,Demetrius Jackson,Jrue Holiday,Bogdan Bogdanovic,Kevin Durant,Rudy Gay,Pascal Siakam,Larry Jr,Brook Lopez,240.4
Damian Lillard,Demetrius Jackson,Bogdan Bogdanovic,Khris Middleton,Rudy Gay,James III,Serge Ibaka,Larry Jr,Joel Embiid,237.4
Damian Lillard,Ricky Rubio,Buddy Hield,Khris Middleton,Rudy Gay,Jaron Blossomgame,Pascal Siakam,Larry Jr,Willie Cauley-Stein,258.8
Ben Simmons,Demetrius Jackson,CJ McCollum,Bogdan Bogdanovic,Rudy Gay,Jaron Blossomgame,Pascal Siakam,Derrick Favors,Joel Embiid,282.9
Damian Lillard,Demetrius Jackson,CJ McCollum,Buddy Hield,Kevin Durant,Rudy Gay,Serge Ibaka,Pascal Siakam,Salah Mejri,292.5
Stephen Curry,Demetrius Jackson,Buddy Hield,Jrue Holiday,Rudy Gay,Jaron Blossomgame,Serge Ibaka,Larry Jr,Rudy Gobert,234.1
Ricky Rubio,Demetrius Jackson,CJ McCollum,Bogdan Bogdanovic,Kawhi Leonard,James III,Serge Ibaka,Pascal Siakam,Rudy Gobert,283.6
Ricky Rubio,Demetrius Jackson,CJ McCollum,Jrue Holiday,Rudy Gay,James III,Blake Griffin,Derrick Favors,Andre Drummond,264.9
Stephen Curry,Ricky Rubio,Buddy Hield,Bogdan Bogdanovic,Rudy Gay,James III,Blake Griffin,Pascal Siakam,Salah Mejri,290.5
Damian Lillard,Ricky Rubio,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,James III,Serge Ibaka,Derrick Favors,Jakob Poeltl,284.4
Ben Simmons,Ricky Rubio,CJ McCollum,Buddy Hield,Kawhi Leonard,Jaron Blossomgame,Serge Ibaka,Larry Jr,Salah Mejri,259.0
Stephen Curry,Ricky Rubio,Jrue Holiday,Khris Middleton,Jaron Blossomgame,James III,Serge Ibaka,Pascal Siakam,Brook Lopez,244.8
Damian Lillard,Demetrius Jackson,Jrue Holiday,Bogdan Bogdanovic,Giannis Antetokounmpo,Jaron Blossomgame,Serge Ibaka,Derrick Favors,Salah Mejri,270.6
Damian Lillard,Demetrius Jackson,Buddy Hield,Bogdan Bogdanovic,Kawhi Leonard,Jaron Blossomgame,Blake Griffin,Pascal Siakam,Jakob Poeltl,291.9
Stephen Curry,Demetrius Jackson,CJ McCollum,Khris Middleton,Kevin Durant,Rudy Gay,Larry Jr,Derrick Favors,Jakob Poeltl,232.3
Ben Simmons,Ricky Rubio,Jrue Holiday,Bogdan Bogdanovic,Jaron Blossomgame,James III,Larry Jr,Derrick Favors,Rudy Gobert,218.9
Ben Simmons,Demetrius Jackson,Buddy Hield,Bogdan Bogdanovic,Rudy Gay,Solomon Hill,Blake Griffin,Serge Ibaka,Andre Drummond,305.8
Damian Lillard,Ben Simmons,Jrue Holiday,Bogdan Bogdanovic,Rudy Gay,OG Anunoby,Serge Ibaka,Pascal Siakam,Jakob Poeltl,293.9
Damian Lillard,Stephen Curry,CJ McCollum,Khris Middleton,Jaron Blossomgame,James III,Blake Griffin,Derrick Favors,Salah Mejri,252.7
Damian Lillard,Demetrius Jackson,CJ McCollum,Khris Middleton,Kawhi Leonard,Jaron Blossomgame,Draymond Green,Larry Jr,Brook Lopez,216.4
Ricky Rubio,Raul Neto,CJ McCollum,Bogdan Bogdanovic,Kawhi Leonard,Rudy Gay,Larry Jr,Derrick Favors,Willie Cauley-Stein,275.0
Stephen Curry,Ben Simmons,Bogdan Bogdanovic,Khris Middleton,Rudy Gay,Jaron Blossomgame,Draymond Green,Serge Ibaka,Salah Mejri,279.5
Ben Simmons,Raul Neto,Buddy Hield,Jrue Holiday,Rudy Gay,Jaron Blossomgame,Blake Griffin,Pascal Siakam,Brook Lopez,274.4
Damian Lillard,Jalen Brunson,Bogdan Bogdanovic,Khris Middleton,Kawhi Leonard,Rudy Gay,Pascal Siakam,Derrick Favors,Salah Mejri,320.6
Ben Simmons,Ricky Rubio,Jrue Holiday,Khris Middleton,Rudy Gay,Solomon Hill,Blake Griffin,Larry Jr,Salah Mejri,229.0
Ricky Rubio,Demetrius Jackson,CJ McCollum,Buddy Hield,Kevin Durant,Jaron Blossomgame,Draymond Green,Derrick Favors,Rudy Gobert,258.8
Ben Simmons,Demetrius Jackson,Buddy Hield,Khris Middleton,Rudy Gay,James III,Draymond Green,Pascal Siakam,Rudy Gobert,260.5
Ben Simmons,Tim Frazier,CJ McCollum,Khris Middleton,Rudy Gay,James III,Blake Griffin,Serge Ibaka,Willie Cauley-Stein,296.5
Stephen Curry,Patty Mills,Buddy Hield,Bogdan Bogdanovic,Kawhi Leonard,James III,Serge Ibaka,Larry Jr,Brook Lopez,272.2
Ricky Rubio,Shaun Livingston,CJ McCollum,Buddy Hield,Giannis Antetokounmpo,Rudy Gay,Pascal Siakam,Derrick Favors,Jakob Poeltl,278.2
Ben Simmons,Demetrius Jackson,CJ McCollum,Bogdan Bogdanovic,Kevin Durant,James III,Blake Griffin,Larry Jr,Salah Mejri,238.6
Damian Lillard,Raul Neto,CJ McCollum,Jrue Holiday,Rudy Gay,James III,Draymond Green,Serge Ibaka,Rudy Gobert,263.8
Damian Lillard,Stephen Curry,Bogdan Bogdanovic,Kyle Korver,Rudy Gay,Jaron Blossomgame,Larry Jr,Derrick Favors,Andre Drummond,252.8
Damian Lillard,Stephen Curry,CJ McCollum,Bogdan Bogdanovic,Solomon Hill,James III,Pascal Siakam,Larry Jr,Willie Cauley-Stein,263.4
Ben Simmons,Raul Neto,CJ McCollum,Khris Middleton,Kevin Durant,Jaron Blossomgame,Serge Ibaka,Derrick Favors,Brook Lopez,260.5
Ricky Rubio,Demetrius Jackson,James Harden,Buddy Hield,Jaron Blossomgame,James III,Blake Griffin,Larry Jr,Brook Lopez,185.8
Ricky Rubio,Demetrius Jackson,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Evan Turner,Serge Ibaka,Larry Jr,Willie Cauley-Stein,296.2
