PG,PG,SG,SG,SF,SF,PF,PF,C,P
Quinn Cook,Shabazz Napier,Furkan Korkmaz,Garrett Temple,DeMarre Carroll,Joe Harris,Rodions Kurucs,Jonas Jerebko,Greg Monroe,90.2
Quinn Cook,Shabazz Napier,Furkan Korkmaz,Garrett Temple,Jonathon Simmons,Alfonzo McKinnie,Ed Davis,Jonah Bolden,Ivica Zubac,85.7
Spencer Dinwiddie,Quinn Cook,DeMar DeRozan,Garrett Temple,Davis Bertans,Jared Dudley,Ed Davis,Jonah Bolden,Mason Plumlee,106.1
Ben Simmons,Shabazz Napier,Garrett Temple,Torrey Craig,James III,Wilson Chandler,Rodions Kurucs,Jonas Jerebko,Ivica Zubac,161.0
Spencer Dinwiddie,Quinn Cook,Monte Morris,Caris LeVert,DeMarre Carroll,Joe Harris,Ed Davis,Jonah Bolden,Ivica Zubac,163.6
Spencer Dinwiddie,Quinn Cook,Monte Morris,Torrey Craig,James III,Wilson Chandler,LaMarcus Aldridge,Jonas Jerebko,Jakob Poeltl,129.9
Spencer Dinwiddie,Patty Mills,Lou Williams,Monte Morris,Jonathon Simmons,Alfonzo McKinnie,Ed Davis,Jonah Bolden,Mason Plumlee,110.3
Spencer Dinwiddie,Derrick White,Monte Morris,Marco Belinelli,Davis Bertans,Jared Dudley,Jonah Bolden,Rondae Hollis-Jefferson,Jarrett Allen,164.0
Patty Mills,Landry Shamet,Gary Harris,Torrey Craig,DeMarre Carroll,Joe Harris,LaMarcus Aldridge,Jonah Bolden,Greg Monroe,159.8
Spencer Dinwiddie,Landry Shamet,Caris LeVert,Torrey Craig,Jonathon Simmons,Alfonzo McKinnie,JaMychal Green,Jonas Jerebko,Greg Monroe,168.9
Quinn Cook,Landry Shamet,Gary Harris,Torrey Craig,Davis Bertans,Jared Dudley,Ed Davis,Jonas Jerebko,Jakob Poeltl,85.4
Spencer Dinwiddie,Landry Shamet,Gary Harris,Marco Belinelli,James III,Wilson Chandler,Ed Davis,Jonas Jerebko,Greg Monroe,121.5
Spencer Dinwiddie,Landry Shamet,Furkan Korkmaz,Torrey Craig,Joe Harris,Jared Dudley,Jonah Bolden,Rondae Hollis-Jefferson,Jakob Poeltl,92.1
Patrick Beverley,Landry Shamet,Furkan Korkmaz,Garrett Temple,Jonathon Simmons,Alfonzo McKinnie,Rondae Hollis-Jefferson,Kevon Looney,Greg Monroe,113.7
