PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kyrie Irving,Spencer Dinwiddie,Bradley Beal,Andrew Wiggins,Bojan Bogdanovic,Gordon Hayward,Blake Griffin,Serge Ibaka,Thomas Bryant,248.8
Kyrie Irving,Darren Collison,Buddy Hield,Bogdan Bogdanovic,Kawhi Leonard,Bojan Bogdanovic,Domantas Sabonis,Serge Ibaka,Thomas Bryant,270.3
Spencer Dinwiddie,Stephen Curry,Buddy Hield,Andrew Wiggins,Kawhi Leonard,Bojan Bogdanovic,Thaddeus Young,Pascal Siakam,Thomas Bryant,242.0
Kyrie Irving,Darren Collison,Buddy Hield,Bradley Beal,Bojan Bogdanovic,Gordon Hayward,Thaddeus Young,Jayson Tatum,Al Horford,281.3
Darren Collison,Spencer Dinwiddie,Bogdan Bogdanovic,Andrew Wiggins,Bojan Bogdanovic,Gordon Hayward,Domantas Sabonis,Jayson Tatum,Karl-Anthony Towns,283.5
Darren Collison,Spencer Dinwiddie,James Harden,Buddy Hield,Bojan Bogdanovic,Gordon Hayward,Larry Jr,Serge Ibaka,Jarrett Allen,258.6
Kyrie Irving,Spencer Dinwiddie,James Harden,Bogdan Bogdanovic,Bojan Bogdanovic,James III,Thaddeus Young,Serge Ibaka,Al Horford,229.8
Darren Collison,Spencer Dinwiddie,Bradley Beal,Bogdan Bogdanovic,Kawhi Leonard,Gordon Hayward,Larry Jr,Pascal Siakam,Thomas Bryant,277.7
Kyrie Irving,Darren Collison,James Harden,Andrew Wiggins,Bojan Bogdanovic,James III,Jayson Tatum,Pascal Siakam,Thomas Bryant,254.8
Kyrie Irving,Stephen Curry,Bogdan Bogdanovic,Andrew Wiggins,Bojan Bogdanovic,Gordon Hayward,Larry Jr,Thaddeus Young,Jarrett Allen,249.2
Kyrie Irving,Spencer Dinwiddie,Buddy Hield,Bradley Beal,Bojan Bogdanovic,James III,Domantas Sabonis,Pascal Siakam,Jarrett Allen,198.7
Darren Collison,Stephen Curry,Bradley Beal,Andrew Wiggins,Bojan Bogdanovic,James III,Domantas Sabonis,Serge Ibaka,Al Horford,225.6
Darren Collison,Spencer Dinwiddie,Bradley Beal,Josh Okogie,Kawhi Leonard,Bojan Bogdanovic,Thaddeus Young,Serge Ibaka,Willie Cauley-Stein,257.3
Kyrie Irving,Stephen Curry,Buddy Hield,Bogdan Bogdanovic,James III,Gordon Hayward,Blake Griffin,Pascal Siakam,Thomas Bryant,267.4
