PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kyrie Irving,Spencer Dinwiddie,Buddy Hield,Dwyane Wade,Paul George,Bojan Bogdanovic,Blake Griffin,Serge Ibaka,Alex Len,298.0
Kemba Walker,Spencer Dinwiddie,Dennis Schroder,Andrew Wiggins,Paul George,Bojan Bogdanovic,Blake Griffin,Larry Jr,Thomas Bryant,273.1
Kyrie Irving,Kemba Walker,Bogdan Bogdanovic,Andrew Wiggins,Paul George,Bojan Bogdanovic,Jayson Tatum,Derrick Favors,Alex Len,302.6
Russell Westbrook,Ricky Rubio,Buddy Hield,Andrew Wiggins,Paul George,Bojan Bogdanovic,Serge Ibaka,Derrick Favors,Thomas Bryant,273.1
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Pascal Siakam,Thaddeus Young,Alex Len,291.1
Kyrie Irving,Spencer Dinwiddie,Buddy Hield,Andrew Wiggins,Paul George,Josh Richardson,Jayson Tatum,Pascal Siakam,Thomas Bryant,282.2
Stephen Curry,Kyrie Irving,Dennis Schroder,Dwyane Wade,Paul George,Bojan Bogdanovic,Pascal Siakam,Derrick Favors,Thomas Bryant,217.8
Kemba Walker,Ricky Rubio,Dennis Schroder,Dwyane Wade,Paul George,Josh Richardson,Serge Ibaka,Jayson Tatum,Alex Len,234.6
Russell Westbrook,Spencer Dinwiddie,Dwyane Wade,Andrew Wiggins,Paul George,Justise Winslow,Domantas Sabonis,Derrick Favors,Alex Len,259.3
Russell Westbrook,Spencer Dinwiddie,Jeremy Lamb,Dwyane Wade,Paul George,Bojan Bogdanovic,Noah Vonleh,Jayson Tatum,Thomas Bryant,251.5
Kyrie Irving,Spencer Dinwiddie,Bradley Beal,Dennis Schroder,Paul George,Justise Winslow,Jayson Tatum,Larry Jr,Alex Len,233.0
Kyrie Irving,Kemba Walker,Dennis Schroder,Buddy Hield,Paul George,Justise Winslow,Serge Ibaka,Thaddeus Young,Thomas Bryant,328.9
Kyrie Irving,Spencer Dinwiddie,Dennis Schroder,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Serge Ibaka,Derrick Favors,Joel Embiid,299.4
Kemba Walker,Spencer Dinwiddie,Dennis Schroder,Buddy Hield,Bojan Bogdanovic,Josh Richardson,Anthony Davis,Derrick Favors,Alex Len,277.0
Ricky Rubio,Spencer Dinwiddie,Bogdan Bogdanovic,Dwyane Wade,Paul George,Josh Richardson,Blake Griffin,Domantas Sabonis,Thomas Bryant,262.4
Stephen Curry,Ricky Rubio,Buddy Hield,CJ McCollum,Paul George,Bojan Bogdanovic,Jayson Tatum,Pascal Siakam,Alex Len,241.2
Darren Collison,Ricky Rubio,Bradley Beal,Dennis Schroder,Paul George,Bojan Bogdanovic,Blake Griffin,Derrick Favors,Alex Len,217.6
Kyrie Irving,Darren Collison,Bradley Beal,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Serge Ibaka,Larry Jr,Thomas Bryant,257.8
Ben Simmons,Stephen Curry,Dennis Schroder,Andrew Wiggins,Paul George,Bojan Bogdanovic,Serge Ibaka,Noah Vonleh,Alex Len,243.2
Kyrie Irving,Darren Collison,Dwyane Wade,Andrew Wiggins,Paul George,Justise Winslow,Blake Griffin,Noah Vonleh,Thomas Bryant,248.9
Kyrie Irving,Kemba Walker,Dennis Schroder,Jeremy Lamb,Bojan Bogdanovic,Justise Winslow,Blake Griffin,Pascal Siakam,Alex Len,244.9
Ben Simmons,Kemba Walker,Buddy Hield,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Noah Vonleh,Pascal Siakam,Thomas Bryant,294.1
Ricky Rubio,Spencer Dinwiddie,Bogdan Bogdanovic,Andrew Wiggins,Paul George,Kevin Durant,Serge Ibaka,Larry Jr,Alex Len,278.2
Kemba Walker,Spencer Dinwiddie,Bradley Beal,CJ McCollum,Paul George,Bojan Bogdanovic,Noah Vonleh,Domantas Sabonis,Alex Len,301.4
Kyrie Irving,Ricky Rubio,Buddy Hield,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Anthony Davis,Larry Jr,Alex Len,248.0
Kemba Walker,Spencer Dinwiddie,Bogdan Bogdanovic,Dwyane Wade,Giannis Antetokounmpo,Bojan Bogdanovic,Serge Ibaka,Derrick Favors,Thomas Bryant,281.0
Darren Collison,Spencer Dinwiddie,CJ McCollum,Andrew Wiggins,Paul George,Josh Richardson,Blake Griffin,Thaddeus Young,Alex Len,315.3
Stephen Curry,Spencer Dinwiddie,Bogdan Bogdanovic,Khris Middleton,Paul George,Justise Winslow,Serge Ibaka,Jayson Tatum,Thomas Bryant,267.3
Ricky Rubio,Spencer Dinwiddie,Buddy Hield,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Jayson Tatum,Larry Jr,Joel Embiid,230.2
Russell Westbrook,Spencer Dinwiddie,Buddy Hield,CJ McCollum,Bojan Bogdanovic,Justise Winslow,Blake Griffin,Thaddeus Young,Thomas Bryant,321.2
Stephen Curry,Kemba Walker,Buddy Hield,Dwyane Wade,Paul George,Justise Winslow,Noah Vonleh,Larry Jr,Alex Len,208.5
Russell Westbrook,Ricky Rubio,Dwyane Wade,Andrew Wiggins,Bojan Bogdanovic,Josh Richardson,Blake Griffin,Noah Vonleh,Alex Len,210.7
Kemba Walker,Darren Collison,Dwyane Wade,Andrew Wiggins,Paul George,Bojan Bogdanovic,Serge Ibaka,Domantas Sabonis,Brook Lopez,274.1
Kyrie Irving,Darren Collison,Dennis Schroder,Buddy Hield,Paul George,Bojan Bogdanovic,Jayson Tatum,Domantas Sabonis,Dewayne Dedmon,229.3
Damian Lillard,Darren Collison,Buddy Hield,Andrew Wiggins,Paul George,Justise Winslow,Serge Ibaka,Jayson Tatum,Alex Len,241.2
Stephen Curry,Spencer Dinwiddie,Jeremy Lamb,Jrue Holiday,Paul George,Bojan Bogdanovic,Larry Jr,Derrick Favors,Alex Len,231.6
Russell Westbrook,Kyrie Irving,Bogdan Bogdanovic,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Pascal Siakam,Domantas Sabonis,Thomas Bryant,251.3
Kemba Walker,Spencer Dinwiddie,Buddy Hield,Khris Middleton,Paul George,Bojan Bogdanovic,Jayson Tatum,Thaddeus Young,Brook Lopez,336.8
Ben Simmons,Spencer Dinwiddie,Dwyane Wade,Khris Middleton,Paul George,Josh Richardson,Pascal Siakam,Larry Jr,Alex Len,235.2
Darren Collison,Spencer Dinwiddie,Buddy Hield,Bogdan Bogdanovic,Paul George,Giannis Antetokounmpo,Noah Vonleh,Derrick Favors,Alex Len,254.3
