PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Jerian Grant,Dennis Schroder,Andrew Wiggins,Troy Jr,Wes Iwundu,Blake Griffin,Serge Ibaka,Nikola Vucevic,182.7
Russell Westbrook,Jerian Grant,Bradley Beal,Andrew Wiggins,Chandler Parsons,Wes Iwundu,Pascal Siakam,Aaron Gordon,Thomas Bryant,212.5
Russell Westbrook,Jevon Carter,Dennis Schroder,Andrew Wiggins,Norman Powell,Wes Iwundu,Larry Jr,Aaron Gordon,Karl-Anthony Towns,171.8
Russell Westbrook,Jerian Grant,Bradley Beal,Dennis Schroder,Wesley Johnson,Abdel Nader,Blake Griffin,Aaron Gordon,Steven Adams,231.4
Russell Westbrook,Brandon Knight,Bradley Beal,Dennis Schroder,OG Anunoby,Wes Iwundu,Larry Jr,Serge Ibaka,Andre Drummond,187.4
Russell Westbrook,Ish Smith,Bradley Beal,Andrew Wiggins,Bruno Caboclo,Wes Iwundu,Blake Griffin,Larry Jr,Steven Adams,242.9
Russell Westbrook,Brandon Knight,Dennis Schroder,Andrew Wiggins,Wesley Johnson,Abdel Nader,Pascal Siakam,Serge Ibaka,Karl-Anthony Towns,202.4
Russell Westbrook,Jerian Grant,Dennis Schroder,Andrew Wiggins,Jabari Parker,Bruno Caboclo,Pascal Siakam,Larry Jr,Andre Drummond,202.7
Russell Westbrook,Jevon Carter,Bradley Beal,Andrew Wiggins,Norman Powell,OG Anunoby,Blake Griffin,Serge Ibaka,Thomas Bryant,231.5
Russell Westbrook,Jerian Grant,Bradley Beal,Dennis Schroder,Bruno Caboclo,Norman Powell,Ivan Rabb,Serge Ibaka,Karl-Anthony Towns,206.6
Russell Westbrook,Brandon Knight,Bradley Beal,Dennis Schroder,Jeff Green,Troy Jr,Pascal Siakam,Blake Griffin,Thomas Bryant,208.7
Russell Westbrook,Matthew Dellavedova,Dennis Schroder,Andrew Wiggins,Jeff Green,Chandler Parsons,Aaron Gordon,Serge Ibaka,Andre Drummond,213.8
Russell Westbrook,Isaiah Briscoe,Dennis Schroder,Andrew Wiggins,Cedi Osman,Jonathan Isaac,Blake Griffin,Aaron Gordon,Thomas Bryant,210.5
Russell Westbrook,Matthew Dellavedova,Bradley Beal,Dennis Schroder,Wes Iwundu,Wesley Johnson,Ivan Rabb,Pascal Siakam,Nikola Vucevic,220.1
Russell Westbrook,DJ Augustin,Dennis Schroder,Andrew Wiggins,OG Anunoby,Chandler Parsons,Pascal Siakam,Blake Griffin,Steven Adams,215.7
Russell Westbrook,Jerian Grant,Bradley Beal,Andrew Wiggins,OG Anunoby,Abdel Nader,Ivan Rabb,Larry Jr,Nikola Vucevic,228.6
Jerian Grant,Jevon Carter,Bradley Beal,Dennis Schroder,OG Anunoby,Wes Iwundu,Pascal Siakam,Blake Griffin,Karl-Anthony Towns,205.0
Russell Westbrook,Matthew Dellavedova,Bradley Beal,Dennis Schroder,Trevor Ariza,Bruno Caboclo,Larry Jr,Aaron Gordon,Thomas Bryant,213.2
Russell Westbrook,Jeremy Lin,Andrew Wiggins,Bruce Brown,Wes Iwundu,Abdel Nader,Blake Griffin,Aaron Gordon,Andre Drummond,223.1
