PG,PG,SG,SG,SF,SF,PF,PF,C,P
Darren Collison,Spencer Dinwiddie,Jrue Holiday,Bruce Brown,LeBron James,Bojan Bogdanovic,Domantas Sabonis,Derrick Favors,Andre Drummond,295.3
Jamal Murray,Spencer Dinwiddie,Jrue Holiday,Quincy Pondexter,Andrew Wiggins,Bojan Bogdanovic,Blake Griffin,Domantas Sabonis,Nikola Jokic,315.5
Stephen Curry,Ricky Rubio,Jrue Holiday,Torrey Craig,Andrew Wiggins,Bojan Bogdanovic,Domantas Sabonis,Thaddeus Young,Andre Drummond,322.3
Ricky Rubio,Spencer Dinwiddie,Jrue Holiday,Langston Galloway,Rudy Gay,Bojan Bogdanovic,Blake Griffin,Kyle Kuzma,Andre Drummond,268.0
Stephen Curry,Spencer Dinwiddie,Jrue Holiday,Grayson Allen,Andrew Wiggins,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Karl-Anthony Towns,302.2
Stephen Curry,Spencer Dinwiddie,Jrue Holiday,Kentavious Caldwell-Pope,Rudy Gay,Bojan Bogdanovic,Domantas Sabonis,Paul Millsap,Rudy Gobert,303.9
Ricky Rubio,Spencer Dinwiddie,Jrue Holiday,Frank Jackson,Kevin Durant,Bojan Bogdanovic,Thaddeus Young,Derrick Favors,Nikola Jokic,292.6
Ricky Rubio,Darren Collison,Jrue Holiday,Kentavious Caldwell-Pope,LeBron James,Bojan Bogdanovic,Blake Griffin,Thaddeus Young,Mitchell Robinson,262.9
Darren Collison,Spencer Dinwiddie,Jrue Holiday,Troy Daniels,Andrew Wiggins,Bojan Bogdanovic,Anthony Davis,Thaddeus Young,JaVale McGee,299.7
Stephen Curry,Darren Collison,Jrue Holiday,Frank Jackson,Rudy Gay,Bojan Bogdanovic,Blake Griffin,Derrick Favors,JaVale McGee,279.9
Ricky Rubio,Darren Collison,Jrue Holiday,Troy Daniels,Kevin Durant,Bojan Bogdanovic,Kyle Kuzma,Domantas Sabonis,Karl-Anthony Towns,287.8
Stephen Curry,Jamal Murray,Jrue Holiday,Langston Galloway,Kevin Durant,Bojan Bogdanovic,Domantas Sabonis,Derrick Favors,Mitchell Robinson,273.1
