PG,PG,SG,SG,SF,SF,PF,PF,C,P
Spencer Dinwiddie,Ricky Rubio,CJ McCollum,Buddy Hield,Giannis Antetokounmpo,Gordon Hayward,Jayson Tatum,Marvin III,Ekpe Udoh,201.4
Damian Lillard,Kyrie Irving,CJ McCollum,Bogdan Bogdanovic,Gordon Hayward,Juancho Hernangomez,Jayson Tatum,Marvin III,Al Horford,243.0
Spencer Dinwiddie,Jalen Brunson,Bogdan Bogdanovic,Khris Middleton,Giannis Antetokounmpo,Gordon Hayward,Derrick Favors,Marvin III,Al Horford,245.6
Damian Lillard,Spencer Dinwiddie,Buddy Hield,Khris Middleton,Gordon Hayward,Juancho Hernangomez,Kyle Kuzma,Jayson Tatum,JaVale McGee,192.3
Spencer Dinwiddie,Ricky Rubio,Jrue Holiday,Bogdan Bogdanovic,Gordon Hayward,Juancho Hernangomez,Jayson Tatum,Blake Griffin,Jarrett Allen,224.9
Kyrie Irving,Ricky Rubio,CJ McCollum,Khris Middleton,Gordon Hayward,Juancho Hernangomez,Kyle Kuzma,Aaron Gordon,Brook Lopez,210.1
Damian Lillard,Ricky Rubio,Buddy Hield,Jrue Holiday,Gordon Hayward,Juancho Hernangomez,Paul Millsap,Marvin III,Brook Lopez,190.9
Kyrie Irving,Spencer Dinwiddie,CJ McCollum,Jrue Holiday,Gordon Hayward,Juancho Hernangomez,Paul Millsap,Derrick Favors,JaVale McGee,206.0
Spencer Dinwiddie,Ricky Rubio,Bogdan Bogdanovic,Khris Middleton,Giannis Antetokounmpo,Jonathon Simmons,Jayson Tatum,Paul Millsap,Brook Lopez,233.9
Kyrie Irving,Jamal Murray,Buddy Hield,Khris Middleton,Gordon Hayward,Juancho Hernangomez,Derrick Favors,Marvin III,Jarrett Allen,200.8
Kyrie Irving,Ricky Rubio,Buddy Hield,Jrue Holiday,Gordon Hayward,Jared Dudley,Kyle Kuzma,Jayson Tatum,Al Horford,214.2
Kyrie Irving,Spencer Dinwiddie,Jrue Holiday,Khris Middleton,Gordon Hayward,Stanley Johnson,Jayson Tatum,Marvin III,Rudy Gobert,239.8
Spencer Dinwiddie,Jamal Murray,CJ McCollum,Bogdan Bogdanovic,Gordon Hayward,Jared Dudley,Anthony Davis,Marvin III,Brook Lopez,242.7
Kyrie Irving,Spencer Dinwiddie,Buddy Hield,Bogdan Bogdanovic,Gordon Hayward,Jonathon Simmons,Blake Griffin,Marvin III,JaVale McGee,210.4
Damian Lillard,Spencer Dinwiddie,CJ McCollum,Khris Middleton,Gordon Hayward,Dorian Finney-Smith,Blake Griffin,Marvin III,Jarrett Allen,221.9
Damian Lillard,Ricky Rubio,CJ McCollum,Jrue Holiday,Gordon Hayward,Jonathon Simmons,Jayson Tatum,Aaron Gordon,JaVale McGee,207.1
Spencer Dinwiddie,Ricky Rubio,CJ McCollum,Bogdan Bogdanovic,Giannis Antetokounmpo,Juancho Hernangomez,Kyle Kuzma,Derrick Favors,Jakob Poeltl,202.5
Spencer Dinwiddie,Jamal Murray,Bogdan Bogdanovic,Khris Middleton,Gordon Hayward,Juancho Hernangomez,Paul Millsap,Aaron Gordon,Rudy Gobert,207.5
Damian Lillard,Ricky Rubio,Bogdan Bogdanovic,Khris Middleton,Gordon Hayward,Jared Dudley,Kyle Kuzma,Marvin III,Rudy Gobert,218.3
Jamal Murray,Jalen Brunson,CJ McCollum,Bogdan Bogdanovic,Giannis Antetokounmpo,Gordon Hayward,Jayson Tatum,Paul Millsap,Jakob Poeltl,203.3
Jamal Murray,Ricky Rubio,CJ McCollum,Khris Middleton,Gordon Hayward,Stanley Johnson,Jayson Tatum,Blake Griffin,Al Horford,223.7
Damian Lillard,Jamal Murray,Jrue Holiday,Bogdan Bogdanovic,Gordon Hayward,Stanley Johnson,Kyle Kuzma,Jayson Tatum,Brook Lopez,233.8
Spencer Dinwiddie,Frank Jackson,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Gordon Hayward,Kyle Kuzma,Noah Vonleh,Brook Lopez,237.9
Damian Lillard,Ricky Rubio,CJ McCollum,Bogdan Bogdanovic,Gerald Green,Gordon Hayward,Blake Griffin,Derrick Favors,Brook Lopez,256.2
Kyrie Irving,Ricky Rubio,Bogdan Bogdanovic,Khris Middleton,Gordon Hayward,Dorian Finney-Smith,Jayson Tatum,Derrick Favors,Andre Drummond,255.3
Ricky Rubio,Jalen Brunson,CJ McCollum,Khris Middleton,Giannis Antetokounmpo,Juancho Hernangomez,Noah Vonleh,Marvin III,Jarrett Allen,204.1
Damian Lillard,Spencer Dinwiddie,Buddy Hield,Jrue Holiday,Gordon Hayward,Stanley Johnson,Aaron Gordon,Derrick Favors,Al Horford,220.4
Jamal Murray,Ricky Rubio,Buddy Hield,Bogdan Bogdanovic,Gordon Hayward,Stanley Johnson,Aaron Gordon,Marvin III,Nikola Vucevic,192.0
Kyrie Irving,Jamal Murray,CJ McCollum,Buddy Hield,Gordon Hayward,Jonathon Simmons,Paul Millsap,Aaron Gordon,Al Horford,197.5
Spencer Dinwiddie,Ricky Rubio,James Harden,CJ McCollum,Gordon Hayward,Jared Dudley,Noah Vonleh,Paul Millsap,Al Horford,222.5
Spencer Dinwiddie,Jamal Murray,CJ McCollum,Buddy Hield,Gordon Hayward,Dorian Finney-Smith,Kyle Kuzma,Derrick Favors,Nikola Vucevic,201.0
Damian Lillard,Spencer Dinwiddie,CJ McCollum,Bogdan Bogdanovic,Gordon Hayward,Evan Turner,Kyle Kuzma,Aaron Gordon,Willie Cauley-Stein,207.7
Damian Lillard,Jamal Murray,Jrue Holiday,Khris Middleton,Gordon Hayward,Jonathon Simmons,Noah Vonleh,Marvin III,Al Horford,231.0
Kyrie Irving,Jamal Murray,CJ McCollum,Jrue Holiday,Gordon Hayward,Dorian Finney-Smith,Jayson Tatum,Noah Vonleh,Jarrett Allen,233.4
Ricky Rubio,Jalen Brunson,Jrue Holiday,Bogdan Bogdanovic,Giannis Antetokounmpo,Stanley Johnson,Jayson Tatum,Marvin III,JaVale McGee,217.3
Damian Lillard,Kyrie Irving,Bogdan Bogdanovic,Khris Middleton,Gordon Hayward,Davis Bertans,Noah Vonleh,Paul Millsap,Brook Lopez,243.5
Damian Lillard,Ricky Rubio,CJ McCollum,Buddy Hield,Gordon Hayward,Stanley Johnson,Kyle Kuzma,Noah Vonleh,Jarrett Allen,192.2
Jamal Murray,Ricky Rubio,CJ McCollum,Jrue Holiday,Gordon Hayward,Lance Stephenson,Derrick Favors,Marvin III,Rudy Gobert,212.2
Jamal Murray,Ricky Rubio,Jrue Holiday,Khris Middleton,Gordon Hayward,Dorian Finney-Smith,Kyle Kuzma,Paul Millsap,JaVale McGee,180.6
Kyrie Irving,Ricky Rubio,Khris Middleton,Treveon Graham,Giannis Antetokounmpo,Gordon Hayward,Paul Millsap,Marvin III,Jakob Poeltl,198.3
