PG,PG,SG,SG,SF,SF,PF,PF,C,P
Michael Carter-Williams,Cameron Payne,James Harden,Svi Mykhailiuk,Rudy Gay,Danilo Gallinari,Aaron Gordon,Montrezl Harrell,Nikola Vucevic,233.1
Michael Carter-Williams,Cameron Payne,James Harden,Sindarius Thornwell,LeBron James,Danilo Gallinari,Kyle Kuzma,Dragan Bender,JaVale McGee,197.3
Brandon Knight,Bryn Forbes,James Harden,Svi Mykhailiuk,LeBron James,Danilo Gallinari,Aaron Gordon,Khem Birch,JaVale McGee,192.3
Ryan Arcidiacono,Michael Carter-Williams,James Harden,Svi Mykhailiuk,LeBron James,Gary Clark,Kyle Kuzma,Khem Birch,Nikola Vucevic,230.5
Brandon Knight,Cameron Payne,James Harden,Quincy Pondexter,LeBron James,Rudy Gay,Aaron Gordon,Kyle Kuzma,Cristiano Felicio,235.2
Patty Mills,Shaquille Harrison,James Harden,Svi Mykhailiuk,LeBron James,Danilo Gallinari,Kyle Kuzma,Montrezl Harrell,Jakob Poeltl,232.7
Shaquille Harrison,Michael Carter-Williams,James Harden,Marco Belinelli,LeBron James,Michael Beasley,Aaron Gordon,Montrezl Harrell,JaVale McGee,189.2
Ryan Arcidiacono,Devin Harris,James Harden,Svi Mykhailiuk,LeBron James,Rudy Gay,Montrezl Harrell,Dragan Bender,JaVale McGee,206.1
Patty Mills,Bryn Forbes,James Harden,Quincy Pondexter,LeBron James,Rudy Gay,Montrezl Harrell,Khem Birch,Nikola Vucevic,265.5
Jalen Brunson,Devin Harris,James Harden,Jamal Crawford,Rudy Gay,Danilo Gallinari,Aaron Gordon,Kyle Kuzma,JaVale McGee,270.2
Devin Harris,Cameron Payne,James Harden,Troy Daniels,LeBron James,Michael Beasley,Aaron Gordon,Khem Birch,Nikola Vucevic,209.9
Shaquille Harrison,Cameron Payne,James Harden,Jamal Crawford,LeBron James,Gary Clark,Montrezl Harrell,Dragan Bender,Nikola Vucevic,221.1
Derrick White,Patrick Beverley,James Harden,Avery Bradley,LeBron James,Rudy Gay,Kyle Kuzma,Khem Birch,JaVale McGee,265.0
DJ Augustin,Bryn Forbes,James Harden,Troy Daniels,LeBron James,Gary Clark,Kyle Kuzma,Montrezl Harrell,JaVale McGee,200.1
Derrick White,Patrick Beverley,James Harden,Marco Belinelli,Danilo Gallinari,Gary Clark,Aaron Gordon,Kyle Kuzma,Nikola Vucevic,279.8
Shaquille Harrison,Michael Carter-Williams,Kentavious Caldwell-Pope,Quincy Pondexter,LeBron James,Danilo Gallinari,Aaron Gordon,Kyle Kuzma,Nikola Vucevic,210.5
