PG,PG,SG,SG,SF,SF,PF,PF,C,P
Stephen Curry,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,Justise Winslow,Marvin III,Noah Vonleh,Thomas Bryant,248.5
Stephen Curry,Jamal Murray,Andrew Wiggins,Dwyane Wade,Justise Winslow,Josh Richardson,Blake Griffin,Noah Vonleh,Brook Lopez,286.0
Ben Simmons,Jamal Murray,Andrew Wiggins,Buddy Hield,Justise Winslow,Josh Richardson,Marvin III,Larry Jr,Willie Cauley-Stein,247.9
Ben Simmons,Jamal Murray,Bogdan Bogdanovic,Dwyane Wade,Josh Richardson,James III,Marvin III,Blake Griffin,Thomas Bryant,222.8
Ben Simmons,Jamal Murray,Bogdan Bogdanovic,Dwyane Wade,Giannis Antetokounmpo,Justise Winslow,Noah Vonleh,Jonah Bolden,Willie Cauley-Stein,223.2
Jamal Murray,Kadeem Allen,Andrew Wiggins,Bogdan Bogdanovic,Giannis Antetokounmpo,Justise Winslow,Blake Griffin,Larry Jr,Thomas Bryant,280.4
Stephen Curry,Jamal Murray,Andrew Wiggins,Bogdan Bogdanovic,Kevin Durant,Josh Richardson,Larry Jr,Jonah Bolden,Jarrett Allen,258.9
Stephen Curry,Jamal Murray,Bradley Beal,Dwyane Wade,Justise Winslow,James III,Draymond Green,Larry Jr,Thomas Bryant,231.9
Ben Simmons,Jamal Murray,Buddy Hield,Dwyane Wade,Kevin Durant,James III,Larry Jr,Noah Vonleh,Brook Lopez,178.8
Ben Simmons,Stephen Curry,Andrew Wiggins,Bogdan Bogdanovic,Justise Winslow,James III,Marvin III,Draymond Green,Brook Lopez,233.1
Stephen Curry,Jamal Murray,Buddy Hield,Frank Mason,Giannis Antetokounmpo,Justise Winslow,Larry Jr,Jonah Bolden,Brook Lopez,233.7
Ben Simmons,Jamal Murray,Andrew Wiggins,Bradley Beal,Justise Winslow,James III,Blake Griffin,Jonah Bolden,Jarrett Allen,248.2
Ben Simmons,Stephen Curry,Buddy Hield,Dwyane Wade,Justise Winslow,Josh Richardson,Draymond Green,Jonah Bolden,Jarrett Allen,231.1
Jamal Murray,Devin Harris,Andrew Wiggins,Dwyane Wade,Giannis Antetokounmpo,Justise Winslow,Marvin III,Draymond Green,Jarrett Allen,255.7
Stephen Curry,Kadeem Allen,Andrew Wiggins,Bogdan Bogdanovic,Giannis Antetokounmpo,Josh Richardson,Marvin III,Noah Vonleh,Willie Cauley-Stein,271.6
Jamal Murray,Elie Okobo,Buddy Hield,Bogdan Bogdanovic,Giannis Antetokounmpo,Josh Richardson,Marvin III,Draymond Green,Brook Lopez,265.9
Jamal Murray,Devin Harris,Andrew Wiggins,Buddy Hield,Kevin Durant,Josh Richardson,Blake Griffin,Draymond Green,Thomas Bryant,277.6
Ben Simmons,Stephen Curry,Jrue Holiday,Frank Mason,Justise Winslow,Josh Richardson,Larry Jr,Noah Vonleh,Thomas Bryant,202.6
Stephen Curry,Jamal Murray,Jrue Holiday,Frank Mason,Justise Winslow,James III,Marvin III,Blake Griffin,Willie Cauley-Stein,240.7
Frank Jackson,Jamal Murray,Andrew Wiggins,Bradley Beal,Giannis Antetokounmpo,Josh Richardson,Marvin III,Jonah Bolden,Thomas Bryant,288.5
Jamal Murray,Devin Harris,Bradley Beal,Dwyane Wade,Kevin Durant,Josh Richardson,Marvin III,Noah Vonleh,Willie Cauley-Stein,234.0
Frank Jackson,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Justise Winslow,Josh Richardson,Blake Griffin,Jonah Bolden,Joel Embiid,225.1
Ben Simmons,Kadeem Allen,Bogdan Bogdanovic,Dwyane Wade,Kevin Durant,Justise Winslow,Marvin III,Larry Jr,Jarrett Allen,182.9
Stephen Curry,Jamal Murray,Andrew Wiggins,Buddy Hield,Giannis Antetokounmpo,James III,Draymond Green,Noah Vonleh,Jordan Bell,246.3
Jamal Murray,Elie Okobo,Dwyane Wade,Frank Mason,Giannis Antetokounmpo,Kevin Durant,Marvin III,Larry Jr,Thomas Bryant,188.2
Stephen Curry,Jamal Murray,Buddy Hield,Dwyane Wade,Kevin Durant,Deng Adel,Blake Griffin,Jonah Bolden,Willie Cauley-Stein,251.2
Jamal Murray,Elie Okobo,Bradley Beal,Bogdan Bogdanovic,Justise Winslow,Josh Richardson,Larry Jr,Noah Vonleh,Andre Drummond,254.1
Stephen Curry,Devin Harris,Andrew Wiggins,Dwyane Wade,Giannis Antetokounmpo,Kevin Durant,Noah Vonleh,Jonah Bolden,Thomas Bryant,238.9
Ben Simmons,Jamal Murray,Andrew Wiggins,Frank Mason,Kevin Durant,Deng Adel,Marvin III,Blake Griffin,Brook Lopez,229.6
Jamal Murray,Elie Okobo,Jrue Holiday,Andrew Wiggins,Kevin Durant,Justise Winslow,Draymond Green,Larry Jr,Brook Lopez,253.4
Stephen Curry,Devin Harris,Bradley Beal,Bogdan Bogdanovic,Justise Winslow,Josh Richardson,Marvin III,Blake Griffin,Jordan Bell,249.3
Stephen Curry,Elie Okobo,Bradley Beal,Dwyane Wade,Kevin Durant,Justise Winslow,Marvin III,Jonah Bolden,Brook Lopez,219.1
Jamal Murray,Kadeem Allen,Jrue Holiday,Dwyane Wade,Justise Winslow,Josh Richardson,Marvin III,Jonah Bolden,Karl-Anthony Towns,256.8
