PG,PG,SG,SG,SF,SF,PF,PF,C,P
Eric Bledsoe,Ricky Rubio,Khris Middleton,Austin Rivers,Thabo Sefolosha,Glenn III,PJ Tucker,Blake Griffin,Zaza Pachulia,143.3
Eric Bledsoe,George Hill,Sterling Brown,Pat Connaughton,Nikola Mirotic,Glenn III,Ersan Ilyasova,Blake Griffin,Zaza Pachulia,159.8
Reggie Jackson,Tim Frazier,James Harden,Langston Galloway,Jae Crowder,Glenn III,DJ Wilson,Blake Griffin,Zaza Pachulia,176.1
Reggie Jackson,Tim Frazier,Luke Kennard,Pat Connaughton,Joe Ingles,Danuel House,Georges Niang,Blake Griffin,Zaza Pachulia,145.7
Ish Smith,George Hill,James Harden,Langston Galloway,Danuel House,Thabo Sefolosha,Ersan Ilyasova,Blake Griffin,Zaza Pachulia,141.1
Ish Smith,Tim Frazier,James Harden,Sterling Brown,Joe Ingles,Thabo Sefolosha,PJ Tucker,Ersan Ilyasova,Thon Maker,130.9
Ricky Rubio,Chris Paul,Donovan Mitchell,Pat Connaughton,Royce O'Neale,Nikola Mirotic,Ersan Ilyasova,Georges Niang,Thon Maker,228.3
Reggie Jackson,Chris Paul,Sterling Brown,Austin Rivers,Giannis Antetokounmpo,Danuel House,Ersan Ilyasova,Georges Niang,Thon Maker,250.3
Eric Bledsoe,Reggie Jackson,Khris Middleton,Sterling Brown,Royce O'Neale,Nikola Mirotic,Ersan Ilyasova,Georges Niang,Brook Lopez,224.7
Eric Bledsoe,Tim Frazier,Eric Gordon,Donovan Mitchell,Jae Crowder,Nikola Mirotic,DJ Wilson,Kenneth Faried,Clint Capela,168.4
Reggie Jackson,Chris Paul,Wayne Ellington,Langston Galloway,Royce O'Neale,Joe Ingles,PJ Tucker,Georges Niang,Rudy Gobert,214.2
Eric Bledsoe,Tim Frazier,Khris Middleton,Langston Galloway,Giannis Antetokounmpo,Jae Crowder,Ersan Ilyasova,Georges Niang,Zaza Pachulia,215.6
Eric Bledsoe,Tim Frazier,Eric Gordon,Luke Kennard,Royce O'Neale,Glenn III,Ersan Ilyasova,Georges Niang,Rudy Gobert,160.7
Eric Bledsoe,Tim Frazier,Wayne Ellington,Langston Galloway,Danuel House,Glenn III,PJ Tucker,Georges Niang,Clint Capela,100.2
Chris Paul,Tim Frazier,Khris Middleton,Langston Galloway,Thabo Sefolosha,Gerald Green,PJ Tucker,Georges Niang,Brook Lopez,156.6
Chris Paul,Tim Frazier,James Harden,Donovan Mitchell,Jae Crowder,Glenn III,Ersan Ilyasova,Georges Niang,Clint Capela,221.5
Chris Paul,George Hill,Sterling Brown,Langston Galloway,Jae Crowder,Gerald Green,Derrick Favors,Blake Griffin,Brook Lopez,259.3
Reggie Jackson,Ish Smith,Luke Kennard,Pat Connaughton,Jae Crowder,Gerald Green,DJ Wilson,Blake Griffin,Brook Lopez,188.2
Eric Bledsoe,George Hill,James Harden,Eric Gordon,Jae Crowder,Gerald Green,Kenneth Faried,Blake Griffin,Zaza Pachulia,176.3
Eric Bledsoe,Ish Smith,Eric Gordon,Wayne Ellington,Joe Ingles,Glenn III,Derrick Favors,Georges Niang,Thon Maker,137.1
Eric Bledsoe,Ricky Rubio,Eric Gordon,Wayne Ellington,Nikola Mirotic,Thabo Sefolosha,PJ Tucker,Georges Niang,Rudy Gobert,158.6
Eric Bledsoe,Chris Paul,Eric Gordon,Wayne Ellington,Royce O'Neale,Gerald Green,DJ Wilson,Georges Niang,Clint Capela,176.8
Eric Bledsoe,Reggie Jackson,Eric Gordon,Wayne Ellington,Giannis Antetokounmpo,Danuel House,Kenneth Faried,Georges Niang,Zaza Pachulia,192.0
Chris Paul,Tim Frazier,Eric Gordon,Wayne Ellington,Jae Crowder,Danuel House,Derrick Favors,Georges Niang,Rudy Gobert,198.2
Reggie Jackson,George Hill,Eric Gordon,Wayne Ellington,Royce O'Neale,Thabo Sefolosha,Derrick Favors,Georges Niang,Andre Drummond,186.9
George Hill,Tim Frazier,Eric Gordon,Wayne Ellington,Giannis Antetokounmpo,Gerald Green,PJ Tucker,Georges Niang,Thon Maker,138.3
Chris Paul,Ish Smith,Eric Gordon,Wayne Ellington,Giannis Antetokounmpo,Thabo Sefolosha,Ersan Ilyasova,Georges Niang,Brook Lopez,224.4
Chris Paul,George Hill,Eric Gordon,Wayne Ellington,Joe Ingles,Nikola Mirotic,Georges Niang,Blake Griffin,Zaza Pachulia,173.7
Eric Bledsoe,Chris Paul,Eric Gordon,Wayne Ellington,Thabo Sefolosha,Glenn III,Kenneth Faried,Blake Griffin,Andre Drummond,196.6
Reggie Jackson,Chris Paul,Eric Gordon,Wayne Ellington,Jae Crowder,Thabo Sefolosha,PJ Tucker,DJ Wilson,Thon Maker,179.9
Ricky Rubio,Chris Paul,Eric Gordon,Wayne Ellington,Giannis Antetokounmpo,Royce O'Neale,Derrick Favors,Kenneth Faried,Thon Maker,270.1
Chris Paul,Ish Smith,Eric Gordon,Wayne Ellington,Nikola Mirotic,Gerald Green,PJ Tucker,Derrick Favors,Andre Drummond,185.0
Ricky Rubio,Chris Paul,Eric Gordon,Donovan Mitchell,Joe Ingles,Thabo Sefolosha,Derrick Favors,Georges Niang,Clint Capela,235.6
Eric Bledsoe,Chris Paul,Eric Gordon,Langston Galloway,Jae Crowder,Joe Ingles,PJ Tucker,Derrick Favors,Zaza Pachulia,219.8
Chris Paul,Tim Frazier,Eric Gordon,Sterling Brown,Joe Ingles,Nikola Mirotic,DJ Wilson,Derrick Favors,Thon Maker,191.5
Chris Paul,Ish Smith,Khris Middleton,Eric Gordon,Royce O'Neale,Joe Ingles,Ersan Ilyasova,Derrick Favors,Rudy Gobert,224.6
Reggie Jackson,Chris Paul,Eric Gordon,Pat Connaughton,Joe Ingles,Glenn III,Derrick Favors,Kenneth Faried,Brook Lopez,216.8
Eric Bledsoe,Chris Paul,Donovan Mitchell,Wayne Ellington,Joe Ingles,Nikola Mirotic,Derrick Favors,Kenneth Faried,Rudy Gobert,240.6
Chris Paul,George Hill,Wayne Ellington,Langston Galloway,Joe Ingles,Thabo Sefolosha,Ersan Ilyasova,Derrick Favors,Thon Maker,181.7
Chris Paul,Ish Smith,Sterling Brown,Wayne Ellington,Joe Ingles,Danuel House,Derrick Favors,Blake Griffin,Clint Capela,208.1
