PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Jamal Murray,Lou Williams,CJ McCollum,Danilo Gallinari,Rudy Gay,Derrick Favors,Jayson Tatum,Thomas Bryant,321.6
Stephen Curry,Damian Lillard,CJ McCollum,Jeremy Lamb,Rudy Gay,Gordon Hayward,Noah Vonleh,Derrick Favors,Thomas Bryant,273.4
Damian Lillard,Jamal Murray,Lou Williams,Kent Bazemore,Rudy Gay,Gordon Hayward,Montrezl Harrell,Derrick Favors,Al Horford,287.1
Kyrie Irving,Damian Lillard,Bradley Beal,Lou Williams,Danilo Gallinari,Gordon Hayward,Derrick Favors,Ivan Rabb,Thomas Bryant,304.0
Jamal Murray,Brandon Goodwin,Bradley Beal,Jeremy Lamb,Kevin Durant,Rudy Gay,Montrezl Harrell,Derrick Favors,Thomas Bryant,297.0
Kemba Walker,Brandon Goodwin,Lou Williams,Jeremy Lamb,Rudy Gay,Gordon Hayward,Larry Jr,Derrick Favors,Rudy Gobert,235.3
Kemba Walker,Brandon Goodwin,Bradley Beal,CJ McCollum,Danilo Gallinari,Gordon Hayward,Montrezl Harrell,Derrick Favors,Al Horford,286.7
Stephen Curry,Kyrie Irving,Lou Williams,Kent Bazemore,Rudy Gay,Rodney Hood,Larry Jr,Derrick Favors,Thomas Bryant,242.0
Stephen Curry,Jamal Murray,Bradley Beal,Kent Bazemore,Gordon Hayward,Miles Bridges,Derrick Favors,Jayson Tatum,Thomas Bryant,311.2
Jamal Murray,Brandon Goodwin,CJ McCollum,Kent Bazemore,Rudy Gay,Gordon Hayward,Anthony Davis,Larry Jr,Thomas Bryant,235.1
Damian Lillard,Jamal Murray,Bradley Beal,CJ McCollum,Danilo Gallinari,Miles Bridges,Larry Jr,Montrezl Harrell,Thomas Bryant,290.7
Stephen Curry,Jamal Murray,Bradley Beal,CJ McCollum,Rudy Gay,Rodney Hood,Derrick Favors,Ivan Rabb,Rudy Gobert,284.3
Stephen Curry,Brandon Goodwin,Lou Williams,Jeremy Lamb,Danilo Gallinari,Miles Bridges,Anthony Davis,Derrick Favors,Thomas Bryant,252.1
Kyrie Irving,Damian Lillard,Lou Williams,Jeremy Lamb,Rudy Gay,Miles Bridges,Montrezl Harrell,Jayson Tatum,Thomas Bryant,282.5
Kyrie Irving,Jamal Murray,Jrue Holiday,CJ McCollum,Gordon Hayward,Rodney Hood,Montrezl Harrell,Derrick Favors,Thomas Bryant,310.8
Damian Lillard,Brandon Goodwin,Lou Williams,CJ McCollum,Danilo Gallinari,Rudy Gay,Noah Vonleh,Montrezl Harrell,Rudy Gobert,269.4
Stephen Curry,Jamal Murray,Jeremy Lamb,Ron Baker,Danilo Gallinari,Rudy Gay,Larry Jr,Derrick Favors,Al Horford,251.3
Jamal Murray,Brandon Goodwin,Bradley Beal,Lou Williams,Rudy Gay,Gordon Hayward,Noah Vonleh,Jayson Tatum,Nikola Jokic,305.8
Kemba Walker,Damian Lillard,Lou Williams,Jeremy Lamb,Danilo Gallinari,Rodney Hood,Larry Jr,Noah Vonleh,Thomas Bryant,264.4
Kemba Walker,Damian Lillard,Bradley Beal,Jeremy Lamb,Rudy Gay,Rodney Hood,Derrick Favors,Jayson Tatum,Ian Mahinmi,271.7
Stephen Curry,Kemba Walker,Lou Williams,CJ McCollum,Gordon Hayward,Miles Bridges,Draymond Green,Montrezl Harrell,Thomas Bryant,285.8
Kemba Walker,Damian Lillard,CJ McCollum,Kent Bazemore,Kevin Durant,Miles Bridges,Derrick Favors,Ivan Rabb,Thomas Bryant,261.1
Kemba Walker,Jamal Murray,Kent Bazemore,Jeremy Lamb,Danilo Gallinari,Gordon Hayward,Montrezl Harrell,Ivan Rabb,Thomas Bryant,293.9
Damian Lillard,Brandon Goodwin,Jrue Holiday,Kent Bazemore,Danilo Gallinari,Rudy Gay,Draymond Green,Derrick Favors,Thomas Bryant,263.8
Kyrie Irving,Kemba Walker,Lou Williams,CJ McCollum,Rudy Gay,Gordon Hayward,Noah Vonleh,Ivan Rabb,Al Horford,268.4
Kyrie Irving,Brandon Goodwin,Jrue Holiday,CJ McCollum,Rudy Gay,Miles Bridges,Derrick Favors,Jayson Tatum,Rudy Gobert,253.9
Stephen Curry,Kemba Walker,Bradley Beal,Lou Williams,Rudy Gay,Miles Bridges,Noah Vonleh,Derrick Favors,Jakob Poeltl,276.1
Stephen Curry,Kemba Walker,Bradley Beal,Courtney Lee,Danilo Gallinari,Rudy Gay,Larry Jr,Ivan Rabb,Thomas Bryant,255.0
Stephen Curry,Jamal Murray,Lou Williams,CJ McCollum,Gordon Hayward,Rodney Hood,Larry Jr,Jayson Tatum,Al Horford,252.2
Stephen Curry,Brandon Goodwin,James Harden,CJ McCollum,Danilo Gallinari,Gordon Hayward,Jayson Tatum,Ivan Rabb,Thomas Bryant,273.3
Damian Lillard,Brandon Goodwin,Bradley Beal,Lou Williams,Kevin Durant,Miles Bridges,Derrick Favors,Jayson Tatum,Al Horford,260.5
Kyrie Irving,Jamal Murray,CJ McCollum,Kent Bazemore,Danilo Gallinari,Miles Bridges,Noah Vonleh,Derrick Favors,Al Horford,279.8
Damian Lillard,Brandon Goodwin,James Harden,CJ McCollum,Rudy Gay,Rodney Hood,Larry Jr,Derrick Favors,Al Horford,227.0
