PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Spencer Dinwiddie,Lou Williams,Jeremy Lamb,Kawhi Leonard,Danilo Gallinari,Montrezl Harrell,Pascal Siakam,Karl-Anthony Towns,283.8
Kemba Walker,Spencer Dinwiddie,Jrue Holiday,Buddy Hield,Kawhi Leonard,Danilo Gallinari,Marvin III,Noah Vonleh,Brook Lopez,273.3
Stephen Curry,Spencer Dinwiddie,Buddy Hield,Lou Williams,Kevin Durant,Danilo Gallinari,Serge Ibaka,Pascal Siakam,Brook Lopez,250.4
Kemba Walker,Spencer Dinwiddie,Jrue Holiday,Lou Williams,Kevin Durant,Theo Pinson,Marvin III,Serge Ibaka,Karl-Anthony Towns,277.5
Kemba Walker,Spencer Dinwiddie,Bradley Beal,Lou Williams,Giannis Antetokounmpo,Dzanan Musa,Marvin III,Montrezl Harrell,Brook Lopez,258.3
Stephen Curry,Spencer Dinwiddie,Buddy Hield,Bradley Beal,Danilo Gallinari,Troy Jr,Marvin III,Montrezl Harrell,Karl-Anthony Towns,255.6
Kemba Walker,Spencer Dinwiddie,Jrue Holiday,Bradley Beal,Kawhi Leonard,Troy Jr,Serge Ibaka,Pascal Siakam,Jarrett Allen,276.0
Stephen Curry,Spencer Dinwiddie,Jrue Holiday,Jeremy Lamb,Kawhi Leonard,Dzanan Musa,Serge Ibaka,Noah Vonleh,Karl-Anthony Towns,263.1
Stephen Curry,Spencer Dinwiddie,Bradley Beal,Lou Williams,Kawhi Leonard,Theo Pinson,Marvin III,Pascal Siakam,Willie Cauley-Stein,259.1
Kemba Walker,Spencer Dinwiddie,Bradley Beal,Jeremy Lamb,Giannis Antetokounmpo,Danilo Gallinari,Serge Ibaka,Noah Vonleh,Thomas Bryant,238.6
Stephen Curry,Spencer Dinwiddie,Jrue Holiday,Lou Williams,Giannis Antetokounmpo,Troy Jr,Montrezl Harrell,Noah Vonleh,Jarrett Allen,284.6
Kemba Walker,Spencer Dinwiddie,Buddy Hield,Bradley Beal,Kevin Durant,Dzanan Musa,Noah Vonleh,Pascal Siakam,Karl-Anthony Towns,273.9
Kemba Walker,Spencer Dinwiddie,Buddy Hield,Jeremy Lamb,Giannis Antetokounmpo,Troy Jr,Marvin III,Pascal Siakam,Willie Cauley-Stein,254.2
Kemba Walker,Stephen Curry,Jrue Holiday,Lou Williams,Danilo Gallinari,Dzanan Musa,Serge Ibaka,Montrezl Harrell,Willie Cauley-Stein,292.3
Kemba Walker,Stephen Curry,Lou Williams,Jeremy Lamb,Kawhi Leonard,Troy Jr,Marvin III,Serge Ibaka,Brook Lopez,242.1
Stephen Curry,Spencer Dinwiddie,Bradley Beal,Jeremy Lamb,Kevin Durant,Theo Pinson,Serge Ibaka,Montrezl Harrell,Jarrett Allen,276.6
Kemba Walker,Spencer Dinwiddie,Khris Middleton,Buddy Hield,Kawhi Leonard,Theo Pinson,Serge Ibaka,Montrezl Harrell,Willie Cauley-Stein,302.9
