PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Jamal Murray,Dennis Schroder,Kent Bazemore,Bojan Bogdanovic,Rudy Gay,Anthony Davis,Noah Vonleh,Thomas Bryant,263.7
Jamal Murray,Ricky Rubio,Jeremy Lamb,Dennis Schroder,Bojan Bogdanovic,Kawhi Leonard,Blake Griffin,Domantas Sabonis,Thomas Bryant,251.9
Kemba Walker,Ricky Rubio,Dennis Schroder,Kent Bazemore,Paul George,Danilo Gallinari,Domantas Sabonis,Noah Vonleh,Thomas Bryant,284.8
Jamal Murray,Darren Collison,Andrew Wiggins,Dennis Schroder,Paul George,Rudy Gay,Thaddeus Young,Domantas Sabonis,Thomas Bryant,301.6
Ricky Rubio,Darren Collison,Dennis Schroder,Kent Bazemore,Rudy Gay,Kawhi Leonard,Domantas Sabonis,Anthony Davis,Dewayne Dedmon,272.2
Ricky Rubio,Darren Collison,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Danilo Gallinari,Serge Ibaka,Anthony Davis,Thomas Bryant,254.3
Jamal Murray,Kemba Walker,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Danilo Gallinari,Derrick Favors,Noah Vonleh,Rudy Gobert,310.5
Kemba Walker,Darren Collison,Dennis Schroder,Kent Bazemore,Bojan Bogdanovic,Kawhi Leonard,Aaron Gordon,Thaddeus Young,Thomas Bryant,265.1
Jamal Murray,Ricky Rubio,Bradley Beal,Kent Bazemore,Bojan Bogdanovic,Rudy Gay,Derrick Favors,Domantas Sabonis,Rudy Gobert,335.9
Jamal Murray,Ricky Rubio,Jeremy Lamb,Dennis Schroder,Rudy Gay,Danilo Gallinari,Thaddeus Young,Anthony Davis,Mitchell Robinson,260.0
Jamal Murray,Darren Collison,Jeremy Lamb,Kent Bazemore,Paul George,Kawhi Leonard,Derrick Favors,Noah Vonleh,Thomas Bryant,298.7
Jamal Murray,Ricky Rubio,Bradley Beal,Andrew Wiggins,Rudy Gay,Kawhi Leonard,Serge Ibaka,Noah Vonleh,Thomas Bryant,293.7
Kemba Walker,Darren Collison,Jeremy Lamb,Kent Bazemore,Bojan Bogdanovic,Rudy Gay,Domantas Sabonis,Noah Vonleh,Nikola Vucevic,295.5
Jamal Murray,Ricky Rubio,Jrue Holiday,Dennis Schroder,Paul George,Bojan Bogdanovic,Thaddeus Young,Noah Vonleh,Dewayne Dedmon,293.0
Jamal Murray,Darren Collison,Bradley Beal,Dennis Schroder,Kawhi Leonard,Danilo Gallinari,Domantas Sabonis,Noah Vonleh,Mitchell Robinson,290.5
Russell Westbrook,Ricky Rubio,Jeremy Lamb,Kent Bazemore,Bojan Bogdanovic,Danilo Gallinari,Derrick Favors,Aaron Gordon,Thomas Bryant,314.2
Jamal Murray,Kemba Walker,Jeremy Lamb,Dennis Schroder,Rudy Gay,Kawhi Leonard,Noah Vonleh,Paul Millsap,Dewayne Dedmon,294.2
Jamal Murray,Kemba Walker,Jrue Holiday,Kent Bazemore,Rudy Gay,Danilo Gallinari,Serge Ibaka,Derrick Favors,Thomas Bryant,297.2
Jamal Murray,Darren Collison,Jeremy Lamb,Dennis Schroder,Bojan Bogdanovic,Rudy Gay,Serge Ibaka,Aaron Gordon,Rudy Gobert,291.3
Jamal Murray,Ricky Rubio,Dennis Schroder,Kent Bazemore,Bojan Bogdanovic,Danilo Gallinari,Pascal Siakam,Paul Millsap,Nikola Vucevic,298.8
Russell Westbrook,Ricky Rubio,Andrew Wiggins,Jeremy Lamb,Rudy Gay,Danilo Gallinari,Domantas Sabonis,Noah Vonleh,Dewayne Dedmon,331.3
Russell Westbrook,Jerryd Bayless,Andrew Wiggins,Dennis Schroder,Kawhi Leonard,Danilo Gallinari,Derrick Favors,Domantas Sabonis,Thomas Bryant,302.3
Jamal Murray,Isaiah Canaan,Lou Williams,Kent Bazemore,Kawhi Leonard,Danilo Gallinari,Domantas Sabonis,Anthony Davis,Thomas Bryant,267.4
Russell Westbrook,Darren Collison,Jeremy Lamb,Dennis Schroder,Bojan Bogdanovic,Danilo Gallinari,Thaddeus Young,Noah Vonleh,Steven Adams,317.2
Kemba Walker,Ricky Rubio,Lou Williams,Dennis Schroder,Bojan Bogdanovic,Rudy Gay,Pascal Siakam,Derrick Favors,Thomas Bryant,270.2
Kemba Walker,Isaiah Canaan,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Rudy Gay,Domantas Sabonis,Anthony Davis,Mitchell Robinson,237.1
Ricky Rubio,Darren Collison,Bradley Beal,Kent Bazemore,Rudy Gay,Danilo Gallinari,Blake Griffin,Thaddeus Young,Thomas Bryant,283.6
Russell Westbrook,Isaiah Canaan,Jeremy Lamb,Dennis Schroder,Rudy Gay,Kawhi Leonard,Serge Ibaka,Thaddeus Young,Thomas Bryant,278.7
Russell Westbrook,Darren Collison,Andrew Wiggins,Kent Bazemore,Bojan Bogdanovic,Rudy Gay,Derrick Favors,Thaddeus Young,Dewayne Dedmon,330.0
Ricky Rubio,Isaiah Canaan,Andrew Wiggins,Kent Bazemore,Paul George,Rudy Gay,Derrick Favors,Anthony Davis,Thomas Bryant,284.9
Ricky Rubio,Jerryd Bayless,Andrew Wiggins,Kent Bazemore,Bojan Bogdanovic,Kawhi Leonard,Anthony Davis,Noah Vonleh,Rudy Gobert,269.3
Jamal Murray,Jerryd Bayless,Bradley Beal,Dennis Schroder,Paul George,Bojan Bogdanovic,Serge Ibaka,Derrick Favors,Thomas Bryant,297.9
Jamal Murray,Darren Collison,Andrew Wiggins,Jrue Holiday,Bojan Bogdanovic,Rudy Gay,Blake Griffin,Noah Vonleh,Mitchell Robinson,239.6
Russell Westbrook,Isaiah Canaan,Dennis Schroder,Kent Bazemore,Bojan Bogdanovic,Danilo Gallinari,Serge Ibaka,Domantas Sabonis,Rudy Gobert,308.3
Kemba Walker,Jerryd Bayless,Jeremy Lamb,Jrue Holiday,Bojan Bogdanovic,Danilo Gallinari,Anthony Davis,Noah Vonleh,Thomas Bryant,256.8
Ricky Rubio,Darren Collison,Jrue Holiday,Dennis Schroder,Rudy Gay,Danilo Gallinari,Derrick Favors,Noah Vonleh,Nikola Vucevic,285.8
Jamal Murray,Jerryd Bayless,Dennis Schroder,Kent Bazemore,Rudy Gay,Kawhi Leonard,Blake Griffin,Thaddeus Young,Rudy Gobert,253.2
Jamal Murray,Darren Collison,Andrew Wiggins,Kent Bazemore,Bojan Bogdanovic,Kawhi Leonard,Domantas Sabonis,Paul Millsap,Steven Adams,311.8
Jamal Murray,Isaiah Canaan,Bradley Beal,Kent Bazemore,Bojan Bogdanovic,Kawhi Leonard,Thaddeus Young,Noah Vonleh,Nikola Vucevic,307.3
Darren Collison,Shelvin Mack,Dennis Schroder,Kent Bazemore,Paul George,Bojan Bogdanovic,Blake Griffin,Noah Vonleh,Rudy Gobert,250.6
