PG,PG,SG,SG,SF,SF,PF,PF,C,P
Ricky Rubio,Darren Collison,Dennis Schroder,Reggie Bullock,Paul George,Bojan Bogdanovic,Kyle Kuzma,Domantas Sabonis,Thomas Bryant,237.0
Russell Westbrook,Stephen Curry,Dennis Schroder,Reggie Bullock,Paul George,Bojan Bogdanovic,Thaddeus Young,TJ Leaf,Kyle O'Quinn,204.9
Stephen Curry,Darren Collison,Dennis Schroder,Jordan McRae,Kevin Durant,Bojan Bogdanovic,Kyle Kuzma,Thaddeus Young,Steven Adams,289.2
Ricky Rubio,Darren Collison,Bradley Beal,Dennis Schroder,Kevin Durant,Bojan Bogdanovic,Derrick Favors,TJ Leaf,Kyle O'Quinn,205.9
Russell Westbrook,Ricky Rubio,Antonio Blakeney,Reggie Bullock,Kevin Durant,Bojan Bogdanovic,Domantas Sabonis,Thaddeus Young,Steven Adams,296.9
Stephen Curry,Ricky Rubio,Bradley Beal,Reggie Bullock,Troy Jr,Bojan Bogdanovic,Kyle Kuzma,Thaddeus Young,JaVale McGee,247.3
Quinn Cook,Stephen Curry,Dennis Schroder,Reggie Bullock,Kevin Durant,Bojan Bogdanovic,Domantas Sabonis,Derrick Favors,JaVale McGee,255.7
Russell Westbrook,Jevon Carter,Bradley Beal,Dennis Schroder,Bojan Bogdanovic,Jake Layman,Kyle Kuzma,Thaddeus Young,Thomas Bryant,251.5
Stephen Curry,Ricky Rubio,Reggie Bullock,Troy Daniels,Paul George,Kevin Durant,Kyle Kuzma,TJ Leaf,Steven Adams,275.4
Russell Westbrook,De'Anthony Melton,Dennis Schroder,Antonio Blakeney,Paul George,Kevin Durant,Kyle Kuzma,Domantas Sabonis,Kyle O'Quinn,244.2
Russell Westbrook,Darren Collison,Dennis Schroder,Jamal Crawford,Paul George,Evan Turner,Domantas Sabonis,Thaddeus Young,Steven Adams,269.0
Stephen Curry,Ricky Rubio,Jordan McRae,Jamal Crawford,Paul George,Bojan Bogdanovic,Domantas Sabonis,Derrick Favors,Steven Adams,306.4
Damian Lillard,Jevon Carter,Bradley Beal,Reggie Bullock,Kevin Durant,Bojan Bogdanovic,Kyle Kuzma,Domantas Sabonis,Kyle O'Quinn,220.6
Quinn Cook,De'Anthony Melton,Bradley Beal,Dennis Schroder,Paul George,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Steven Adams,253.2
Russell Westbrook,Ricky Rubio,Bradley Beal,Dennis Schroder,Troy Jr,Royce O'Neale,Kyle Kuzma,Domantas Sabonis,Steven Adams,247.8
Ricky Rubio,Jevon Carter,Dennis Schroder,Reggie Bullock,Paul George,Kevin Durant,Thaddeus Young,Draymond Green,JaVale McGee,210.0
Stephen Curry,Darren Collison,Antonio Blakeney,Troy Daniels,Paul George,Bojan Bogdanovic,Domantas Sabonis,Thaddeus Young,JaVale McGee,265.4
Ryan Arcidiacono,Darren Collison,Bradley Beal,Reggie Bullock,Paul George,Bojan Bogdanovic,Thaddeus Young,Draymond Green,Steven Adams,256.0
Stephen Curry,Ricky Rubio,Wayne Selden,Antonio Blakeney,Kevin Durant,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Thomas Bryant,312.5
Stephen Curry,Ricky Rubio,Dennis Schroder,Troy Daniels,Paul George,Jake Layman,Thaddeus Young,Derrick Favors,Thomas Bryant,264.7
