PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Jamal Murray,Jeremy Lamb,Dwyane Wade,Rudy Gay,LeBron James,Kyle Kuzma,Serge Ibaka,Alex Len,318.3
Kemba Walker,Jamal Murray,Andrew Wiggins,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Blake Griffin,Jayson Tatum,Alex Len,336.9
Kemba Walker,Jamal Murray,Dwyane Wade,Bogdan Bogdanovic,Gordon Hayward,Josh Richardson,Jayson Tatum,Serge Ibaka,Nikola Vucevic,336.9
Kemba Walker,Jamal Murray,Lou Williams,Andrew Wiggins,Gordon Hayward,Josh Richardson,Kyle Kuzma,Aaron Gordon,Alex Len,288.4
Kemba Walker,Jamal Murray,Buddy Hield,Andrew Wiggins,Gordon Hayward,Rudy Gay,Marvin III,Serge Ibaka,Thomas Bryant,281.8
Kemba Walker,Jamal Murray,Jeremy Lamb,Bogdan Bogdanovic,Gordon Hayward,Danilo Gallinari,Kyle Kuzma,Paul Millsap,Thomas Bryant,285.1
Kemba Walker,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Josh Richardson,Rudy Gay,Kyle Kuzma,Larry Jr,Dewayne Dedmon,286.1
Kemba Walker,Jamal Murray,Lou Williams,Dwyane Wade,Gordon Hayward,Rudy Gay,Paul Millsap,Larry Jr,Willie Cauley-Stein,311.9
Kemba Walker,Jamal Murray,Bogdan Bogdanovic,Dairis Bertans,Gordon Hayward,LeBron James,Montrezl Harrell,Larry Jr,Alex Len,276.3
Kemba Walker,Ryan Arcidiacono,Dwyane Wade,Bogdan Bogdanovic,Giannis Antetokounmpo,Gordon Hayward,Kyle Kuzma,Blake Griffin,Alex Len,321.2
Kemba Walker,Bryn Forbes,Lou Williams,Bogdan Bogdanovic,Giannis Antetokounmpo,Rudy Gay,Marvin III,Serge Ibaka,Alex Len,276.7
Kemba Walker,Jamal Murray,Dwyane Wade,Dairis Bertans,Josh Richardson,Rudy Gay,Marvin III,Montrezl Harrell,JaVale McGee,323.7
Kemba Walker,Ryan Arcidiacono,Buddy Hield,Andrew Wiggins,Josh Richardson,LeBron James,Jayson Tatum,Serge Ibaka,Alex Len,311.3
Kemba Walker,Jamal Murray,Bradley Beal,Dairis Bertans,Danilo Gallinari,Josh Richardson,Paul Millsap,Serge Ibaka,Alex Len,319.7
Kemba Walker,Jeremy Lin,Dwyane Wade,Bogdan Bogdanovic,Danilo Gallinari,LeBron James,Marvin III,Serge Ibaka,Thomas Bryant,297.4
Kemba Walker,Jeremy Lin,James Harden,Dwyane Wade,Gordon Hayward,Rudy Gay,Marvin III,Jayson Tatum,Alex Len,294.3
Kemba Walker,Brandon Knight,Andrew Wiggins,Bogdan Bogdanovic,Gordon Hayward,LeBron James,Kyle Kuzma,Serge Ibaka,JaVale McGee,318.3
Kemba Walker,Ryan Arcidiacono,Dwyane Wade,Bogdan Bogdanovic,Rudy Gay,LeBron James,Paul Millsap,Jayson Tatum,JaVale McGee,352.7
Jamal Murray,Patty Mills,Lou Williams,Dwyane Wade,Giannis Antetokounmpo,Josh Richardson,Blake Griffin,Serge Ibaka,Alex Len,307.8
Kemba Walker,Jamal Murray,Khris Middleton,Jeremy Lamb,Gordon Hayward,Rudy Gay,Montrezl Harrell,Jayson Tatum,Ante Zizic,276.9
Jamal Murray,Bryn Forbes,Andrew Wiggins,Dwyane Wade,Gordon Hayward,LeBron James,Marvin III,Blake Griffin,Alex Len,306.8
Jamal Murray,Bryn Forbes,Andrew Wiggins,Bogdan Bogdanovic,Rudy Gay,LeBron James,Paul Millsap,Serge Ibaka,Nikola Vucevic,310.9
Jamal Murray,Devonte' Graham,Andrew Wiggins,Dwyane Wade,Danilo Gallinari,LeBron James,Jayson Tatum,Serge Ibaka,JaVale McGee,345.1
Kemba Walker,Jamal Murray,Bogdan Bogdanovic,Dairis Bertans,Kawhi Leonard,Rudy Gay,Aaron Gordon,Serge Ibaka,Al Horford,311.3
Ryan Arcidiacono,Jamal Murray,Lou Williams,Bogdan Bogdanovic,Danilo Gallinari,LeBron James,Kyle Kuzma,Marvin III,Alex Len,276.3
Kemba Walker,Jamal Murray,Dwyane Wade,Dairis Bertans,Gordon Hayward,Danilo Gallinari,Aaron Gordon,Blake Griffin,Dewayne Dedmon,347.1
Ryan Arcidiacono,Jamal Murray,Buddy Hield,Dwyane Wade,Giannis Antetokounmpo,Rudy Gay,Montrezl Harrell,Jayson Tatum,Alex Len,293.3
Ryan Arcidiacono,Jamal Murray,James Harden,Dwyane Wade,Gordon Hayward,Rudy Gay,Blake Griffin,Serge Ibaka,JaVale McGee,341.6
Kemba Walker,Devonte' Graham,James Harden,Bogdan Bogdanovic,Gordon Hayward,Danilo Gallinari,Aaron Gordon,Serge Ibaka,Alex Len,299.9
Kemba Walker,Patty Mills,Jeremy Lamb,Bogdan Bogdanovic,Josh Richardson,LeBron James,Marvin III,Paul Millsap,Alex Len,272.6
Kemba Walker,Jeremy Lin,Jeremy Lamb,Andrew Wiggins,Giannis Antetokounmpo,Gordon Hayward,Paul Millsap,Serge Ibaka,Alex Len,281.0
Kemba Walker,Patty Mills,James Harden,Dwyane Wade,Josh Richardson,Rudy Gay,Paul Millsap,Serge Ibaka,Thomas Bryant,300.1
Jamal Murray,Brandon Knight,Dwyane Wade,Bogdan Bogdanovic,Rudy Gay,LeBron James,Blake Griffin,Montrezl Harrell,Thomas Bryant,301.5
Jeremy Lin,Jamal Murray,Jeremy Lamb,Bogdan Bogdanovic,Josh Richardson,LeBron James,Blake Griffin,Serge Ibaka,JaVale McGee,316.6
Jamal Murray,Patty Mills,Khris Middleton,Bogdan Bogdanovic,Kawhi Leonard,LeBron James,Jayson Tatum,Serge Ibaka,Alex Len,284.9
Kemba Walker,Bryn Forbes,Andrew Wiggins,Dwyane Wade,Gordon Hayward,Rudy Gay,Kyle Kuzma,Montrezl Harrell,Nikola Vucevic,313.6
Jamal Murray,Brandon Knight,James Harden,Dwyane Wade,Gordon Hayward,Danilo Gallinari,Kyle Kuzma,Montrezl Harrell,Alex Len,289.7
Ish Smith,Jamal Murray,James Harden,Andrew Wiggins,Josh Richardson,Rudy Gay,Montrezl Harrell,Serge Ibaka,Alex Len,275.7
Kemba Walker,Ryan Arcidiacono,Jeremy Lamb,Bogdan Bogdanovic,Danilo Gallinari,Rudy Gay,Montrezl Harrell,Serge Ibaka,Nikola Vucevic,316.7
Jeremy Lin,Jamal Murray,Dwyane Wade,Bogdan Bogdanovic,Giannis Antetokounmpo,Rudy Gay,Kyle Kuzma,Aaron Gordon,JaVale McGee,300.5
