PG,PG,SG,SG,SF,SF,PF,PF,C,P
Stephen Curry,Jamal Murray,Dennis Schroder,Kent Bazemore,Paul George,Rudy Gay,Marvin III,Markieff Morris,Alex Len,240.2
Russell Westbrook,Jamal Murray,Bogdan Bogdanovic,Kent Bazemore,Rudy Gay,Davis Bertans,Marvin III,Paul Millsap,Steven Adams,279.6
Russell Westbrook,Patty Mills,Dennis Schroder,Kent Bazemore,Kevin Durant,Rudy Gay,Draymond Green,Paul Millsap,Alex Len,311.7
Quinn Cook,Jamal Murray,Dennis Schroder,Bogdan Bogdanovic,Paul George,Rudy Gay,Draymond Green,Paul Millsap,Willie Cauley-Stein,208.7
Russell Westbrook,Patty Mills,Buddy Hield,Kent Bazemore,Paul George,Rudy Gay,Marvin III,Jemerrio Jones,Willie Cauley-Stein,270.3
Jamal Murray,Patty Mills,Bogdan Bogdanovic,Lonnie IV,Kevin Durant,Paul George,Marvin III,Paul Millsap,Alex Len,230.9
Russell Westbrook,Jamal Murray,Dennis Schroder,Scott Machado,Rudy Gay,Danuel House,Marvin III,Draymond Green,JaVale McGee,226.6
Russell Westbrook,Jamal Murray,Dennis Schroder,Kent Bazemore,Paul George,Vince Carter,Draymond Green,Jemerrio Jones,Steven Adams,307.6
Jamal Murray,Bryn Forbes,Kent Bazemore,Scott Machado,Kevin Durant,Paul George,Marvin III,Draymond Green,Willie Cauley-Stein,236.6
Russell Westbrook,Quinn Cook,Bogdan Bogdanovic,Kent Bazemore,Paul George,Danuel House,Marvin III,Draymond Green,Alex Len,293.6
Russell Westbrook,Stephen Curry,Dennis Schroder,Bogdan Bogdanovic,Rudy Gay,Vince Carter,Marvin III,Johnathan Williams,Willie Cauley-Stein,191.3
Russell Westbrook,Jamal Murray,Buddy Hield,Kent Bazemore,Kevin Durant,Vince Carter,Marvin III,Johnathan Williams,Alex Len,303.9
Stephen Curry,Jamal Murray,Dennis Schroder,Lonnie IV,Kevin Durant,Rudy Gay,Paul Millsap,Jemerrio Jones,Steven Adams,208.1
Quinn Cook,Stephen Curry,Buddy Hield,Kent Bazemore,Kevin Durant,Rudy Gay,Marvin III,Paul Millsap,Jakob Poeltl,215.0
Stephen Curry,Alex Caruso,Kent Bazemore,Scott Machado,Paul George,Rudy Gay,Draymond Green,Paul Millsap,Steven Adams,283.9
Stephen Curry,Jamal Murray,Bogdan Bogdanovic,Kent Bazemore,Paul George,Danuel House,Paul Millsap,Jemerrio Jones,JaVale McGee,248.0
Jamal Murray,Bryn Forbes,Buddy Hield,Dennis Schroder,Paul George,Danuel House,Marvin III,Paul Millsap,Steven Adams,243.7
Russell Westbrook,Stephen Curry,Dennis Schroder,Scott Machado,Paul George,Davis Bertans,Paul Millsap,Jemerrio Jones,Alex Len,236.7
