PG,PG,SG,SG,SF,SF,PF,PF,C,P,R,O,J
Damian Lillard,Terry Rozier,Jaylen Brown,Evan Fournier,Tyreke Evans,Bojan Bogdanovic,Daniel Theis,Zach Collins,Nikola Vucevic,412
Terry Rozier,Jeremy Lin,Jaylen Brown,Evan Fournier,Tyreke Evans,Doug McDermott,Daniel Theis,Eric Moreland,Nikola Vucevic,411
Terry Rozier,Jeremy Lin,Jaylen Brown,Evan Fournier,Bojan Bogdanovic,Rodney Hood,Eric Moreland,Zach Collins,Nikola Vucevic,407
Russell Westbrook,Terry Rozier,Jaylen Brown,Evan Fournier,Rodney Hood,Doug McDermott,Daniel Theis,Zach Collins,Nikola Vucevic,404
Damian Lillard,Terry Rozier,Jaylen Brown,Evan Fournier,Bojan Bogdanovic,Doug McDermott,Aaron Gordon,Eric Moreland,Nikola Vucevic,401
Terry Rozier,Jeremy Lin,CJ McCollum,Jaylen Brown,Bojan Bogdanovic,Doug McDermott,Daniel Theis,Zach Collins,Nikola Vucevic,401
Damian Lillard,Terry Rozier,CJ McCollum,Jaylen Brown,Tyreke Evans,Doug McDermott,Eric Moreland,Zach Collins,Nikola Vucevic,400
Damian Lillard,Terry Rozier,Jaylen Brown,Evan Fournier,Tyreke Evans,Rodney Hood,Eric Moreland,Meyers Leonard,Nikola Vucevic,399
Damian Lillard,Terry Rozier,CJ McCollum,Jaylen Brown,Bojan Bogdanovic,Rodney Hood,Daniel Theis,Eric Moreland,Nikola Vucevic,398
Terry Rozier,Jeremy Lin,CJ McCollum,Evan Fournier,Tyreke Evans,Rodney Hood,Daniel Theis,Zach Collins,Nikola Vucevic,398
Terry Rozier,Michael Carter-Williams,Jaylen Brown,Evan Fournier,Tyreke Evans,Doug McDermott,Aaron Gordon,Zach Collins,Nikola Vucevic,396
Terry Rozier,Michael Carter-Williams,Jaylen Brown,Evan Fournier,Bojan Bogdanovic,Doug McDermott,Daniel Theis,Meyers Leonard,Nikola Vucevic,395
Damian Lillard,Terry Rozier,Jaylen Brown,Evan Fournier,Rodney Hood,Doug McDermott,Daniel Theis,Eric Moreland,Aron Baynes,395
Russell Westbrook,Terry Rozier,Jaylen Brown,Evan Fournier,Maurice Harkless,Tyreke Evans,Eric Moreland,Zach Collins,Nikola Vucevic,394
Russell Westbrook,Terry Rozier,CJ McCollum,Evan Fournier,Tyreke Evans,Bojan Bogdanovic,Daniel Theis,Eric Moreland,Nikola Vucevic,394
Terry Rozier,Jeremy Lin,Jaylen Brown,Evan Fournier,Tyreke Evans,Bojan Bogdanovic,Aaron Gordon,Meyers Leonard,Nikola Vucevic,394
Damian Lillard,Terry Rozier,CJ McCollum,Evan Fournier,Tyreke Evans,Doug McDermott,Aaron Gordon,Daniel Theis,Nikola Vucevic,392
Damian Lillard,Jeremy Lin,Jaylen Brown,Evan Fournier,Tyreke Evans,Doug McDermott,Zach Collins,Meyers Leonard,Nikola Vucevic,391
Russell Westbrook,Terry Rozier,Jaylen Brown,Evan Fournier,Bojan Bogdanovic,Doug McDermott,Eric Moreland,Zach Collins,Aron Baynes,391
Damian Lillard,Jeremy Lin,Jaylen Brown,Evan Fournier,Tyreke Evans,Rodney Hood,Aaron Gordon,Daniel Theis,Nikola Vucevic,391
Russell Westbrook,Terry Rozier,Jaylen Brown,Terrence Ross,Bojan Bogdanovic,Doug McDermott,Daniel Theis,Eric Moreland,Nikola Vucevic,391
Damian Lillard,Terry Rozier,Terrence Ross,Evan Fournier,Rodney Hood,Doug McDermott,Eric Moreland,Zach Collins,Nikola Vucevic,391
Terry Rozier,Michael Carter-Williams,Jaylen Brown,Evan Fournier,Tyreke Evans,Bojan Bogdanovic,Daniel Theis,Eric Moreland,Aron Baynes,391
Terry Rozier,Michael Carter-Williams,CJ McCollum,Evan Fournier,Bojan Bogdanovic,Doug McDermott,Eric Moreland,Zach Collins,Nikola Vucevic,390
Terry Rozier,Jeremy Lin,CJ McCollum,Jaylen Brown,Tyreke Evans,Rodney Hood,Aaron Gordon,Eric Moreland,Nikola Vucevic,390
Terry Rozier,Jeremy Lin,Jaylen Brown,Evan Fournier,Bojan Bogdanovic,Doug McDermott,Aaron Gordon,Daniel Theis,Aron Baynes,390
Terry Rozier,Michael Carter-Williams,Jaylen Brown,Evan Fournier,Maurice Harkless,Rodney Hood,Daniel Theis,Eric Moreland,Nikola Vucevic,390
Damian Lillard,Terry Rozier,Jaylen Brown,Evan Fournier,Maurice Harkless,Rodney Hood,Aaron Gordon,Zach Collins,Nikola Vucevic,389
Terry Rozier,Michael Carter-Williams,Jaylen Brown,Terrence Ross,Tyreke Evans,Bojan Bogdanovic,Eric Moreland,Zach Collins,Nikola Vucevic,389
