PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Elie Okobo,Jeremy Lamb,Dwyane Wade,Rudy Gay,Danilo Gallinari,Kyle Kuzma,Anthony Davis,Brook Lopez,261.5
Stephen Curry,Shelvin Mack,CJ McCollum,Jeremy Lamb,Rudy Gay,Bojan Bogdanovic,Domantas Sabonis,Anthony Davis,Brook Lopez,294.2
Kemba Walker,Darren Collison,Kent Bazemore,Jeremy Lamb,Rudy Gay,Bojan Bogdanovic,Thaddeus Young,Anthony Davis,JaVale McGee,267.3
Kemba Walker,Tim Frazier,Dwyane Wade,Bogdan Bogdanovic,Bojan Bogdanovic,Josh Richardson,Marvin III,Anthony Davis,Brook Lopez,277.1
Kemba Walker,Darren Collison,Jeremy Lamb,Bogdan Bogdanovic,Bojan Bogdanovic,Danilo Gallinari,Domantas Sabonis,Montrezl Harrell,Brook Lopez,294.6
Kemba Walker,Shelvin Mack,Khris Middleton,Jeremy Lamb,Bojan Bogdanovic,Josh Richardson,Kyle Kuzma,Anthony Davis,Dewayne Dedmon,268.8
Stephen Curry,Elie Okobo,Jeremy Lamb,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Montrezl Harrell,Anthony Davis,Willie Cauley-Stein,277.0
Stephen Curry,Darren Collison,Kent Bazemore,Dwyane Wade,Rudy Gay,Bojan Bogdanovic,Kyle Kuzma,Montrezl Harrell,Brook Lopez,274.5
Kemba Walker,Elie Okobo,Andrew Wiggins,Bogdan Bogdanovic,Rudy Gay,Bojan Bogdanovic,Domantas Sabonis,Anthony Davis,Dewayne Dedmon,231.8
Stephen Curry,Tim Frazier,Jeremy Lamb,Bogdan Bogdanovic,Bojan Bogdanovic,Danilo Gallinari,Kyle Kuzma,Anthony Davis,JaVale McGee,262.2
Damian Lillard,Shelvin Mack,Jeremy Lamb,Dwyane Wade,Danilo Gallinari,Josh Richardson,Domantas Sabonis,Anthony Davis,JaVale McGee,279.4
Stephen Curry,Elie Okobo,Kent Bazemore,Bogdan Bogdanovic,Danilo Gallinari,Josh Richardson,Domantas Sabonis,Anthony Davis,Brook Lopez,254.1
Ben Simmons,Elie Okobo,Kent Bazemore,Khris Middleton,Rudy Gay,Bojan Bogdanovic,Marvin III,Anthony Davis,Brook Lopez,253.7
Ben Simmons,Darren Collison,Andrew Wiggins,Jeremy Lamb,Rudy Gay,Josh Richardson,Domantas Sabonis,Kyle Kuzma,Brook Lopez,267.3
Ben Simmons,Shelvin Mack,Jeremy Lamb,Bogdan Bogdanovic,Rudy Gay,Danilo Gallinari,Montrezl Harrell,Anthony Davis,Dewayne Dedmon,271.7
Damian Lillard,Darren Collison,Jeremy Lamb,Bogdan Bogdanovic,Rudy Gay,Keita Bates-Diop,Marvin III,Anthony Davis,Brook Lopez,287.9
Stephen Curry,Darren Collison,Jeremy Lamb,Dwyane Wade,Danilo Gallinari,Josh Richardson,Marvin III,Thaddeus Young,Brook Lopez,309.8
Stephen Curry,Tim Frazier,Kent Bazemore,Jeremy Lamb,Rudy Gay,Josh Richardson,Marvin III,Anthony Davis,Dewayne Dedmon,268.0
Ben Simmons,Shelvin Mack,Buddy Hield,Dwyane Wade,Rudy Gay,Bojan Bogdanovic,Kyle Kuzma,Anthony Davis,JaVale McGee,240.8
Stephen Curry,Kemba Walker,Jeremy Lamb,Dwyane Wade,Rudy Gay,Keita Bates-Diop,Domantas Sabonis,Montrezl Harrell,Dewayne Dedmon,285.6
Darren Collison,Shelvin Mack,Kent Bazemore,Andrew Wiggins,Rudy Gay,Danilo Gallinari,Blake Griffin,Anthony Davis,Brook Lopez,240.6
Stephen Curry,Kemba Walker,Andrew Wiggins,Jeremy Lamb,Bojan Bogdanovic,Keita Bates-Diop,Kyle Kuzma,Thaddeus Young,Brook Lopez,273.0
Kemba Walker,Darren Collison,Kent Bazemore,CJ McCollum,Josh Richardson,Keita Bates-Diop,Kyle Kuzma,Anthony Davis,Brook Lopez,267.0
Kemba Walker,Shelvin Mack,Khris Middleton,Dwyane Wade,Rudy Gay,Josh Richardson,Blake Griffin,Domantas Sabonis,Brook Lopez,261.0
Damian Lillard,Elie Okobo,CJ McCollum,Jeremy Lamb,Bojan Bogdanovic,Josh Richardson,Blake Griffin,Kyle Kuzma,Brook Lopez,306.3
Kemba Walker,Tim Frazier,Jeremy Lamb,Jrue Holiday,Rudy Gay,Bojan Bogdanovic,Domantas Sabonis,Kyle Kuzma,Willie Cauley-Stein,237.4
Stephen Curry,Elie Okobo,Khris Middleton,Jeremy Lamb,Rudy Gay,Danilo Gallinari,Blake Griffin,Domantas Sabonis,JaVale McGee,264.5
Kemba Walker,Shelvin Mack,Jeremy Lamb,Dwyane Wade,Bojan Bogdanovic,Danilo Gallinari,Blake Griffin,Marvin III,Willie Cauley-Stein,268.8
Damian Lillard,Tim Frazier,Jeremy Lamb,Dwyane Wade,Rudy Gay,Bojan Bogdanovic,Draymond Green,Anthony Davis,Jarrett Allen,277.2
Stephen Curry,Darren Collison,Khris Middleton,Dwyane Wade,Bojan Bogdanovic,Keita Bates-Diop,Domantas Sabonis,Anthony Davis,JaVale McGee,272.2
Ben Simmons,Tim Frazier,Kent Bazemore,Dwyane Wade,Bojan Bogdanovic,Danilo Gallinari,Domantas Sabonis,Anthony Davis,Dewayne Dedmon,256.1
Stephen Curry,Shelvin Mack,Khris Middleton,Bogdan Bogdanovic,Rudy Gay,Danilo Gallinari,Kyle Kuzma,Marvin III,Brook Lopez,247.8
Kemba Walker,Elie Okobo,Andrew Wiggins,CJ McCollum,Rudy Gay,Josh Richardson,Marvin III,Montrezl Harrell,Brook Lopez,274.4
Stephen Curry,Elie Okobo,Jeremy Lamb,Bogdan Bogdanovic,Kevin Durant,Rudy Gay,Thaddeus Young,Montrezl Harrell,Brook Lopez,290.4
Ben Simmons,Elie Okobo,CJ McCollum,Jeremy Lamb,Bojan Bogdanovic,Danilo Gallinari,Thaddeus Young,Anthony Davis,Jarrett Allen,291.2
Damian Lillard,Elie Okobo,Andrew Wiggins,Dwyane Wade,Bojan Bogdanovic,Danilo Gallinari,Domantas Sabonis,Marvin III,Brook Lopez,273.1
Stephen Curry,Shelvin Mack,Andrew Wiggins,Bogdan Bogdanovic,Rudy Gay,Josh Richardson,Thaddeus Young,Anthony Davis,JaVale McGee,233.0
Darren Collison,Elie Okobo,Andrew Wiggins,Jeremy Lamb,Kevin Durant,Bojan Bogdanovic,Draymond Green,Anthony Davis,Brook Lopez,292.0
Kemba Walker,Shelvin Mack,Jeremy Lamb,Bogdan Bogdanovic,Kevin Durant,Rudy Gay,Domantas Sabonis,Marvin III,JaVale McGee,261.2
Stephen Curry,Kemba Walker,Buddy Hield,Jeremy Lamb,Bojan Bogdanovic,Josh Richardson,Domantas Sabonis,Rondae Hollis-Jefferson,JaVale McGee,267.9
