PG,PG,SG,SG,SF,SF,PF,PF,C,P
Stephen Curry,Ricky Rubio,Dennis Schroder,Dwyane Wade,Bojan Bogdanovic,Rudy Gay,Anthony Davis,Domantas Sabonis,Al Horford,282.0
Jamal Murray,Ricky Rubio,Dennis Schroder,Dwyane Wade,Kevin Durant,Josh Richardson,Anthony Davis,Derrick Favors,Thomas Bryant,210.9
Darren Collison,Jamal Murray,Dennis Schroder,Dwyane Wade,Rudy Gay,Josh Richardson,Jayson Tatum,Domantas Sabonis,Nikola Jokic,246.3
Darren Collison,Ricky Rubio,Dennis Schroder,Dwyane Wade,Paul George,Rudy Gay,Paul Millsap,Thaddeus Young,Thomas Bryant,250.1
Stephen Curry,Darren Collison,Dennis Schroder,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Derrick Favors,Thaddeus Young,Steven Adams,252.9
Damian Lillard,Ricky Rubio,Dennis Schroder,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Jayson Tatum,Paul Millsap,Mitchell Robinson,266.5
Jamal Murray,Ricky Rubio,Bradley Beal,Dwyane Wade,Bojan Bogdanovic,Rudy Gay,Jayson Tatum,Draymond Green,Thomas Bryant,229.5
Darren Collison,Ricky Rubio,Dwyane Wade,David Nwaba,Paul George,Josh Richardson,Anthony Davis,Domantas Sabonis,Steven Adams,285.9
Stephen Curry,Jamal Murray,Dwyane Wade,Wayne Ellington,Rudy Gay,Josh Richardson,Pascal Siakam,Anthony Davis,Steven Adams,299.7
Darren Collison,Jamal Murray,Dennis Schroder,Ian Clark,Paul George,Bojan Bogdanovic,Anthony Davis,Domantas Sabonis,Thomas Bryant,206.0
Stephen Curry,Darren Collison,Dwyane Wade,David Nwaba,Kevin Durant,Rudy Gay,Jayson Tatum,Anthony Davis,Thomas Bryant,281.9
Jamal Murray,Shaquille Harrison,Dennis Schroder,Dwyane Wade,Paul George,Rudy Gay,Draymond Green,Anthony Davis,Mitchell Robinson,251.0
Darren Collison,Jamal Murray,Dwyane Wade,Wayne Selden,Bojan Bogdanovic,Rudy Gay,Anthony Davis,Derrick Favors,Rudy Gobert,237.3
Stephen Curry,Damian Lillard,Dennis Schroder,Ian Clark,Rudy Gay,Josh Richardson,Anthony Davis,Thaddeus Young,Thomas Bryant,264.3
Jamal Murray,Shaquille Harrison,Bradley Beal,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Anthony Davis,Thaddeus Young,Al Horford,241.5
Darren Collison,Jamal Murray,Dennis Schroder,Wayne Ellington,Kevin Durant,Rudy Gay,Anthony Davis,Thaddeus Young,Al Horford,237.8
Damian Lillard,Jamal Murray,Dennis Schroder,David Nwaba,Bojan Bogdanovic,Rudy Gay,Jayson Tatum,Anthony Davis,Steven Adams,270.0
Stephen Curry,Ricky Rubio,Dwyane Wade,David Nwaba,Rudy Gay,Josh Richardson,Paul Millsap,Derrick Favors,Nikola Jokic,308.2
Jeremy Lin,Ricky Rubio,Bradley Beal,Dennis Schroder,Rudy Gay,Josh Richardson,Paul Millsap,Anthony Davis,Steven Adams,238.8
Darren Collison,Ricky Rubio,Dennis Schroder,Wayne Ellington,Bojan Bogdanovic,Josh Richardson,Draymond Green,Anthony Davis,Nikola Jokic,275.0
Kyrie Irving,Darren Collison,Dennis Schroder,Dwyane Wade,Josh Richardson,Troy Jr,Paul Millsap,Anthony Davis,Al Horford,261.0
Jamal Murray,Cory Joseph,Dennis Schroder,Dwyane Wade,Paul George,Bojan Bogdanovic,Jayson Tatum,Derrick Favors,Al Horford,249.5
Stephen Curry,Ricky Rubio,Dennis Schroder,Wayne Ellington,Paul George,Josh Richardson,Jayson Tatum,Domantas Sabonis,Thomas Bryant,260.0
Jamal Murray,Ricky Rubio,Dwyane Wade,Wayne Ellington,Paul George,Bojan Bogdanovic,Paul Millsap,Anthony Davis,Jakob Poeltl,274.8
Kyrie Irving,Ricky Rubio,Dennis Schroder,Dwyane Wade,Rudy Gay,Josh Richardson,Pascal Siakam,Draymond Green,Jakob Poeltl,259.0
