PG,PG,SG,SG,SF,SF,PF,PF,C,P
Spencer Dinwiddie,Jamal Murray,Dennis Schroder,Dwyane Wade,Paul George,Josh Richardson,Kyle Kuzma,Serge Ibaka,JaVale McGee,293.2
Spencer Dinwiddie,Jamal Murray,Dennis Schroder,Lou Williams,LeBron James,Rudy Gay,Serge Ibaka,Larry Jr,Jarrett Allen,220.5
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Dwyane Wade,Josh Richardson,Rudy Gay,Paul Millsap,Larry Jr,Steven Adams,214.8
Spencer Dinwiddie,Jamal Murray,Lou Williams,Dwyane Wade,Danilo Gallinari,Rudy Gay,Paul Millsap,Montrezl Harrell,JaVale McGee,293.0
Russell Westbrook,Spencer Dinwiddie,Lou Williams,Dwyane Wade,Danilo Gallinari,Wes Iwundu,Kyle Kuzma,Serge Ibaka,Jarrett Allen,253.5
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Lou Williams,Danilo Gallinari,Josh Richardson,Kyle Kuzma,Larry Jr,Steven Adams,259.8
Russell Westbrook,Spencer Dinwiddie,Khris Middleton,Dennis Schroder,Danilo Gallinari,Rudy Gay,Serge Ibaka,Kenneth Faried,JaVale McGee,291.2
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Dwyane Wade,LeBron James,Wes Iwundu,Serge Ibaka,Paul Millsap,Steven Adams,274.1
Spencer Dinwiddie,Jamal Murray,Dwyane Wade,Tyrone Wallace,Kawhi Leonard,LeBron James,Kyle Kuzma,Larry Jr,Mitchell Robinson,262.2
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Austin Rivers,LeBron James,Wes Iwundu,Kyle Kuzma,Paul Millsap,JaVale McGee,274.1
Russell Westbrook,Jamal Murray,Khris Middleton,Dwyane Wade,Rudy Gay,Wes Iwundu,Kyle Kuzma,Larry Jr,JaVale McGee,292.9
Spencer Dinwiddie,Jamal Murray,Khris Middleton,Dennis Schroder,Kawhi Leonard,Rudy Gay,Kyle Kuzma,Paul Millsap,Jakob Poeltl,234.5
Russell Westbrook,Jamal Murray,Dwyane Wade,Austin Rivers,Josh Richardson,Rudy Gay,Aaron Gordon,Serge Ibaka,Jarrett Allen,234.4
Spencer Dinwiddie,Jamal Murray,Dennis Schroder,Austin Rivers,Paul George,Danilo Gallinari,Paul Millsap,Larry Jr,Brook Lopez,214.8
Spencer Dinwiddie,Jamal Murray,Dennis Schroder,Dwyane Wade,Kawhi Leonard,Danilo Gallinari,Aaron Gordon,Kenneth Faried,Jarrett Allen,222.3
Spencer Dinwiddie,Jamal Murray,James Harden,Tyrone Wallace,Josh Richardson,Rudy Gay,Aaron Gordon,Larry Jr,JaVale McGee,280.5
Russell Westbrook,Jamal Murray,Dennis Schroder,Lou Williams,Josh Richardson,Rudy Gay,Kyle Kuzma,Kenneth Faried,Mitchell Robinson,235.7
Russell Westbrook,Spencer Dinwiddie,Tyrone Wallace,Austin Rivers,Paul George,Rudy Gay,Kyle Kuzma,Serge Ibaka,Brook Lopez,238.3
Spencer Dinwiddie,Jamal Murray,Lou Williams,Tyrone Wallace,Kawhi Leonard,Josh Richardson,Serge Ibaka,Paul Millsap,Brook Lopez,246.9
Russell Westbrook,Jamal Murray,Dennis Schroder,Tyrone Wallace,Paul George,Wes Iwundu,Serge Ibaka,Larry Jr,Steven Adams,209.8
Spencer Dinwiddie,Jevon Carter,Dennis Schroder,Dwyane Wade,Giannis Antetokounmpo,Rudy Gay,Kyle Kuzma,Montrezl Harrell,Jarrett Allen,217.8
Spencer Dinwiddie,Frank Ntilikina,Dennis Schroder,Dwyane Wade,Danilo Gallinari,LeBron James,Serge Ibaka,Montrezl Harrell,Brook Lopez,248.7
Spencer Dinwiddie,Kadeem Allen,Khris Middleton,Dennis Schroder,LeBron James,Josh Richardson,Montrezl Harrell,Larry Jr,JaVale McGee,276.8
Spencer Dinwiddie,Jamal Murray,Lou Williams,Dwyane Wade,Paul George,Wes Iwundu,Larry Jr,Kenneth Faried,Nikola Vucevic,217.6
Russell Westbrook,Spencer Dinwiddie,Lou Williams,Austin Rivers,Kawhi Leonard,Josh Richardson,Larry Jr,Kenneth Faried,JaVale McGee,266.2
Jamal Murray,Kadeem Allen,Dennis Schroder,Dwyane Wade,LeBron James,Rudy Gay,Kyle Kuzma,Aaron Gordon,Brook Lopez,219.1
Jamal Murray,Frank Ntilikina,Khris Middleton,Dwyane Wade,Paul George,Danilo Gallinari,Serge Ibaka,Larry Jr,Jarrett Allen,264.7
Jamal Murray,Jevon Carter,Dennis Schroder,Dwyane Wade,Danilo Gallinari,LeBron James,Pascal Siakam,Larry Jr,JaVale McGee,276.0
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Tyrone Wallace,Danilo Gallinari,Josh Richardson,Kyle Kuzma,Montrezl Harrell,Jakob Poeltl,215.2
Spencer Dinwiddie,Kadeem Allen,Dennis Schroder,Lou Williams,Paul George,Danilo Gallinari,Aaron Gordon,Serge Ibaka,Steven Adams,220.3
Spencer Dinwiddie,Frank Ntilikina,James Harden,Dwyane Wade,LeBron James,Rudy Gay,Kyle Kuzma,Kenneth Faried,JaVale McGee,320.5
