PG,PG,SG,SG,SF,SF,PF,PF,C,P
Ricky Rubio,Spencer Dinwiddie,Lou Williams,Bradley Beal,Danilo Gallinari,Rudy Gay,Serge Ibaka,Marvin III,Nikola Vucevic,241.5
Ricky Rubio,Spencer Dinwiddie,Buddy Hield,Lou Williams,Justise Winslow,Andrew Wiggins,Pascal Siakam,Marvin III,Joel Embiid,243.2
Ricky Rubio,Spencer Dinwiddie,Jrue Holiday,Buddy Hield,Justise Winslow,Danilo Gallinari,Montrezl Harrell,Derrick Favors,Nikola Vucevic,256.1
Cameron Payne,Spencer Dinwiddie,Jrue Holiday,Bradley Beal,Justise Winslow,Rudy Gay,Marvin III,Derrick Favors,Joel Embiid,263.0
Cameron Payne,Spencer Dinwiddie,Jrue Holiday,Lou Williams,Andrew Wiggins,Danilo Gallinari,Montrezl Harrell,Marvin III,Karl-Anthony Towns,281.1
Ricky Rubio,Spencer Dinwiddie,Jrue Holiday,Lou Williams,Paul George,Rudy Gay,Pascal Siakam,Montrezl Harrell,Jakob Poeltl,289.9
Cameron Payne,Spencer Dinwiddie,Dennis Schroder,Buddy Hield,Justise Winslow,Paul George,Serge Ibaka,Marvin III,Nikola Vucevic,194.3
Ricky Rubio,Spencer Dinwiddie,Bradley Beal,Jared Terrell,Justise Winslow,Paul George,Montrezl Harrell,Marvin III,Rudy Gobert,241.1
Ricky Rubio,Spencer Dinwiddie,Buddy Hield,Bradley Beal,Paul George,Andrew Wiggins,Serge Ibaka,Derrick Favors,Jakob Poeltl,251.5
Cameron Payne,Spencer Dinwiddie,Buddy Hield,Bradley Beal,Andrew Wiggins,Rudy Gay,Pascal Siakam,Montrezl Harrell,Nikola Vucevic,265.9
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Lou Williams,Justise Winslow,Kawhi Leonard,Serge Ibaka,Derrick Favors,Steven Adams,237.8
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Grayson Allen,Andrew Wiggins,Danilo Gallinari,Serge Ibaka,Montrezl Harrell,Joel Embiid,230.9
Cameron Payne,Spencer Dinwiddie,Buddy Hield,Lou Williams,Josh Richardson,Danilo Gallinari,Serge Ibaka,Derrick Favors,Joel Embiid,261.4
Ben Simmons,Spencer Dinwiddie,Dennis Schroder,Lou Williams,Justise Winslow,Rudy Gay,Montrezl Harrell,Marvin III,Willie Cauley-Stein,227.1
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Damion Lee,Paul George,Danilo Gallinari,Marvin III,Derrick Favors,Karl-Anthony Towns,204.8
Ricky Rubio,Spencer Dinwiddie,Jrue Holiday,Bradley Beal,Andrew Wiggins,Troy Jr,Aaron Gordon,Marvin III,Steven Adams,262.8
Ricky Rubio,Spencer Dinwiddie,Bradley Beal,Grayson Allen,Justise Winslow,Danilo Gallinari,Pascal Siakam,Aaron Gordon,Karl-Anthony Towns,250.2
