PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Jamal Murray,Dwyane Wade,Dennis Schroder,Bojan Bogdanovic,Justise Winslow,Aaron Gordon,Noah Vonleh,Steven Adams,292.7
Stephen Curry,Jamal Murray,Andrew Wiggins,Dennis Schroder,Josh Richardson,Bojan Bogdanovic,Thaddeus Young,Derrick Favors,Steven Adams,289.1
Stephen Curry,Darren Collison,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Justise Winslow,Larry Jr,Noah Vonleh,Rudy Gobert,259.9
Jamal Murray,Darren Collison,Andrew Wiggins,Dwyane Wade,Josh Richardson,Justise Winslow,Thaddeus Young,Noah Vonleh,Nikola Vucevic,265.0
Stephen Curry,Ben Simmons,Dwyane Wade,Dennis Schroder,Bojan Bogdanovic,Wes Iwundu,Thaddeus Young,Noah Vonleh,Nikola Vucevic,275.3
Ben Simmons,Darren Collison,James Harden,Dennis Schroder,Josh Richardson,Bojan Bogdanovic,Noah Vonleh,Isaiah Hartenstein,Steven Adams,319.9
Stephen Curry,Jerian Grant,Andrew Wiggins,Dwyane Wade,Josh Richardson,Bojan Bogdanovic,Aaron Gordon,Noah Vonleh,Karl-Anthony Towns,312.3
Russell Westbrook,Stephen Curry,Dennis Schroder,Deonte Burton,Josh Richardson,Justise Winslow,Thaddeus Young,Noah Vonleh,Mitchell Robinson,269.4
Jamal Murray,Darren Collison,James Harden,Dennis Schroder,Justise Winslow,Wes Iwundu,Larry Jr,Thaddeus Young,Steven Adams,259.8
Jamal Murray,Jerian Grant,James Harden,Dennis Schroder,Josh Richardson,Justise Winslow,Derrick Favors,Noah Vonleh,Rudy Gobert,295.7
Stephen Curry,Jerian Grant,James Harden,Dwyane Wade,Bojan Bogdanovic,Justise Winslow,Thaddeus Young,Terrence Jones,Steven Adams,312.7
Ben Simmons,Jerian Grant,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Justise Winslow,Aaron Gordon,Derrick Favors,Nikola Vucevic,282.2
Ben Simmons,Jamal Murray,Dwyane Wade,Dennis Schroder,Josh Richardson,Bojan Bogdanovic,Larry Jr,Draymond Green,Mitchell Robinson,235.8
Jamal Murray,Darren Collison,James Harden,Andrew Wiggins,Bojan Bogdanovic,Wes Iwundu,Aaron Gordon,Noah Vonleh,Mitchell Robinson,333.4
Russell Westbrook,Darren Collison,Andrew Wiggins,Dennis Schroder,Josh Richardson,Justise Winslow,Draymond Green,Terrence Jones,Steven Adams,234.3
Russell Westbrook,Jamal Murray,Andrew Wiggins,Dennis Schroder,Bojan Bogdanovic,Wes Iwundu,Larry Jr,Isaiah Hartenstein,Nikola Vucevic,199.5
Jamal Murray,Darren Collison,Dwyane Wade,Dennis Schroder,Josh Richardson,Wes Iwundu,Aaron Gordon,Derrick Favors,Karl-Anthony Towns,260.7
Russell Westbrook,Jerian Grant,Dwyane Wade,Dennis Schroder,Josh Richardson,Bojan Bogdanovic,Thaddeus Young,Isaiah Hartenstein,Nikola Jokic,231.6
Russell Westbrook,Stephen Curry,Andrew Wiggins,Dwyane Wade,Justise Winslow,Wes Iwundu,Derrick Favors,Isaiah Hartenstein,Steven Adams,246.3
Russell Westbrook,Jerian Grant,James Harden,Dennis Schroder,Bojan Bogdanovic,Wes Iwundu,Noah Vonleh,Terrence Jones,Karl-Anthony Towns,290.9
Stephen Curry,Jamal Murray,James Harden,Dwyane Wade,Josh Richardson,Wes Iwundu,Noah Vonleh,Luke Kornet,Steven Adams,281.5
Ben Simmons,Jamal Murray,Andrew Wiggins,Deonte Burton,Bojan Bogdanovic,Justise Winslow,Draymond Green,Noah Vonleh,Karl-Anthony Towns,307.8
Russell Westbrook,Darren Collison,Dennis Schroder,Deonte Burton,Bojan Bogdanovic,Wes Iwundu,Thaddeus Young,Aaron Gordon,Rudy Gobert,259.1
Stephen Curry,Darren Collison,Dwyane Wade,Deonte Burton,Bojan Bogdanovic,Justise Winslow,Aaron Gordon,Derrick Favors,Mitchell Robinson,297.0
