PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Kyle Kuzma,Thaddeus Young,Rudy Gobert,272.8
Darren Collison,Ricky Rubio,Buddy Hield,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Kyle Kuzma,Marvin III,Joel Embiid,264.4
Darren Collison,Spencer Dinwiddie,James Harden,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Paul Millsap,Domantas Sabonis,JaVale McGee,307.9
Russell Westbrook,Darren Collison,Jrue Holiday,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Noah Vonleh,Derrick Favors,Al Horford,324.7
Kyrie Irving,Darren Collison,CJ McCollum,Jrue Holiday,Paul George,Bojan Bogdanovic,Kyle Kuzma,Thaddeus Young,JaVale McGee,288.9
Kyrie Irving,Spencer Dinwiddie,CJ McCollum,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Serge Ibaka,Marvin III,Al Horford,301.3
Darren Collison,Jamal Murray,Dennis Schroder,James Harden,Paul George,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Brook Lopez,247.2
Darren Collison,Spencer Dinwiddie,Dennis Schroder,Buddy Hield,Giannis Antetokounmpo,Paul George,Noah Vonleh,Kyle Kuzma,JaVale McGee,275.5
Kyrie Irving,Ricky Rubio,James Harden,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Noah Vonleh,Thaddeus Young,Brook Lopez,329.9
Darren Collison,Jamal Murray,Dennis Schroder,Bogdan Bogdanovic,LeBron James,Paul George,Thaddeus Young,Marvin III,JaVale McGee,258.9
Darren Collison,Spencer Dinwiddie,CJ McCollum,Bogdan Bogdanovic,Paul George,Rudy Gay,Derrick Favors,Thaddeus Young,Joel Embiid,284.5
Russell Westbrook,Darren Collison,CJ McCollum,Bogdan Bogdanovic,Giannis Antetokounmpo,Bojan Bogdanovic,Thaddeus Young,Marvin III,Brook Lopez,269.4
Russell Westbrook,Spencer Dinwiddie,CJ McCollum,Buddy Hield,Paul George,Bojan Bogdanovic,Paul Millsap,Noah Vonleh,Brook Lopez,297.1
Russell Westbrook,Darren Collison,Khris Middleton,Bogdan Bogdanovic,Paul George,Rudy Gay,Paul Millsap,Kyle Kuzma,Brook Lopez,283.2
Spencer Dinwiddie,Ricky Rubio,Jrue Holiday,Bogdan Bogdanovic,Giannis Antetokounmpo,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,JaVale McGee,307.0
Spencer Dinwiddie,Jamal Murray,Kent Bazemore,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Noah Vonleh,Jayson Tatum,Joel Embiid,294.3
Damian Lillard,Jamal Murray,Buddy Hield,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Domantas Sabonis,Thaddeus Young,Al Horford,267.7
Damian Lillard,Darren Collison,Dennis Schroder,Bogdan Bogdanovic,Giannis Antetokounmpo,Bojan Bogdanovic,Paul Millsap,Kyle Kuzma,Al Horford,293.2
Kyrie Irving,Ricky Rubio,Dennis Schroder,Bogdan Bogdanovic,Paul George,Rudy Gay,Serge Ibaka,Kyle Kuzma,JaVale McGee,281.5
Spencer Dinwiddie,Jamal Murray,Jrue Holiday,Bogdan Bogdanovic,Paul George,Gordon Hayward,Paul Millsap,Kyle Kuzma,Al Horford,329.4
Spencer Dinwiddie,Ricky Rubio,Dennis Schroder,Jrue Holiday,Paul George,Bojan Bogdanovic,Jayson Tatum,Marvin III,Brook Lopez,252.7
Jamal Murray,Ricky Rubio,CJ McCollum,Bogdan Bogdanovic,Paul George,Bojan Bogdanovic,Paul Millsap,Derrick Favors,Nikola Jokic,285.0
Darren Collison,Spencer Dinwiddie,Khris Middleton,Kent Bazemore,Paul George,Bojan Bogdanovic,Blake Griffin,Kyle Kuzma,Al Horford,280.9
Kyrie Irving,Russell Westbrook,Buddy Hield,Bogdan Bogdanovic,Gordon Hayward,Bojan Bogdanovic,Paul Millsap,Kyle Kuzma,JaVale McGee,299.9
Darren Collison,Spencer Dinwiddie,CJ McCollum,Bogdan Bogdanovic,LeBron James,Bojan Bogdanovic,Larry Jr,Kyle Kuzma,Nikola Jokic,247.6
Kyrie Irving,Darren Collison,Dennis Schroder,Kent Bazemore,Paul George,Bojan Bogdanovic,Paul Millsap,Marvin III,Rudy Gobert,278.6
Darren Collison,Spencer Dinwiddie,Andrew Wiggins,Buddy Hield,Paul George,Bojan Bogdanovic,Serge Ibaka,Thaddeus Young,Nikola Jokic,235.7
