PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Spencer Dinwiddie,Kent Bazemore,Jeremy Lamb,Kawhi Leonard,Gordon Hayward,Aaron Gordon,Serge Ibaka,Nikola Vucevic,315.1
Spencer Dinwiddie,Kyrie Irving,Kent Bazemore,Lou Williams,Kawhi Leonard,Danilo Gallinari,Jayson Tatum,Serge Ibaka,Alex Len,232.5
Kemba Walker,Jamal Murray,Dwyane Wade,Jeremy Lamb,Kawhi Leonard,Justise Winslow,Jayson Tatum,Serge Ibaka,Alex Len,274.8
Kemba Walker,Spencer Dinwiddie,James Harden,Kent Bazemore,Josh Richardson,Justise Winslow,Domantas Sabonis,Serge Ibaka,Alex Len,237.5
Spencer Dinwiddie,Kyrie Irving,Dwyane Wade,Jeremy Lamb,Kawhi Leonard,Gordon Hayward,Pascal Siakam,Montrezl Harrell,Alex Len,279.2
Spencer Dinwiddie,Kyrie Irving,Dwyane Wade,Jeremy Lamb,Bojan Bogdanovic,Justise Winslow,Domantas Sabonis,Serge Ibaka,Nikola Vucevic,267.7
Spencer Dinwiddie,Jamal Murray,James Harden,Dwyane Wade,Rudy Gay,Gordon Hayward,Aaron Gordon,Serge Ibaka,Alex Len,290.8
Kyrie Irving,Jamal Murray,Kent Bazemore,Jeremy Lamb,Kawhi Leonard,Josh Richardson,Domantas Sabonis,Aaron Gordon,Alex Len,246.4
Kyrie Irving,Jamal Murray,Dwyane Wade,Kent Bazemore,Josh Richardson,Gordon Hayward,Jayson Tatum,Serge Ibaka,Nikola Vucevic,287.0
Spencer Dinwiddie,Jamal Murray,Lou Williams,Jeremy Lamb,Kawhi Leonard,Josh Richardson,Serge Ibaka,Montrezl Harrell,Thomas Bryant,279.5
Kemba Walker,Spencer Dinwiddie,Bradley Beal,Jeremy Lamb,Danilo Gallinari,Gordon Hayward,Domantas Sabonis,Jayson Tatum,Alex Len,266.5
Spencer Dinwiddie,Jamal Murray,Andrew Wiggins,Lou Williams,Justise Winslow,Gordon Hayward,Pascal Siakam,Serge Ibaka,Nikola Vucevic,307.7
Kemba Walker,Kyrie Irving,Lou Williams,Jeremy Lamb,Josh Richardson,Gordon Hayward,Serge Ibaka,Paul Millsap,Alex Len,249.5
Ben Simmons,Jamal Murray,Andrew Wiggins,Kent Bazemore,Kawhi Leonard,Gordon Hayward,Serge Ibaka,Montrezl Harrell,Alex Len,312.4
Spencer Dinwiddie,Kyrie Irving,Kent Bazemore,Lou Williams,Rudy Gay,Gordon Hayward,Domantas Sabonis,Montrezl Harrell,Nikola Vucevic,268.4
Kemba Walker,Kyrie Irving,Andrew Wiggins,Kent Bazemore,Justise Winslow,Gordon Hayward,Aaron Gordon,Jayson Tatum,Alex Len,258.8
Kemba Walker,Spencer Dinwiddie,Dwyane Wade,Kent Bazemore,Kawhi Leonard,Rudy Gay,Domantas Sabonis,Jayson Tatum,Al Horford,275.8
Kemba Walker,Spencer Dinwiddie,Lou Williams,Jeremy Lamb,Bojan Bogdanovic,Justise Winslow,Aaron Gordon,Montrezl Harrell,Alex Len,245.6
Spencer Dinwiddie,Kyrie Irving,Kent Bazemore,Jeremy Lamb,Josh Richardson,Justise Winslow,Jayson Tatum,Montrezl Harrell,Rudy Gobert,224.5
Spencer Dinwiddie,Jamal Murray,Dwyane Wade,Kent Bazemore,Danilo Gallinari,Justise Winslow,Aaron Gordon,Montrezl Harrell,Nikola Vucevic,252.6
Kemba Walker,Spencer Dinwiddie,Dwyane Wade,Jeremy Lamb,Josh Richardson,Danilo Gallinari,Pascal Siakam,Serge Ibaka,Al Horford,280.0
Damian Lillard,Spencer Dinwiddie,Andrew Wiggins,Jeremy Lamb,Kawhi Leonard,Rudy Gay,Domantas Sabonis,Serge Ibaka,Alex Len,269.1
Kemba Walker,Jamal Murray,Kent Bazemore,Lou Williams,Danilo Gallinari,Gordon Hayward,Domantas Sabonis,Serge Ibaka,Al Horford,297.3
Kemba Walker,Kyrie Irving,Dwyane Wade,Kent Bazemore,Bojan Bogdanovic,Rudy Gay,Serge Ibaka,Montrezl Harrell,Alex Len,256.6
Kemba Walker,Spencer Dinwiddie,Dwyane Wade,Lou Williams,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Serge Ibaka,Thomas Bryant,299.4
Ben Simmons,Spencer Dinwiddie,Dwyane Wade,Kent Bazemore,Kawhi Leonard,Justise Winslow,Serge Ibaka,Paul Millsap,Thomas Bryant,269.4
Spencer Dinwiddie,Jamal Murray,Andrew Wiggins,Jeremy Lamb,Kawhi Leonard,Gordon Hayward,Jayson Tatum,Paul Millsap,Al Horford,285.4
Spencer Dinwiddie,Jamal Murray,Bradley Beal,Kent Bazemore,Kawhi Leonard,Justise Winslow,Pascal Siakam,Thaddeus Young,Alex Len,257.2
Ben Simmons,Kyrie Irving,Kent Bazemore,Jeremy Lamb,Justise Winslow,Gordon Hayward,Pascal Siakam,Serge Ibaka,Al Horford,299.8
Kemba Walker,Jamal Murray,Kent Bazemore,Lou Williams,Bojan Bogdanovic,Josh Richardson,Pascal Siakam,Jayson Tatum,Alex Len,255.8
Spencer Dinwiddie,Jamal Murray,Andrew Wiggins,Kent Bazemore,Bojan Bogdanovic,Josh Richardson,Aaron Gordon,Serge Ibaka,Karl-Anthony Towns,286.5
Kemba Walker,Jamal Murray,Kent Bazemore,Jeremy Lamb,Rudy Gay,Justise Winslow,Domantas Sabonis,Paul Millsap,Nikola Vucevic,248.4
Kyrie Irving,Jamal Murray,Kent Bazemore,Lou Williams,Rudy Gay,Justise Winslow,Aaron Gordon,Serge Ibaka,Thomas Bryant,259.1
Damian Lillard,Spencer Dinwiddie,Bradley Beal,Kent Bazemore,Josh Richardson,Gordon Hayward,Aaron Gordon,Montrezl Harrell,Alex Len,257.8
Ben Simmons,Spencer Dinwiddie,Lou Williams,Jeremy Lamb,Josh Richardson,Gordon Hayward,Domantas Sabonis,Aaron Gordon,Al Horford,295.1
Ben Simmons,Kemba Walker,Kent Bazemore,Jeremy Lamb,Josh Richardson,Rudy Gay,Jayson Tatum,Serge Ibaka,Thomas Bryant,292.7
Kemba Walker,Spencer Dinwiddie,Andrew Wiggins,Kent Bazemore,Bojan Bogdanovic,Gordon Hayward,Pascal Siakam,Montrezl Harrell,Al Horford,307.0
Spencer Dinwiddie,Kyrie Irving,Kent Bazemore,Jeremy Lamb,Bojan Bogdanovic,Danilo Gallinari,Aaron Gordon,Paul Millsap,Al Horford,232.0
Spencer Dinwiddie,Jamal Murray,Kent Bazemore,Jeremy Lamb,Danilo Gallinari,Rudy Gay,Pascal Siakam,Jayson Tatum,Karl-Anthony Towns,270.8
Spencer Dinwiddie,Kyrie Irving,Andrew Wiggins,Jeremy Lamb,Danilo Gallinari,Gordon Hayward,Serge Ibaka,Thaddeus Young,Thomas Bryant,293.0
