PG,PG,SG,SG,SF,SF,PF,PF,C,P
Seth Curry,Patty Mills,Terrance Ferguson,Torrey Craig,Davis Bertans,Norman Powell,Al-Farouq Aminu,Paul Millsap,Nerlens Noel,144.6
Seth Curry,Patty Mills,Terrance Ferguson,Torrey Craig,Jake Layman,Wes Iwundu,Khem Birch,Markieff Morris,Jakob Poeltl,74.5
Seth Curry,Fred VanVleet,Malik Beasley,Terrance Ferguson,Davis Bertans,Norman Powell,Khem Birch,Markieff Morris,Mason Plumlee,112.6
Michael Carter-Williams,Patty Mills,DeMar DeRozan,Dennis Schroder,Jake Layman,Wes Iwundu,Al-Farouq Aminu,Paul Millsap,Marc Gasol,179.2
Michael Carter-Williams,Jeremy Lin,Terrence Ross,Malik Beasley,Davis Bertans,Norman Powell,Al-Farouq Aminu,Paul Millsap,Mason Plumlee,158.5
Michael Carter-Williams,Jeremy Lin,Terrence Ross,Marco Belinelli,Jake Layman,Wes Iwundu,Khem Birch,Markieff Morris,Mason Plumlee,109.4
Michael Carter-Williams,Jeremy Lin,CJ McCollum,Marco Belinelli,Paul George,Rudy Gay,Al-Farouq Aminu,Eric Moreland,Mason Plumlee,182.8
Kyle Lowry,DJ Augustin,DeMar DeRozan,Monte Morris,Davis Bertans,Norman Powell,Khem Birch,Markieff Morris,Jakob Poeltl,131.6
Damian Lillard,Kyle Lowry,DeMar DeRozan,Monte Morris,Jake Layman,Wes Iwundu,Serge Ibaka,Paul Millsap,Jakob Poeltl,194.5
Damian Lillard,Jamal Murray,Monte Morris,Terrance Ferguson,Evan Turner,Norman Powell,Khem Birch,Serge Ibaka,Jakob Poeltl,181.9
Jamal Murray,Bryn Forbes,Gary Harris,Marco Belinelli,Jake Layman,Wes Iwundu,Paul Millsap,Markieff Morris,Marc Gasol,186.3
Jamal Murray,Bryn Forbes,Dennis Schroder,Evan Fournier,Maurice Harkless,Davis Bertans,Paul Millsap,Eric Moreland,Marc Gasol,182.9
Jamal Murray,Bryn Forbes,Dennis Schroder,CJ McCollum,Evan Turner,Will Barton,Paul Millsap,Markieff Morris,Nerlens Noel,195.0
Fred VanVleet,Jeremy Lin,Dennis Schroder,Marco Belinelli,Evan Turner,Davis Bertans,Paul Millsap,Markieff Morris,Marc Gasol,127.1
Kyle Lowry,Seth Curry,Evan Fournier,Gary Harris,Will Barton,Davis Bertans,Paul Millsap,Markieff Morris,Marc Gasol,173.3
Derrick White,Fred VanVleet,Danny Green,Malik Beasley,Jake Layman,Wes Iwundu,LaMarcus Aldridge,Zach Collins,Steven Adams,152.9
DJ Augustin,Michael Carter-Williams,Dennis Schroder,Danny Green,Rudy Gay,Jake Layman,Al-Farouq Aminu,Markieff Morris,Steven Adams,130.3
Patty Mills,Jeremy Lin,DeMar DeRozan,Torrey Craig,Kawhi Leonard,Wes Iwundu,Aaron Gordon,Jerami Grant,Jakob Poeltl,165.1
DJ Augustin,Derrick White,Dennis Schroder,Danny Green,Rodney Hood,Davis Bertans,Jerami Grant,Eric Moreland,Enes Kanter,76.7
DJ Augustin,Michael Carter-Williams,Gary Harris,Malik Beasley,Maurice Harkless,Davis Bertans,LaMarcus Aldridge,Serge Ibaka,Jakob Poeltl,171.4
Derrick White,Michael Carter-Williams,Marco Belinelli,Terrance Ferguson,Kawhi Leonard,Maurice Harkless,LaMarcus Aldridge,Serge Ibaka,Mason Plumlee,214.6
Damian Lillard,Michael Carter-Williams,Gary Harris,Malik Beasley,Kawhi Leonard,Jonathan Isaac,LaMarcus Aldridge,Zach Collins,Mason Plumlee,246.9
Patty Mills,Jeremy Lin,Gary Harris,Malik Beasley,Maurice Harkless,Davis Bertans,Khem Birch,Pascal Siakam,Mason Plumlee,161.9
DJ Augustin,Patty Mills,CJ McCollum,Terrance Ferguson,Maurice Harkless,Wes Iwundu,Paul Millsap,Zach Collins,Enes Kanter,170.3
Russell Westbrook,Jeremy Lin,CJ McCollum,Gary Harris,Rudy Gay,Jonathan Isaac,Paul Millsap,Zach Collins,Enes Kanter,210.7
Kyle Lowry,Jeremy Lin,CJ McCollum,Terrance Ferguson,Will Barton,Jake Layman,Paul Millsap,Zach Collins,Nerlens Noel,161.4
Kyle Lowry,Patty Mills,CJ McCollum,Malik Beasley,Rudy Gay,Jake Layman,Aaron Gordon,Zach Collins,Enes Kanter,165.0
DJ Augustin,Patty Mills,CJ McCollum,Malik Beasley,Jonathan Isaac,Will Barton,Aaron Gordon,Paul Millsap,Marc Gasol,200.6
Bryn Forbes,Michael Carter-Williams,CJ McCollum,Malik Beasley,Maurice Harkless,Rudy Gay,Paul Millsap,Zach Collins,Steven Adams,219.3
Russell Westbrook,Kyle Lowry,CJ McCollum,Malik Beasley,Davis Bertans,Wes Iwundu,Paul Millsap,Zach Collins,Nikola Vucevic,186.4
Damian Lillard,Patty Mills,Terrence Ross,Malik Beasley,Kawhi Leonard,Davis Bertans,Aaron Gordon,Zach Collins,Marc Gasol,242.3
Damian Lillard,Patty Mills,CJ McCollum,Terrence Ross,Paul George,Evan Turner,Paul Millsap,Eric Moreland,Marc Gasol,250.1
Damian Lillard,Patty Mills,DeMar DeRozan,Dennis Schroder,Jonathan Isaac,Rodney Hood,Eric Moreland,Zach Collins,Marc Gasol,188.4
Michael Carter-Williams,Patty Mills,Terrence Ross,Malik Beasley,Evan Turner,Wes Iwundu,Eric Moreland,Zach Collins,Mason Plumlee,110.4
Michael Carter-Williams,Patty Mills,Terrence Ross,Terrance Ferguson,Paul George,Rodney Hood,Aaron Gordon,Zach Collins,Nikola Jokic,205.6
Seth Curry,Michael Carter-Williams,Terrence Ross,Danny Green,Jonathan Isaac,Evan Turner,Aaron Gordon,Zach Collins,Marc Gasol,153.8
Michael Carter-Williams,Patty Mills,Danny Green,Terrance Ferguson,Kawhi Leonard,Rudy Gay,Eric Moreland,Zach Collins,Marc Gasol,179.7
Michael Carter-Williams,Patty Mills,Terrence Ross,Danny Green,Jonathan Isaac,Davis Bertans,Paul Millsap,Eric Moreland,Nikola Jokic,173.5
Seth Curry,Patty Mills,Terrence Ross,Danny Green,Paul George,Kawhi Leonard,Paul Millsap,Zach Collins,Mason Plumlee,209.5
Seth Curry,Patty Mills,Terrence Ross,Danny Green,Rodney Hood,Wes Iwundu,Aaron Gordon,Eric Moreland,Nikola Vucevic,114.5
