PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Darren Collison,Bradley Beal,Dwyane Wade,Paul George,Bojan Bogdanovic,Serge Ibaka,Kyle Kuzma,Alex Len,265.0
Kyrie Irving,Jamal Murray,Dennis Schroder,Dwyane Wade,Paul George,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Rudy Gobert,217.9
Russell Westbrook,Kemba Walker,CJ McCollum,Dwyane Wade,Paul George,Bojan Bogdanovic,Thaddeus Young,Derrick Favors,Thomas Bryant,271.8
Russell Westbrook,Ricky Rubio,CJ McCollum,Dennis Schroder,Paul George,Justise Winslow,Kyle Kuzma,Derrick Favors,Alex Len,234.9
Russell Westbrook,Jamal Murray,Dennis Schroder,Jeremy Lamb,Paul George,Bojan Bogdanovic,Jayson Tatum,Thaddeus Young,Alex Len,265.3
Kyrie Irving,Damian Lillard,Bradley Beal,Dwyane Wade,Paul George,Justise Winslow,Thaddeus Young,Derrick Favors,Alex Len,243.3
Damian Lillard,Darren Collison,Dennis Schroder,Dwyane Wade,LeBron James,Paul George,Thaddeus Young,Kyle Kuzma,Thomas Bryant,244.4
Russell Westbrook,Kyrie Irving,Jeremy Lamb,Dwyane Wade,Paul George,Justise Winslow,Paul Millsap,Kyle Kuzma,Thomas Bryant,267.2
Kyrie Irving,Ricky Rubio,CJ McCollum,Bradley Beal,Paul George,Bojan Bogdanovic,Jayson Tatum,Kyle Kuzma,Thomas Bryant,231.9
Russell Westbrook,Kyrie Irving,Dennis Schroder,Bradley Beal,Bojan Bogdanovic,Justise Winslow,Serge Ibaka,Derrick Favors,Thomas Bryant,256.0
Darren Collison,Jamal Murray,CJ McCollum,Dwyane Wade,LeBron James,Paul George,Larry Jr,Derrick Favors,Alex Len,229.6
Kemba Walker,Darren Collison,Dennis Schroder,Bradley Beal,Paul George,Bojan Bogdanovic,Jayson Tatum,Derrick Favors,Dewayne Dedmon,229.4
Kyrie Irving,Darren Collison,Dennis Schroder,Dwyane Wade,LeBron James,Bojan Bogdanovic,Domantas Sabonis,Jayson Tatum,Alex Len,220.0
Kemba Walker,Damian Lillard,Jeremy Lamb,Kent Bazemore,Paul George,Bojan Bogdanovic,Kyle Kuzma,Derrick Favors,Alex Len,247.6
Kemba Walker,Jamal Murray,Dennis Schroder,Dwyane Wade,Paul George,Justise Winslow,Domantas Sabonis,Serge Ibaka,Alex Len,265.5
Darren Collison,Jamal Murray,Bradley Beal,Dwyane Wade,Paul George,Justise Winslow,Anthony Davis,Noah Vonleh,Thomas Bryant,290.8
Ricky Rubio,Jamal Murray,Jeremy Lamb,Dwyane Wade,Giannis Antetokounmpo,Paul George,Noah Vonleh,Kyle Kuzma,Alex Len,276.3
Darren Collison,Ricky Rubio,Jeremy Lamb,Dwyane Wade,Paul George,Bojan Bogdanovic,Paul Millsap,Derrick Favors,Joel Embiid,244.0
Damian Lillard,Jamal Murray,Dwyane Wade,Khris Middleton,Paul George,Bojan Bogdanovic,Serge Ibaka,Jayson Tatum,Thomas Bryant,264.8
Kyrie Irving,Darren Collison,Dennis Schroder,Jeremy Lamb,Paul George,Josh Richardson,Serge Ibaka,Derrick Favors,Alex Len,228.6
Russell Westbrook,Darren Collison,Dennis Schroder,Dwyane Wade,Bojan Bogdanovic,Justise Winslow,Anthony Davis,Thaddeus Young,Dewayne Dedmon,246.2
Damian Lillard,Ricky Rubio,Dennis Schroder,Bradley Beal,Paul George,Bojan Bogdanovic,Noah Vonleh,Domantas Sabonis,Alex Len,279.8
Russell Westbrook,Ricky Rubio,Dennis Schroder,Dwyane Wade,Giannis Antetokounmpo,Bojan Bogdanovic,Larry Jr,Kyle Kuzma,Thomas Bryant,226.2
Kyrie Irving,Darren Collison,Jrue Holiday,CJ McCollum,Paul George,Bojan Bogdanovic,Pascal Siakam,Thaddeus Young,Alex Len,230.6
Kemba Walker,Jamal Murray,Dwyane Wade,Khris Middleton,LeBron James,Bojan Bogdanovic,Thaddeus Young,Kyle Kuzma,Alex Len,250.8
Russell Westbrook,Kyrie Irving,Jeremy Lamb,Dwyane Wade,Bojan Bogdanovic,Gordon Hayward,Pascal Siakam,Derrick Favors,Alex Len,236.4
Kemba Walker,Ricky Rubio,Bradley Beal,Dwyane Wade,LeBron James,Justise Winslow,Kyle Kuzma,Derrick Favors,Thomas Bryant,246.3
Kyrie Irving,Darren Collison,CJ McCollum,Dwyane Wade,Gordon Hayward,Justise Winslow,Anthony Davis,Kyle Kuzma,Alex Len,219.1
Darren Collison,Jamal Murray,CJ McCollum,Bradley Beal,Bojan Bogdanovic,Justise Winslow,Kyle Kuzma,Derrick Favors,Joel Embiid,238.9
Russell Westbrook,Darren Collison,Jeremy Lamb,Bradley Beal,Paul George,Gordon Hayward,Larry Jr,Derrick Favors,Thomas Bryant,260.8
Ben Simmons,Darren Collison,Jeremy Lamb,Bradley Beal,LeBron James,Bojan Bogdanovic,Thaddeus Young,Derrick Favors,Alex Len,256.8
Kyrie Irving,Darren Collison,Dennis Schroder,Bradley Beal,Paul George,Justise Winslow,Domantas Sabonis,Kyle Kuzma,Brook Lopez,233.6
Damian Lillard,Darren Collison,Bradley Beal,Dwyane Wade,Giannis Antetokounmpo,Bojan Bogdanovic,Domantas Sabonis,Derrick Favors,Thomas Bryant,268.9
Darren Collison,Ricky Rubio,Jrue Holiday,Dwyane Wade,Paul George,Justise Winslow,Jayson Tatum,Kyle Kuzma,Rudy Gobert,229.4
Russell Westbrook,Jamal Murray,CJ McCollum,Kent Bazemore,Paul George,Bojan Bogdanovic,Noah Vonleh,Kyle Kuzma,Dewayne Dedmon,280.0
Russell Westbrook,Darren Collison,Dennis Schroder,Khris Middleton,Paul George,Bojan Bogdanovic,Pascal Siakam,Paul Millsap,Thomas Bryant,253.3
Russell Westbrook,Kyrie Irving,Khris Middleton,Kent Bazemore,Bojan Bogdanovic,Justise Winslow,Jayson Tatum,Kyle Kuzma,Alex Len,225.6
Russell Westbrook,Ricky Rubio,Jeremy Lamb,Bradley Beal,Bojan Bogdanovic,Justise Winslow,Thaddeus Young,Kyle Kuzma,Rudy Gobert,257.5
Ricky Rubio,Jamal Murray,Jrue Holiday,Dwyane Wade,Bojan Bogdanovic,Justise Winslow,Anthony Davis,Derrick Favors,Alex Len,250.0
Kyrie Irving,Ben Simmons,Jeremy Lamb,Dwyane Wade,Paul George,Bojan Bogdanovic,Serge Ibaka,Thaddeus Young,Mitchell Robinson,259.8
