PG,PG,SG,SG,SF,SF,PF,PF,C,P
Jamal Murray,Kyrie Irving,Dennis Schroder,CJ McCollum,Larry Jr,Gordon Hayward,Kyle Kuzma,Aaron Gordon,Al Horford,203.5
Jamal Murray,Isaiah Briscoe,Dennis Schroder,CJ McCollum,Paul George,Larry Jr,Jayson Tatum,Paul Millsap,Nikola Vucevic,200.4
Jamal Murray,Kyrie Irving,Svi Mykhailiuk,Deonte Burton,Paul George,Larry Jr,Kyle Kuzma,Blake Griffin,Nikola Vucevic,220.9
Damian Lillard,Kyrie Irving,Dennis Schroder,CJ McCollum,Gordon Hayward,Wes Iwundu,Jayson Tatum,Paul Millsap,JaVale McGee,218.3
Jamal Murray,Kyrie Irving,CJ McCollum,Deonte Burton,Paul George,Gordon Hayward,Jayson Tatum,Nikola Jokic,Ivica Zubac,214.8
Kyrie Irving,Raymond Felton,CJ McCollum,Svi Mykhailiuk,Paul George,Gordon Hayward,Aaron Gordon,Paul Millsap,Nikola Vucevic,192.4
Jamal Murray,Damian Lillard,CJ McCollum,Svi Mykhailiuk,Paul George,Wes Iwundu,Kyle Kuzma,Jayson Tatum,Al Horford,266.5
Kyrie Irving,Raymond Felton,Dennis Schroder,CJ McCollum,Paul George,Sam Dekker,Kyle Kuzma,Blake Griffin,JaVale McGee,202.5
Jamal Murray,Damian Lillard,CJ McCollum,Deonte Burton,Paul George,Sam Dekker,Aaron Gordon,Paul Millsap,JaVale McGee,243.6
Damian Lillard,Kyrie Irving,Dennis Schroder,Svi Mykhailiuk,Paul George,Larry Jr,Jayson Tatum,Aaron Gordon,Ivica Zubac,178.5
Kyrie Irving,Isaiah Briscoe,Dennis Schroder,Deonte Burton,Paul George,Gordon Hayward,Blake Griffin,Paul Millsap,Al Horford,169.8
Jamal Murray,Damian Lillard,Dennis Schroder,Deonte Burton,Gordon Hayward,Sam Dekker,Jayson Tatum,Blake Griffin,Nikola Vucevic,235.7
Jamal Murray,Isaiah Briscoe,Dennis Schroder,Svi Mykhailiuk,Paul George,Gordon Hayward,Kyle Kuzma,Nikola Jokic,JaVale McGee,198.2
Damian Lillard,Raymond Felton,CJ McCollum,Deonte Burton,Larry Jr,Gordon Hayward,Kyle Kuzma,Nikola Jokic,Nikola Vucevic,225.7
Jamal Murray,Raymond Felton,CJ McCollum,Svi Mykhailiuk,LeBron James,Larry Jr,Jayson Tatum,Blake Griffin,JaVale McGee,247.2
Damian Lillard,Kyrie Irving,CJ McCollum,Svi Mykhailiuk,Larry Jr,Sam Dekker,Nikola Jokic,Paul Millsap,Al Horford,212.8
Jamal Murray,Raymond Felton,Dennis Schroder,Deonte Burton,Paul George,Larry Jr,Nikola Jokic,Aaron Gordon,Steven Adams,163.3
Kyrie Irving,Isaiah Briscoe,CJ McCollum,Deonte Burton,LeBron James,Larry Jr,Kyle Kuzma,Paul Millsap,JaVale McGee,209.6
Damian Lillard,Kyrie Irving,CJ McCollum,Deonte Burton,Larry Jr,Juancho Hernangomez,Jayson Tatum,Blake Griffin,Steven Adams,215.7
Damian Lillard,Isaiah Briscoe,Dennis Schroder,Deonte Burton,Paul George,Wes Iwundu,Kyle Kuzma,Aaron Gordon,Nikola Vucevic,200.6
Isaiah Briscoe,Raymond Felton,CJ McCollum,Deonte Burton,LeBron James,Paul George,Jayson Tatum,Aaron Gordon,Al Horford,224.5
Jamal Murray,Raymond Felton,Dennis Schroder,CJ McCollum,Gordon Hayward,Sam Dekker,Nikola Jokic,Paul Millsap,Andre Drummond,190.9
Russell Westbrook,Isaiah Briscoe,CJ McCollum,Svi Mykhailiuk,Larry Jr,Gordon Hayward,Kyle Kuzma,Jayson Tatum,Andre Drummond,198.0
Jamal Murray,Russell Westbrook,Dennis Schroder,Svi Mykhailiuk,Larry Jr,Gordon Hayward,Blake Griffin,Paul Millsap,Ivica Zubac,149.9
Damian Lillard,Isaiah Briscoe,Dennis Schroder,CJ McCollum,Larry Jr,Juancho Hernangomez,Nikola Jokic,Aaron Gordon,JaVale McGee,195.7
Kyrie Irving,Russell Westbrook,CJ McCollum,Deonte Burton,Sam Dekker,Wes Iwundu,Jayson Tatum,Aaron Gordon,Nikola Vucevic,200.1
Kyrie Irving,Raymond Felton,Dennis Schroder,Svi Mykhailiuk,LeBron James,Wes Iwundu,Kyle Kuzma,Jayson Tatum,Nikola Vucevic,205.2
Jamal Murray,Isaiah Briscoe,CJ McCollum,Svi Mykhailiuk,Paul George,Juancho Hernangomez,Blake Griffin,Aaron Gordon,Andre Drummond,219.7
Jamal Murray,Kyrie Irving,CJ McCollum,Kyle Korver,Paul George,Juancho Hernangomez,Kyle Kuzma,Paul Millsap,Steven Adams,226.7
Jamal Murray,Russell Westbrook,Dennis Schroder,Deonte Burton,Larry Jr,Wes Iwundu,Kyle Kuzma,Jayson Tatum,JaVale McGee,182.2
Russell Westbrook,Raymond Felton,Dennis Schroder,Svi Mykhailiuk,Paul George,Sam Dekker,Jayson Tatum,Paul Millsap,Al Horford,160.6
Jamal Murray,Kyrie Irving,Svi Mykhailiuk,Alex Abrines,LeBron James,Gordon Hayward,Jayson Tatum,Paul Millsap,Al Horford,231.1
