PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kemba Walker,Ricky Rubio,Jeremy Lamb,Donte DiVincenzo,Kawhi Leonard,Rudy Gay,Serge Ibaka,Pascal Siakam,Mitchell Robinson,300.9
Kemba Walker,Bryn Forbes,Jeremy Lamb,Khris Middleton,Giannis Antetokounmpo,Rudy Gay,Noah Vonleh,Derrick Favors,Mitchell Robinson,277.4
Kemba Walker,Ricky Rubio,Khris Middleton,Donte DiVincenzo,Giannis Antetokounmpo,Thabo Sefolosha,Noah Vonleh,Pascal Siakam,Brook Lopez,274.2
Kemba Walker,Ricky Rubio,Sterling Brown,Delon Wright,Giannis Antetokounmpo,Rudy Gay,Serge Ibaka,Derrick Favors,Brook Lopez,298.0
Tony Parker,Frank Ntilikina,Jeremy Lamb,Khris Middleton,Giannis Antetokounmpo,Rudy Gay,Serge Ibaka,Pascal Siakam,Brook Lopez,288.3
Ricky Rubio,Frank Ntilikina,Khris Middleton,Donte DiVincenzo,Giannis Antetokounmpo,Kawhi Leonard,Serge Ibaka,Derrick Favors,Greg Monroe,240.1
Kemba Walker,Raul Neto,Jeremy Lamb,Khris Middleton,Kawhi Leonard,Mario Hezonja,Serge Ibaka,Derrick Favors,Brook Lopez,259.1
Ricky Rubio,Patty Mills,Jeremy Lamb,Marco Belinelli,Giannis Antetokounmpo,Kawhi Leonard,Noah Vonleh,Derrick Favors,Brook Lopez,259.7
Fred VanVleet,Patty Mills,Jeremy Lamb,Khris Middleton,Kawhi Leonard,Rudy Gay,Pascal Siakam,Derrick Favors,Rudy Gobert,269.9
Ricky Rubio,Tony Parker,Khris Middleton,Pat Connaughton,Kawhi Leonard,Rudy Gay,Serge Ibaka,Noah Vonleh,Rudy Gobert,281.7
Raul Neto,Derrick White,Jeremy Lamb,Khris Middleton,Giannis Antetokounmpo,Kawhi Leonard,Noah Vonleh,Pascal Siakam,Jakob Poeltl,245.5
Kemba Walker,Fred VanVleet,Donte DiVincenzo,Marco Belinelli,Giannis Antetokounmpo,Rudy Gay,Serge Ibaka,Noah Vonleh,Rudy Gobert,307.1
Kemba Walker,Frank Ntilikina,Jeremy Lamb,Donte DiVincenzo,Giannis Antetokounmpo,OG Anunoby,Pascal Siakam,Derrick Favors,Rudy Gobert,246.5
Kemba Walker,Ricky Rubio,Jeremy Lamb,Kyle Korver,Giannis Antetokounmpo,Mario Hezonja,Serge Ibaka,Noah Vonleh,Greg Monroe,240.5
Kemba Walker,Frank Ntilikina,Khris Middleton,Sterling Brown,Giannis Antetokounmpo,Kawhi Leonard,Pascal Siakam,Ersan Ilyasova,Mitchell Robinson,264.1
Kemba Walker,Ricky Rubio,Khris Middleton,Courtney Lee,Kawhi Leonard,Rudy Gay,Marvin Williams,Derrick Favors,Jakob Poeltl,260.7
Kemba Walker,Kyle Lowry,Khris Middleton,Delon Wright,Kawhi Leonard,Rudy Gay,Noah Vonleh,Pascal Siakam,Greg Monroe,255.6
Ricky Rubio,Derrick White,Jeremy Lamb,Courtney Lee,Giannis Antetokounmpo,Rudy Gay,Pascal Siakam,Derrick Favors,Greg Monroe,250.7
Kemba Walker,Tony Parker,Pat Connaughton,Kyle Korver,Giannis Antetokounmpo,Kawhi Leonard,Pascal Siakam,Derrick Favors,Brook Lopez,266.7
Kemba Walker,Bryn Forbes,Malik Monk,Courtney Lee,Giannis Antetokounmpo,Kawhi Leonard,Serge Ibaka,Noah Vonleh,Brook Lopez,294.3
Kemba Walker,Derrick White,Khris Middleton,Donte DiVincenzo,Kawhi Leonard,Royce O'Neale,Noah Vonleh,Derrick Favors,Rudy Gobert,243.2
Kemba Walker,Derrick White,Danny Green,Marco Belinelli,Giannis Antetokounmpo,Kawhi Leonard,Serge Ibaka,Derrick Favors,Mitchell Robinson,290.2
Kemba Walker,Ricky Rubio,Khris Middleton,Courtney Lee,Giannis Antetokounmpo,OG Anunoby,Serge Ibaka,Frank Kaminsky,Mitchell Robinson,237.8
Kemba Walker,Ricky Rubio,Pat Connaughton,Delon Wright,Giannis Antetokounmpo,Kawhi Leonard,Noah Vonleh,Marvin Williams,Mitchell Robinson,251.2
Ricky Rubio,Raul Neto,Jeremy Lamb,Malik Monk,Giannis Antetokounmpo,Rudy Gay,Serge Ibaka,Frank Kaminsky,Rudy Gobert,265.5
Ricky Rubio,Tony Parker,Jeremy Lamb,Khris Middleton,Giannis Antetokounmpo,Mario Hezonja,Derrick Favors,Ersan Ilyasova,Rudy Gobert,235.7
Kemba Walker,Frank Ntilikina,Malik Monk,Kyle Korver,Kawhi Leonard,Rudy Gay,Serge Ibaka,Derrick Favors,Rudy Gobert,282.0
Kemba Walker,Tony Parker,Jeremy Lamb,Delon Wright,Giannis Antetokounmpo,Kawhi Leonard,Serge Ibaka,Ersan Ilyasova,Jakob Poeltl,267.7
Fred VanVleet,Patty Mills,Malcolm Brogdon,Khris Middleton,Giannis Antetokounmpo,Kawhi Leonard,Serge Ibaka,Noah Vonleh,Mitchell Robinson,265.1
Kemba Walker,Emmanuel Mudiay,Jeremy Lamb,Sterling Brown,Kawhi Leonard,Rudy Gay,Noah Vonleh,Ersan Ilyasova,Rudy Gobert,270.7
Kemba Walker,Derrick White,Jeremy Lamb,Khris Middleton,Rudy Gay,OG Anunoby,Serge Ibaka,Kevin Knox,Rudy Gobert,302.2
Kemba Walker,Ricky Rubio,Jeremy Lamb,Delon Wright,Kawhi Leonard,Thabo Sefolosha,Frank Kaminsky,Derrick Favors,Rudy Gobert,239.9
Kemba Walker,Fred VanVleet,Jeremy Lamb,Marco Belinelli,Giannis Antetokounmpo,Kawhi Leonard,Pascal Siakam,Frank Kaminsky,Greg Monroe,264.5
Ricky Rubio,Bryn Forbes,Damyean Dotson,Malik Monk,Giannis Antetokounmpo,Kawhi Leonard,Pascal Siakam,Derrick Favors,Mitchell Robinson,245.2
Kemba Walker,Ricky Rubio,Danny Green,Kyle Korver,Kawhi Leonard,OG Anunoby,Noah Vonleh,Pascal Siakam,Rudy Gobert,263.4
Ricky Rubio,Raul Neto,Khris Middleton,Marco Belinelli,Giannis Antetokounmpo,Rudy Gay,Marvin Williams,Pascal Siakam,Mitchell Robinson,253.4
Kemba Walker,Ricky Rubio,Khris Middleton,Sterling Brown,Rudy Gay,Michael Kidd-Gilchrist,Pascal Siakam,Frank Kaminsky,Rudy Gobert,264.8
Ricky Rubio,Bryn Forbes,Jeremy Lamb,Pat Connaughton,Giannis Antetokounmpo,Royce O'Neale,Noah Vonleh,Pascal Siakam,Rudy Gobert,247.9
Kemba Walker,Ricky Rubio,Jeremy Lamb,Khris Middleton,Rudy Gay,Miles Bridges,LaMarcus Aldridge,Ersan Ilyasova,Brook Lopez,268.4
Kemba Walker,Patty Mills,Khris Middleton,Pat Connaughton,Giannis Antetokounmpo,Rudy Gay,Serge Ibaka,Ersan Ilyasova,Greg Monroe,253.3
