PG,PG,SG,SG,SF,SF,PF,PF,C,P
Darren Collison,Shaun Livingston,Lou Williams,Buddy Hield,LeBron James,Bojan Bogdanovic,Domantas Sabonis,Marvin III,Willie Cauley-Stein,261.6
Darren Collison,Patrick Beverley,Lou Williams,Bogdan Bogdanovic,LeBron James,Danilo Gallinari,Marvin III,Thaddeus Young,JaVale McGee,272.5
Darren Collison,Cory Joseph,Buddy Hield,Bogdan Bogdanovic,LeBron James,Bojan Bogdanovic,Montrezl Harrell,Serge Ibaka,JaVale McGee,269.6
Darren Collison,Cory Joseph,Lou Williams,Buddy Hield,Kawhi Leonard,Danilo Gallinari,Domantas Sabonis,Kyle Kuzma,JaVale McGee,263.3
Fred VanVleet,Darren Collison,Lou Williams,Bogdan Bogdanovic,Kawhi Leonard,Bojan Bogdanovic,Montrezl Harrell,Thaddeus Young,Willie Cauley-Stein,255.2
Darren Collison,Shai Gilgeous-Alexander,Buddy Hield,Bogdan Bogdanovic,Kawhi Leonard,Danilo Gallinari,Marvin III,Serge Ibaka,Willie Cauley-Stein,292.1
Darren Collison,Shai Gilgeous-Alexander,Lou Williams,Buddy Hield,Kevin Durant,Bojan Bogdanovic,Pascal Siakam,Thaddeus Young,JaVale McGee,272.1
Darren Collison,Shaun Livingston,Lou Williams,Bogdan Bogdanovic,Kevin Durant,Danilo Gallinari,Pascal Siakam,Kyle Kuzma,Willie Cauley-Stein,283.5
Darren Collison,Patrick Beverley,Buddy Hield,Bogdan Bogdanovic,LeBron James,Kawhi Leonard,Pascal Siakam,Kyle Kuzma,Kyle O'Quinn,266.9
Darren Collison,Quinn Cook,Lou Williams,Buddy Hield,LeBron James,Danilo Gallinari,Pascal Siakam,Serge Ibaka,Greg Monroe,226.0
Cory Joseph,Patrick Beverley,Lou Williams,Buddy Hield,LeBron James,Kawhi Leonard,Thaddeus Young,Serge Ibaka,Willie Cauley-Stein,267.5
Fred VanVleet,Shaun Livingston,Lou Williams,Bogdan Bogdanovic,LeBron James,Kawhi Leonard,Serge Ibaka,Kyle Kuzma,JaVale McGee,270.7
Darren Collison,Shaun Livingston,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,Kawhi Leonard,Domantas Sabonis,Thaddeus Young,Greg Monroe,313.8
Fred VanVleet,Quinn Cook,Buddy Hield,Bogdan Bogdanovic,LeBron James,Danilo Gallinari,Domantas Sabonis,Thaddeus Young,Willie Cauley-Stein,268.1
Darren Collison,Patrick Beverley,Lou Williams,Bogdan Bogdanovic,Kevin Durant,Bojan Bogdanovic,Domantas Sabonis,Serge Ibaka,Kyle O'Quinn,249.6
Fred VanVleet,Darren Collison,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,Bojan Bogdanovic,Marvin III,Kyle Kuzma,Boban Marjanovic,241.9
Quinn Cook,Patrick Beverley,Lou Williams,Buddy Hield,Kawhi Leonard,Bojan Bogdanovic,Montrezl Harrell,Marvin III,JaVale McGee,217.6
Darren Collison,Patrick Beverley,Victor Oladipo,Buddy Hield,Bojan Bogdanovic,Danilo Gallinari,Montrezl Harrell,Kyle Kuzma,Willie Cauley-Stein,196.4
Lonzo Ball,Cory Joseph,Buddy Hield,Bogdan Bogdanovic,Kawhi Leonard,Bojan Bogdanovic,Domantas Sabonis,Pascal Siakam,Willie Cauley-Stein,269.2
Darren Collison,Quinn Cook,Victor Oladipo,Bogdan Bogdanovic,Bojan Bogdanovic,Danilo Gallinari,Domantas Sabonis,Pascal Siakam,JaVale McGee,235.8
Lonzo Ball,Shaun Livingston,Lou Williams,Buddy Hield,Kevin Durant,Danilo Gallinari,Marvin III,Serge Ibaka,JaVale McGee,256.1
Darren Collison,Cory Joseph,Victor Oladipo,Lou Williams,LeBron James,Bojan Bogdanovic,Thaddeus Young,Kyle Kuzma,Kyle O'Quinn,209.4
Shai Gilgeous-Alexander,Patrick Beverley,Lou Williams,Buddy Hield,LeBron James,Danilo Gallinari,Montrezl Harrell,Domantas Sabonis,Kyle O'Quinn,252.1
De'Aaron Fox,Shai Gilgeous-Alexander,Lou Williams,Bogdan Bogdanovic,Bojan Bogdanovic,Danilo Gallinari,Montrezl Harrell,Kyle Kuzma,JaVale McGee,259.9
Cory Joseph,Shai Gilgeous-Alexander,Buddy Hield,Bogdan Bogdanovic,Kevin Durant,LeBron James,Marvin III,Thaddeus Young,Kyle O'Quinn,329.2
Quinn Cook,Shaun Livingston,Lou Williams,Buddy Hield,Kevin Durant,LeBron James,Thaddeus Young,Kyle Kuzma,Boban Marjanovic,254.8
Darren Collison,Shai Gilgeous-Alexander,Lou Williams,Delon Wright,LeBron James,Kawhi Leonard,Marvin III,Kyle Kuzma,Greg Monroe,273.2
Lonzo Ball,Fred VanVleet,Lou Williams,Buddy Hield,LeBron James,Bojan Bogdanovic,Montrezl Harrell,Kyle Kuzma,Greg Monroe,194.3
Lonzo Ball,Cory Joseph,Lou Williams,Bogdan Bogdanovic,LeBron James,Danilo Gallinari,Domantas Sabonis,Serge Ibaka,Boban Marjanovic,265.9
Shai Gilgeous-Alexander,Quinn Cook,Lou Williams,Bogdan Bogdanovic,LeBron James,Bojan Bogdanovic,Marvin III,Pascal Siakam,Boban Marjanovic,252.5
De'Aaron Fox,Shaun Livingston,Buddy Hield,Bogdan Bogdanovic,LeBron James,Danilo Gallinari,Montrezl Harrell,Marvin III,Greg Monroe,286.8
Darren Collison,Shaun Livingston,Victor Oladipo,Lou Williams,Kawhi Leonard,Danilo Gallinari,Thaddeus Young,Serge Ibaka,Boban Marjanovic,213.6
Kyle Lowry,De'Aaron Fox,Lou Williams,Bogdan Bogdanovic,LeBron James,Bojan Bogdanovic,Thaddeus Young,Serge Ibaka,Greg Monroe,276.6
Fred VanVleet,Cory Joseph,Lou Williams,Buddy Hield,Kevin Durant,Kawhi Leonard,Marvin III,Pascal Siakam,Greg Monroe,261.7
Fred VanVleet,Patrick Beverley,Victor Oladipo,Bogdan Bogdanovic,LeBron James,Bojan Bogdanovic,Marvin III,Serge Ibaka,Willie Cauley-Stein,221.4
Lonzo Ball,Darren Collison,Victor Oladipo,Bogdan Bogdanovic,Kawhi Leonard,Bojan Bogdanovic,Serge Ibaka,Kyle Kuzma,Greg Monroe,213.8
De'Aaron Fox,Quinn Cook,Lou Williams,Bogdan Bogdanovic,Kawhi Leonard,Danilo Gallinari,Domantas Sabonis,Marvin III,Kyle O'Quinn,273.2
Fred VanVleet,Kyle Lowry,Lou Williams,Buddy Hield,Kawhi Leonard,Bojan Bogdanovic,Domantas Sabonis,Serge Ibaka,Boban Marjanovic,225.4
Cory Joseph,Shaun Livingston,Victor Oladipo,Buddy Hield,LeBron James,Danilo Gallinari,Pascal Siakam,Thaddeus Young,JaVale McGee,256.9
Lonzo Ball,Darren Collison,Buddy Hield,Damion Lee,LeBron James,Danilo Gallinari,Montrezl Harrell,Thaddeus Young,Boban Marjanovic,245.3
