PG,PG,SG,SG,SF,SF,PF,PF,C,P
Damian Lillard,Spencer Dinwiddie,Dennis Schroder,Dwyane Wade,Paul George,Bojan Bogdanovic,Jayson Tatum,Thaddeus Young,JaVale McGee,257.4
Russell Westbrook,Ricky Rubio,Dennis Schroder,Dwyane Wade,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Domantas Sabonis,Brook Lopez,262.1
Russell Westbrook,Spencer Dinwiddie,CJ McCollum,Dwyane Wade,Bojan Bogdanovic,Gordon Hayward,Montrezl Harrell,Thaddeus Young,Alex Len,266.2
Ricky Rubio,Spencer Dinwiddie,Andrew Wiggins,Dwyane Wade,Paul George,Bojan Bogdanovic,Derrick Favors,Domantas Sabonis,Alex Len,254.0
Ricky Rubio,Darren Collison,Dennis Schroder,CJ McCollum,Paul George,Bojan Bogdanovic,Montrezl Harrell,Jayson Tatum,Al Horford,221.3
Ricky Rubio,Darren Collison,CJ McCollum,Dwyane Wade,Paul George,Gordon Hayward,Thaddeus Young,Domantas Sabonis,JaVale McGee,274.0
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Andrew Wiggins,Paul George,Gordon Hayward,Montrezl Harrell,Thaddeus Young,Brook Lopez,242.5
Darren Collison,Spencer Dinwiddie,Dennis Schroder,Dwyane Wade,Paul George,Josh Richardson,Montrezl Harrell,Domantas Sabonis,Dewayne Dedmon,232.6
Russell Westbrook,Darren Collison,Andrew Wiggins,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Jayson Tatum,Thaddeus Young,Al Horford,257.8
Damian Lillard,Darren Collison,Andrew Wiggins,Dwyane Wade,Danilo Gallinari,Bojan Bogdanovic,Montrezl Harrell,Domantas Sabonis,JaVale McGee,261.9
Russell Westbrook,Darren Collison,Lou Williams,Dennis Schroder,Bojan Bogdanovic,Gordon Hayward,Thaddeus Young,Derrick Favors,JaVale McGee,254.0
Damian Lillard,Ricky Rubio,Lou Williams,Dwyane Wade,Bojan Bogdanovic,Josh Richardson,Montrezl Harrell,Jayson Tatum,Alex Len,242.5
Damian Lillard,Ricky Rubio,CJ McCollum,Andrew Wiggins,Bojan Bogdanovic,Josh Richardson,Thaddeus Young,Domantas Sabonis,Brook Lopez,237.2
Darren Collison,Spencer Dinwiddie,CJ McCollum,Dwyane Wade,Giannis Antetokounmpo,Bojan Bogdanovic,Jayson Tatum,Derrick Favors,Brook Lopez,219.2
Damian Lillard,Spencer Dinwiddie,Dennis Schroder,Khris Middleton,Bojan Bogdanovic,Gordon Hayward,Montrezl Harrell,Domantas Sabonis,Al Horford,272.7
Russell Westbrook,Spencer Dinwiddie,Dennis Schroder,Dwyane Wade,Danilo Gallinari,Bojan Bogdanovic,Noah Vonleh,Derrick Favors,Al Horford,270.9
Darren Collison,Spencer Dinwiddie,Lou Williams,Dwyane Wade,Paul George,Gordon Hayward,Jayson Tatum,Aaron Gordon,Al Horford,265.7
Darren Collison,Spencer Dinwiddie,CJ McCollum,Andrew Wiggins,Paul George,Bojan Bogdanovic,Thaddeus Young,Aaron Gordon,Dewayne Dedmon,215.2
Damian Lillard,Ricky Rubio,CJ McCollum,Khris Middleton,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Derrick Favors,JaVale McGee,251.4
Damian Lillard,Spencer Dinwiddie,Lou Williams,CJ McCollum,Danilo Gallinari,Bojan Bogdanovic,Jayson Tatum,Domantas Sabonis,Dewayne Dedmon,248.5
Damian Lillard,Spencer Dinwiddie,Lou Williams,Dwyane Wade,Josh Richardson,Gordon Hayward,Derrick Favors,Domantas Sabonis,JaVale McGee,276.1
Damian Lillard,Darren Collison,Dennis Schroder,Dwyane Wade,Paul George,Gordon Hayward,Noah Vonleh,Derrick Favors,Brook Lopez,244.5
Damian Lillard,Ricky Rubio,Dennis Schroder,Dwyane Wade,Justise Winslow,Danilo Gallinari,Thaddeus Young,Domantas Sabonis,Alex Len,270.1
Ricky Rubio,Spencer Dinwiddie,Lou Williams,Dennis Schroder,Danilo Gallinari,Bojan Bogdanovic,Montrezl Harrell,Aaron Gordon,JaVale McGee,238.0
Ricky Rubio,Spencer Dinwiddie,CJ McCollum,Dwyane Wade,Paul George,Justise Winslow,Noah Vonleh,Jayson Tatum,Dewayne Dedmon,236.0
Damian Lillard,Ricky Rubio,Andrew Wiggins,Dwyane Wade,Danilo Gallinari,Gordon Hayward,Jayson Tatum,Aaron Gordon,Dewayne Dedmon,250.5
Damian Lillard,Spencer Dinwiddie,Dennis Schroder,Andrew Wiggins,Danilo Gallinari,Josh Richardson,Jayson Tatum,Derrick Favors,Brook Lopez,228.0
Ricky Rubio,Spencer Dinwiddie,Dennis Schroder,Khris Middleton,Justise Winslow,Josh Richardson,Jayson Tatum,Domantas Sabonis,JaVale McGee,247.3
