PG,PG,SG,SG,SF,SF,PF,PF,C,P
Russell Westbrook,Jawun Evans,Dennis Schroder,Khris Middleton,Paul George,Rudy Gay,Aaron Gordon,Jarell Martin,JaVale McGee,259.3
Russell Westbrook,Ben Simmons,Dennis Schroder,Shake Milton,Giannis Antetokounmpo,Jaron Blossomgame,Aaron Gordon,Jon Leuer,JaVale McGee,248.1
Ben Simmons,Jawun Evans,Jrue Holiday,Dennis Schroder,Paul George,Gary Clark,Blake Griffin,Jon Leuer,JaVale McGee,239.2
Ben Simmons,Jawun Evans,Bradley Beal,Dennis Schroder,Rudy Gay,Mitchell Creek,Blake Griffin,Aaron Gordon,Thomas Bryant,219.7
Russell Westbrook,Ben Simmons,Dennis Schroder,Khris Middleton,Rudy Gay,James III,Blake Griffin,Jon Leuer,Nene Nene,201.0
Ben Simmons,Jawun Evans,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Jaron Blossomgame,Blake Griffin,Jarell Martin,Jarrett Allen,189.9
Russell Westbrook,Ben Simmons,Jrue Holiday,Dennis Schroder,Gary Clark,Mitchell Creek,Aaron Gordon,Jarell Martin,Jarrett Allen,223.0
Ben Simmons,Patty Mills,Jrue Holiday,Khris Middleton,Rudy Gay,Jaron Blossomgame,Blake Griffin,Aaron Gordon,JaVale McGee,304.3
Russell Westbrook,Jawun Evans,Jrue Holiday,Dennis Schroder,James III,Jaron Blossomgame,Blake Griffin,Aaron Gordon,Brook Lopez,218.9
Russell Westbrook,Jawun Evans,Jrue Holiday,Dennis Schroder,Giannis Antetokounmpo,Rudy Gay,Jon Leuer,DJ Wilson,Thomas Bryant,226.7
Ben Simmons,Jawun Evans,Jrue Holiday,Khris Middleton,Giannis Antetokounmpo,Mitchell Creek,Aaron Gordon,Jon Leuer,Brook Lopez,258.1
Russell Westbrook,Jawun Evans,James Harden,Shake Milton,Rudy Gay,Mitchell Creek,Blake Griffin,Jon Leuer,JaVale McGee,239.7
Russell Westbrook,Elie Okobo,Bradley Beal,Dennis Schroder,Gary Clark,Theo Pinson,Blake Griffin,Aaron Gordon,JaVale McGee,220.6
Russell Westbrook,Ben Simmons,Jrue Holiday,Shake Milton,James III,Theo Pinson,Blake Griffin,Jarell Martin,JaVale McGee,238.8
Ben Simmons,Elie Okobo,Bradley Beal,Khris Middleton,Giannis Antetokounmpo,Rudy Gay,Jon Leuer,Jarell Martin,JaVale McGee,255.0
Russell Westbrook,Ben Simmons,Khris Middleton,Shake Milton,Paul George,Mitchell Creek,Jon Leuer,Jarell Martin,Thomas Bryant,208.9
Russell Westbrook,Ben Simmons,Bradley Beal,Khris Middleton,James III,Mitchell Creek,Aaron Gordon,DJ Wilson,JaVale McGee,258.5
Ben Simmons,Elie Okobo,Dennis Schroder,Khris Middleton,Paul George,Theo Pinson,Aaron Gordon,Jon Leuer,Andre Drummond,221.9
Russell Westbrook,Jawun Evans,Bradley Beal,Shake Milton,Giannis Antetokounmpo,Gary Clark,Aaron Gordon,Jarell Martin,Thomas Bryant,221.6
Ben Simmons,Patty Mills,Dennis Schroder,Shake Milton,Paul George,Rudy Gay,Blake Griffin,Jarell Martin,Brook Lopez,232.2
Russell Westbrook,Jawun Evans,Dennis Schroder,Khris Middleton,Gary Clark,Mitchell Creek,Blake Griffin,Cheick Diallo,Joel Embiid,173.9
Russell Westbrook,Patty Mills,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Gary Clark,Jon Leuer,Jarell Martin,Nikola Vucevic,223.1
Ben Simmons,Jawun Evans,James Harden,Dennis Schroder,Rudy Gay,Theo Pinson,Jon Leuer,Jarell Martin,Nikola Vucevic,205.0
Ben Simmons,Jawun Evans,Jrue Holiday,Shake Milton,Paul George,Jaron Blossomgame,Aaron Gordon,Jarell Martin,Andre Drummond,251.9
Bryn Forbes,TJ McConnell,Dennis Schroder,Khris Middleton,Giannis Antetokounmpo,Rudy Gay,Aaron Gordon,Jon Leuer,Joel Embiid,223.0
