PG,PG,SG,SG,SF,SF,PF,PF,C,P
Jamal Murray,Monte Morris,Jrue Holiday,Lou Williams,Danilo Gallinari,Glenn III,Blake Griffin,Montrezl Harrell,Joel Embiid,317.8
Jamal Murray,Landry Shamet,Buddy Hield,Lou Williams,Danilo Gallinari,Juancho Hernangomez,Anthony Davis,Montrezl Harrell,Andre Drummond,252.0
Jamal Murray,Yogi Ferrell,Jrue Holiday,Buddy Hield,Danilo Gallinari,Juancho Hernangomez,Marvin III,Paul Millsap,Joel Embiid,260.3
Jamal Murray,TJ McConnell,Jrue Holiday,Frank Jackson,Danilo Gallinari,Glenn III,Anthony Davis,Marvin III,Andre Drummond,261.5
Jamal Murray,Patrick Beverley,Buddy Hield,Lou Williams,Danilo Gallinari,Glenn III,Nikola Jokic,Marvin III,Willie Cauley-Stein,239.9
Jamal Murray,Shai Gilgeous-Alexander,Jrue Holiday,Lou Williams,Glenn III,Juancho Hernangomez,Nikola Jokic,Paul Millsap,Andre Drummond,208.2
Jamal Murray,Patrick Beverley,Jrue Holiday,Buddy Hield,Danilo Gallinari,Solomon Hill,Anthony Davis,Blake Griffin,Jahlil Okafor,314.9
Jamal Murray,Ish Smith,Jrue Holiday,Frank Jackson,Danilo Gallinari,Juancho Hernangomez,Blake Griffin,Nikola Jokic,Willie Cauley-Stein,269.0
Jamal Murray,TJ McConnell,Buddy Hield,Lou Williams,Solomon Hill,Juancho Hernangomez,Blake Griffin,Nikola Jokic,Joel Embiid,261.3
Jamal Murray,Ish Smith,Jrue Holiday,Lou Williams,Solomon Hill,Darius Miller,Anthony Davis,Marvin III,Joel Embiid,312.7
Reggie Jackson,Patrick Beverley,Jrue Holiday,Lou Williams,Danilo Gallinari,Juancho Hernangomez,Blake Griffin,Marvin III,Andre Drummond,321.7
Jamal Murray,Shai Gilgeous-Alexander,Jrue Holiday,Lou Williams,Danilo Gallinari,Justin Jackson,Anthony Davis,Luc Moute,Willie Cauley-Stein,260.7
Jamal Murray,Shai Gilgeous-Alexander,Buddy Hield,Frank Jackson,Danilo Gallinari,Darius Miller,Nikola Jokic,Montrezl Harrell,Joel Embiid,234.5
Jamal Murray,Yogi Ferrell,Buddy Hield,Frank Jackson,Glenn III,Justin Jackson,Anthony Davis,Blake Griffin,Joel Embiid,294.3
Jamal Murray,Monte Morris,Jrue Holiday,Buddy Hield,Danilo Gallinari,Justin Jackson,Nikola Jokic,Cheick Diallo,Andre Drummond,248.7
Jamal Murray,Patrick Beverley,Jrue Holiday,Frank Jackson,E'Twaun Moore,Juancho Hernangomez,Anthony Davis,Montrezl Harrell,Joel Embiid,282.1
Ish Smith,Landry Shamet,Jrue Holiday,Buddy Hield,Danilo Gallinari,Glenn III,Blake Griffin,Paul Millsap,Andre Drummond,268.4
Jamal Murray,Ish Smith,Jrue Holiday,Buddy Hield,Nemanja Bjelica,Glenn III,Anthony Davis,Montrezl Harrell,Willie Cauley-Stein,240.8
Shai Gilgeous-Alexander,Monte Morris,Buddy Hield,Lou Williams,Danilo Gallinari,Stanley Johnson,Anthony Davis,Marvin III,Joel Embiid,296.8
Jamal Murray,Yogi Ferrell,Lou Williams,Frank Jackson,E'Twaun Moore,Danilo Gallinari,Blake Griffin,Paul Millsap,Andre Drummond,272.8
TJ McConnell,Landry Shamet,Jrue Holiday,Lou Williams,Danilo Gallinari,Justin Jackson,Nikola Jokic,Marvin III,Joel Embiid,271.8
Jamal Murray,Elfrid Payton,Jrue Holiday,Buddy Hield,Stanley Johnson,Darius Miller,Blake Griffin,Montrezl Harrell,Andre Drummond,275.0
Ish Smith,TJ McConnell,Lou Williams,Frank Jackson,Danilo Gallinari,Juancho Hernangomez,Anthony Davis,Paul Millsap,Joel Embiid,248.8
Yogi Ferrell,Monte Morris,Jrue Holiday,Lou Williams,Danilo Gallinari,Juancho Hernangomez,Anthony Davis,Nikola Jokic,Jahlil Okafor,236.8
