PG,PG,SG,SG,SF,SF,PF,PF,C,P
Kyrie Irving,Spencer Dinwiddie,Dwyane Wade,Lou Williams,LeBron James,Bojan Bogdanovic,Montrezl Harrell,Marvin III,Alex Len,245.2
Jamal Murray,Spencer Dinwiddie,Bradley Beal,Andrew Wiggins,LeBron James,Bojan Bogdanovic,Larry Jr,Thaddeus Young,Alex Len,235.3
Jamal Murray,Spencer Dinwiddie,Buddy Hield,Lou Williams,LeBron James,Justise Winslow,Jayson Tatum,Kyle Kuzma,Alex Len,263.4
Kyrie Irving,Spencer Dinwiddie,Dwyane Wade,Andrew Wiggins,LeBron James,Justise Winslow,Jayson Tatum,Thaddeus Young,Thomas Bryant,283.5
Jamal Murray,Spencer Dinwiddie,Dwyane Wade,Lou Williams,LeBron James,Danilo Gallinari,Domantas Sabonis,Larry Jr,Thomas Bryant,226.3
Kyrie Irving,Spencer Dinwiddie,Bradley Beal,Dwyane Wade,Danilo Gallinari,Justise Winslow,Domantas Sabonis,Kyle Kuzma,Alex Len,293.3
Kyrie Irving,Damian Lillard,Lou Williams,Andrew Wiggins,Bojan Bogdanovic,Danilo Gallinari,Jayson Tatum,Larry Jr,Alex Len,220.1
Kyrie Irving,Jamal Murray,Dwyane Wade,CJ McCollum,LeBron James,Justise Winslow,Noah Vonleh,Larry Jr,Alex Len,245.4
Kyrie Irving,Spencer Dinwiddie,Buddy Hield,Lou Williams,Bojan Bogdanovic,Justise Winslow,Domantas Sabonis,Larry Jr,Nikola Jokic,263.7
Damian Lillard,Spencer Dinwiddie,Buddy Hield,Dwyane Wade,LeBron James,Gordon Hayward,Noah Vonleh,Thaddeus Young,Alex Len,265.7
Kyrie Irving,Jamal Murray,Buddy Hield,Lou Williams,LeBron James,Bojan Bogdanovic,Noah Vonleh,Thaddeus Young,Thomas Bryant,208.2
Jamal Murray,Spencer Dinwiddie,Dwyane Wade,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Kyle Kuzma,Marvin III,Nikola Jokic,301.7
Kyrie Irving,Spencer Dinwiddie,Bradley Beal,Lou Williams,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Kyle Kuzma,Thomas Bryant,241.5
Jamal Murray,Damian Lillard,Buddy Hield,Dwyane Wade,Bojan Bogdanovic,Danilo Gallinari,Montrezl Harrell,Kyle Kuzma,Alex Len,258.9
Kyrie Irving,Spencer Dinwiddie,Kent Bazemore,Lou Williams,LeBron James,Gordon Hayward,Larry Jr,Thaddeus Young,Dewayne Dedmon,253.3
Kyrie Irving,Jamal Murray,Bradley Beal,Bogdan Bogdanovic,Bojan Bogdanovic,Justise Winslow,Jayson Tatum,Marvin III,Alex Len,218.0
Kyrie Irving,Spencer Dinwiddie,Bradley Beal,Buddy Hield,Bojan Bogdanovic,Danilo Gallinari,Montrezl Harrell,Thaddeus Young,Dewayne Dedmon,248.0
Darren Collison,Spencer Dinwiddie,Dwyane Wade,CJ McCollum,LeBron James,Bojan Bogdanovic,Thaddeus Young,Kyle Kuzma,Dewayne Dedmon,304.3
Damian Lillard,Spencer Dinwiddie,CJ McCollum,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Domantas Sabonis,Montrezl Harrell,Alex Len,285.9
Jamal Murray,Spencer Dinwiddie,Kent Bazemore,Lou Williams,Bojan Bogdanovic,Danilo Gallinari,Jayson Tatum,Thaddeus Young,Nikola Jokic,258.5
Jamal Murray,Spencer Dinwiddie,Buddy Hield,Dwyane Wade,Bojan Bogdanovic,Gordon Hayward,Jayson Tatum,Larry Jr,Karl-Anthony Towns,223.7
Damian Lillard,Spencer Dinwiddie,Dwyane Wade,CJ McCollum,Bojan Bogdanovic,Danilo Gallinari,Jayson Tatum,Marvin III,Thomas Bryant,251.4
Kyrie Irving,Damian Lillard,CJ McCollum,Lou Williams,Justise Winslow,Gordon Hayward,Thaddeus Young,Kyle Kuzma,Alex Len,280.3
Kyrie Irving,Jamal Murray,Buddy Hield,Lou Williams,Danilo Gallinari,Gordon Hayward,Domantas Sabonis,Marvin III,Alex Len,175.1
Kyrie Irving,Darren Collison,Buddy Hield,Kent Bazemore,LeBron James,Justise Winslow,Thaddeus Young,Marvin III,Alex Len,244.3
Jamal Murray,Spencer Dinwiddie,Lou Williams,Andrew Wiggins,Danilo Gallinari,Justise Winslow,Noah Vonleh,Montrezl Harrell,Karl-Anthony Towns,262.2
Damian Lillard,Spencer Dinwiddie,Bradley Beal,Lou Williams,Bojan Bogdanovic,Justise Winslow,Thaddeus Young,Marvin III,Jarrett Allen,284.3
Jamal Murray,Damian Lillard,Dwyane Wade,Lou Williams,Bojan Bogdanovic,Justise Winslow,Domantas Sabonis,Jayson Tatum,Dewayne Dedmon,273.9
Kyrie Irving,Jamal Murray,Dwyane Wade,Andrew Wiggins,Bojan Bogdanovic,Danilo Gallinari,Domantas Sabonis,Thaddeus Young,Jarrett Allen,245.1
Darren Collison,Spencer Dinwiddie,Lou Williams,Andrew Wiggins,LeBron James,Bojan Bogdanovic,Noah Vonleh,Jayson Tatum,Jarrett Allen,250.4
Darren Collison,Spencer Dinwiddie,CJ McCollum,Kent Bazemore,LeBron James,Danilo Gallinari,Montrezl Harrell,Larry Jr,Alex Len,254.3
Jamal Murray,Darren Collison,Lou Williams,Andrew Wiggins,LeBron James,Justise Winslow,Larry Jr,Marvin III,Dewayne Dedmon,236.5
Jamal Murray,Darren Collison,Bogdan Bogdanovic,Lou Williams,LeBron James,Gordon Hayward,Montrezl Harrell,Thaddeus Young,Alex Len,225.4
Darren Collison,Spencer Dinwiddie,Buddy Hield,Andrew Wiggins,LeBron James,Gordon Hayward,Larry Jr,Kyle Kuzma,Thomas Bryant,238.3
Kyrie Irving,Jamal Murray,Bradley Beal,Andrew Wiggins,Justise Winslow,Gordon Hayward,Domantas Sabonis,Larry Jr,Thomas Bryant,208.1
Jamal Murray,Spencer Dinwiddie,Bradley Beal,CJ McCollum,Danilo Gallinari,Gordon Hayward,Noah Vonleh,Jayson Tatum,Alex Len,218.5
Damian Lillard,Spencer Dinwiddie,Bradley Beal,Dwyane Wade,Justise Winslow,Gordon Hayward,Montrezl Harrell,Larry Jr,Dewayne Dedmon,297.9
Jamal Murray,Spencer Dinwiddie,Bogdan Bogdanovic,Kent Bazemore,LeBron James,Justise Winslow,Montrezl Harrell,Marvin III,Thomas Bryant,252.3
Kyrie Irving,Damian Lillard,Buddy Hield,Andrew Wiggins,Bojan Bogdanovic,Justise Winslow,Noah Vonleh,Kyle Kuzma,Dewayne Dedmon,283.4
Damian Lillard,Spencer Dinwiddie,Kent Bazemore,Andrew Wiggins,Danilo Gallinari,Gordon Hayward,Kyle Kuzma,Marvin III,Alex Len,261.9
