Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,11500.0,44.92,54.3,2.7
1,D'Angelo Russell,SG,BKN,8800.0,37.76,46.5,-1.0
2,LaMarcus Aldridge,PF,SA,9600.0,35.84,35.6,-1.0
3,Tobias Harris,SF,LAC,8100.0,35.02,39.6,-1.0
4,Rajon Rondo,PG,LAL,6900.0,34.74,42.1,-1.0
5,Kevin Durant,SF,GS,9400.0,32.92,40.8,2.3
6,Shabazz Napier,PG,BKN,5700.0,27.36,31.7,-1.0
7,Rudy Gay,SF,SA,6300.0,27.34,29.4,1.6
8,Blake Griffin,PF,DET,9300.0,24.3,46.0,2.1
9,Fred VanVleet,PG,TOR,4500.0,21.4,18.9,-1.0
10,Kyle Kuzma,PF,LAL,6200.0,21.1,16.0,1.7
11,Pascal Siakam,PF,TOR,6500.0,20.28,36.1,1.4
12,Nikola Vucevic,C1B,ORL,10200.0,19.45,33.5,2.0
13,Kyle Lowry,PG,TOR,8000.0,18.56,14.3,-1.0
14,Jimmy Butler,SG,PHI,8600.0,18.18,30.8,-1.0
15,Ben Simmons,PG,PHI,9500.0,17.72,52.6,2.0
16,Brandon Ingram,SF,LAL,7100.0,16.66,27.8,-1.0
17,Stephen Curry,PG,GS,9200.0,16.58,51.8,2.2
18,DeMar DeRozan,SG,SA,8000.0,16.54,33.0,-1.0
19,Corey Brewer,SF,PHI,3800.0,15.82,0.0,-1.0
20,Lou Williams,SG,LAC,7300.0,15.74,44.6,1.8
21,DeMarcus Cousins,C1B,GS,7500.0,14.55,32.2,-1.0
22,Montrezl Harrell,PF,LAC,7200.0,14.46,32.6,1.7
23,Darren Collison,PG,IND,6600.0,13.04,36.8,1.4
24,Joel Embiid,C1B,PHI,11600.0,12.68,55.5,2.8
25,Patrick Beverley,PG,LAC,6000.0,12.48,39.6,-1.0
26,Aaron Gordon,PF,ORL,7200.0,12.0,15.1,1.4
27,Serge Ibaka,PF,TOR,7000.0,11.98,39.0,1.6
28,Khris Middleton,SG,MIL,6600.0,11.02,34.2,1.6
29,Shai Gilgeous-Alexander,PG,LAC,4600.0,10.78,22.9,-1.0
30,Michael Beasley,SF,LAL,4000.0,10.5,7.6,-1.0
31,Eric Bledsoe,PG,MIL,7200.0,9.86,40.6,-1.0
