Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Jerryd Bayless,PG,MIN,5700.0,35.8,8.9,-1.0
1,Russell Westbrook,PG,OKC,12000.0,29.92,64.1,2.7
2,Lou Williams,SG,LAC,8200.0,28.34,13.4,1.6
3,Rajon Rondo,PG,LAL,6100.0,27.82,37.4,-1.0
4,Terry Rozier,PG,BOS,7000.0,24.78,35.8,-1.0
5,Jaylen Brown,SG,BOS,5200.0,24.74,26.9,-1.0
6,LeBron James,SF,LAL,10300.0,21.06,66.4,2.8
7,LaMarcus Aldridge,PF,SA,8500.0,20.94,29.5,-1.0
8,John Collins,PF,ATL,7400.0,20.2,28.9,-1.0
9,Ivan Rabb,PF,MEM,6300.0,20.06,34.3,-1.0
10,Paul George,SF,OKC,11600.0,19.72,47.0,2.7
11,CJ McCollum,SG,POR,7500.0,18.86,55.8,1.7
12,Rudy Gay,SF,SA,6000.0,18.84,30.6,1.6
13,Pascal Siakam,PF,TOR,6500.0,18.14,62.8,1.6
14,Jayson Tatum,PF,BOS,6800.0,16.96,44.5,1.6
15,Trae Young,PG,ATL,7100.0,16.82,31.5,-1.0
16,Justin Holiday,SG,MEM,5500.0,15.02,18.7,-1.0
17,Kyrie Irving,PG,BOS,10400.0,14.2,44.4,2.2
18,Montrezl Harrell,PF,LAC,8000.0,13.6,32.2,1.6
19,Aaron Gordon,PF,ORL,7000.0,13.4,34.7,1.6
20,Nikola Vucevic,C1B,ORL,9600.0,13.29,42.5,2.2
21,Karl-Anthony Towns,C1B,MIN,11100.0,13.21,44.7,2.0
22,Thaddeus Young,PF,IND,6500.0,12.9,39.0,1.3
23,Darren Collison,PG,IND,7000.0,12.86,27.1,1.2
24,Bryn Forbes,PG,SA,4400.0,12.58,15.1,-1.0
25,DeMar DeRozan,SG,SA,7900.0,12.16,46.2,-1.0
26,Andrew Wiggins,SG,MIN,6000.0,12.0,51.3,1.7
27,Marcus Morris,PF,BOS,5300.0,11.6,11.3,-1.0
28,Davis Bertans,SF,SA,4300.0,11.38,10.5,-1.0
29,Bruno Caboclo,SF,MEM,4200.0,11.36,19.5,-1.0
30,Damian Lillard,PG,POR,9600.0,11.32,52.9,2.0
31,Patty Mills,PG,SA,4300.0,11.12,19.0,-1.0
