Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Nikola Mirotic,SF,MIL,5200.0,70.22,0
1,Kawhi Leonard,SF,TOR,10500.0,62.28,0
2,Giannis Antetokounmpo,SF,MIL,12000.0,56.28,0
3,CJ McCollum,SG,POR,8600.0,53.32,0
4,Kyle Lowry,PG,TOR,6900.0,42.58,0
5,Draymond Green,PF,GS,8200.0,38.4,0
6,Damian Lillard,PG,POR,9500.0,36.02,0
7,Stephen Curry,PG,GS,9400.0,35.26,0
8,Al-Farouq Aminu,PF,POR,4300.0,35.24,0
9,Pascal Siakam,PF,TOR,7600.0,34.46,0
10,Serge Ibaka,PF,TOR,5100.0,33.4,0
11,Zach Collins,PF,POR,5000.0,31.22,0
12,Danny Green,SG,TOR,4700.0,30.16,0
13,Ersan Ilyasova,PF,MIL,4200.0,29.04,0
14,Marc Gasol,C1B,TOR,5600.0,26.08,0
15,Eric Bledsoe,PG,MIL,5900.0,24.92,0
16,George Hill,PG,MIL,5000.0,23.68,0
17,Khris Middleton,SG,MIL,7400.0,23.52,0
18,Kevon Looney,PF,GS,4800.0,23.28,0
19,Klay Thompson,SG,GS,7300.0,22.82,0
20,Andre Iguodala,SG,GS,6500.0,22.74,0
21,Rodney Hood,SF,POR,4600.0,21.46,0
22,Seth Curry,PG,POR,3800.0,19.3,0
23,Brook Lopez,C1B,MIL,4500.0,17.54,0
24,Fred VanVleet,PG,TOR,3500.0,17.54,0
25,Pat Connaughton,SG,MIL,5000.0,16.28,0
26,Maurice Harkless,SF,POR,4000.0,13.84,0
27,Enes Kanter,C1B,POR,5800.0,10.78,0
28,Shaun Livingston,PG,GS,3600.0,10.3,0
29,Sterling Brown,SG,MIL,3500.0,6.9,0
30,Norman Powell,SF,TOR,3500.0,5.58,0
31,Evan Turner,SF,POR,4400.0,5.1,0
32,Alfonzo McKinnie,SF,GS,3500.0,3.28,0
33,Andrew Bogut,C1B,GS,3500.0,2.81,0
34,Jonas Jerebko,PF,GS,3500.0,1.76,0
35,Malcolm Brogdon,SG,MIL,5100.0,1.7,0
