Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,D'Angelo Russell,SG,BKN,8300.0,78.1,17.4,0
1,Tobias Harris,PF,PHI,7200.0,70.24,31.0,0
2,Stephen Curry,PG,GS,9800.0,64.56,0.0,0
3,Ben Simmons,PG,PHI,9900.0,60.56,51.0,0
4,Joel Embiid,C1B,PHI,11000.0,59.37,37.5,0
5,Kevin Durant,SF,GS,9600.0,35.64,37.5,0
6,JJ Redick,SF,PHI,6800.0,34.72,0.0,0
7,Lou Williams,SG,LAC,6700.0,29.56,58.9,0
8,DeMarre Carroll,SF,BKN,4000.0,29.12,14.4,0
9,Klay Thompson,SG,GS,5800.0,28.0,29.6,0
10,Montrezl Harrell,PF,LAC,6700.0,25.36,38.0,0
11,Danilo Gallinari,SF,LAC,7500.0,25.26,40.8,0
12,TJ McConnell,PG,PHI,3500.0,23.1,0.0,0
13,Joe Harris,SF,BKN,5200.0,22.44,6.2,0
14,DeMarcus Cousins,C1B,GS,9000.0,21.57,5.9,0
15,Jonah Bolden,PF,PHI,4800.0,19.26,3.6,0
16,Draymond Green,PF,GS,7700.0,18.8,39.1,0
17,Jonathon Simmons,SF,PHI,3500.0,17.32,5.2,0
18,Shai Gilgeous-Alexander,PG,LAC,6000.0,16.84,22.5,0
19,Quinn Cook,PG,GS,3500.0,15.42,14.7,0
20,Spencer Dinwiddie,PG,BKN,4900.0,15.38,22.7,0
21,Mike Scott,PF,PHI,4200.0,13.88,21.6,0
22,Caris LeVert,SG,BKN,6000.0,12.32,18.3,0
23,JaMychal Green,PF,LAC,4000.0,11.58,23.9,0
24,Boban Marjanovic,C1B,PHI,5500.0,10.42,29.1,0
25,Ed Davis,PF,BKN,3700.0,9.88,3.2,0
26,Patrick Beverley,PG,LAC,5400.0,9.84,20.9,0
27,James III,SF,PHI,3600.0,8.36,0.0,0
28,Andre Iguodala,SG,GS,4000.0,7.1,19.3,0
29,Rodions Kurucs,PF,BKN,3500.0,7.0,15.5,0
30,Jimmy Butler,SG,PHI,8200.0,6.84,25.3,0
31,Jarrett Allen,C1B,BKN,6000.0,5.69,24.2,0
32,Landry Shamet,PG,LAC,4500.0,4.58,25.3,0
33,Garrett Temple,SG,LAC,3500.0,4.44,11.2,0
34,Alfonzo McKinnie,SF,GS,3500.0,4.32,3.6,0
35,Rondae Hollis-Jefferson,PF,BKN,3700.0,3.86,22.1,0
36,Jonas Jerebko,PF,GS,3700.0,3.78,1.2,0
37,Kevon Looney,C1B,GS,3500.0,2.99,25.0,0
38,Ivica Zubac,C1B,LAC,4800.0,2.96,3.4,0
39,Wilson Chandler,SF,LAC,3600.0,2.84,7.9,0
40,Greg Monroe,C1B,PHI,3500.0,2.43,14.9,0
41,Tyrone Wallace,SG,LAC,3500.0,1.68,0.0,0
42,Andrew Bogut,C1B,GS,3700.0,1.55,19.8,0
43,Jordan Bell,C1B,GS,3500.0,1.22,0.0,0
