Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Stephen Curry,PG,GS,9600.0,57.58,55.1,2.2
1,Terry Rozier,PG,BOS,4100.0,51.38,24.1,-1.0
2,Draymond Green,PF,GS,8000.0,48.58,28.1,1.0
3,Andre Iguodala,SG,GS,4300.0,39.6,7.4,-1.0
4,Kevin Durant,SF,GS,10600.0,38.98,48.6,2.2
5,Marcus Morris,PF,BOS,4500.0,38.16,33.0,-1.0
6,Marcus Smart,SG,BOS,5700.0,33.0,13.1,-1.0
7,Kevon Looney,PF,GS,3500.0,29.64,33.0,-1.0
8,Klay Thompson,SG,GS,6800.0,28.76,16.8,-1.0
9,Jayson Tatum,PF,BOS,6200.0,27.92,40.3,1.6
10,Aron Baynes,C1B,BOS,3500.0,26.5,16.3,-1.0
11,Jaylen Brown,SG,BOS,5900.0,24.4,19.0,-1.0
12,Al Horford,C1B,BOS,7000.0,22.81,25.8,1.4
13,Shaun Livingston,PG,GS,3500.0,20.86,13.1,-1.0
14,Robert Covington,SF,PHI,6500.0,19.28,22.2,-1.0
15,Paul George,SF,OKC,9000.0,17.7,43.9,2.7
16,Steven Adams,C1B,OKC,6900.0,16.66,40.2,1.3
17,Gordon Hayward,SF,BOS,7400.0,15.94,28.0,1.3
18,Dario Saric,PF,PHI,6400.0,14.74,0.0,-1.0
19,Joel Embiid,C1B,PHI,10400.0,13.27,42.0,2.8
20,Nerlens Noel,C1B,OKC,4000.0,11.52,18.9,-1.0
21,TJ McConnell,PG,PHI,3600.0,11.46,0.0,-1.0
22,Kyrie Irving,PG,BOS,8400.0,10.74,19.3,2.1
23,Damian Jones,C1B,GS,4000.0,10.69,25.6,-1.0
24,Dennis Schroder,SG,OKC,6100.0,10.64,0.0,1.7
25,Patrick Patterson,PF,OKC,3500.0,9.38,18.0,-1.0
26,Ben Simmons,PG,PHI,10000.0,9.32,64.0,1.9
27,Jordan Bell,C1B,GS,5400.0,9.31,5.4,-1.0
28,Markelle Fultz,PG,PHI,5700.0,9.26,11.6,-1.0
29,Terrance Ferguson,SG,OKC,3500.0,9.1,5.3,-1.0
30,Raymond Felton,PG,OKC,3600.0,8.86,9.1,-1.0
31,JJ Redick,SG,PHI,5100.0,8.68,0.0,-1.0
32,Daniel Theis,PF,BOS,3500.0,8.6,1.2,-1.0
33,Amir Johnson,PF,PHI,3500.0,8.32,10.1,-1.0
34,Jerami Grant,PF,OKC,4700.0,8.3,21.4,-1.0
35,Furkan Korkmaz,SG,PHI,3500.0,7.48,0.0,-1.0
36,Hamidou Diallo,SG,OKC,3500.0,7.16,9.7,-1.0
37,Alex Abrines,SG,OKC,3700.0,6.76,0.0,-1.0
38,Jonas Jerebko,PF,GS,3500.0,4.66,2.6,-1.0
39,Semi Ojeleye,SF,BOS,3500.0,1.0,1.2,-1.0
