Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,James Harden,SG,HOU,13500.0,24.08,89.9,2.8
1,Giannis Antetokounmpo,SF,MIL,11700.0,22.82,51.0,2.8
2,Kevin Durant,SF,GS,9400.0,19.1,41.5,2.0
3,D'Angelo Russell,SG,BKN,8900.0,18.68,30.0,-1.0
4,Jrue Holiday,SG,NO,9600.0,18.24,28.4,2.2
5,LaMarcus Aldridge,PF,SA,9800.0,17.16,45.8,-1.0
6,Rajon Rondo,PG,LAL,6900.0,16.28,37.1,-1.0
7,Kenneth Faried,PF,HOU,8000.0,15.28,30.4,-1.0
8,Rudy Gay,SF,SA,6300.0,13.62,32.1,1.6
9,Ben Simmons,PG,PHI,9700.0,12.92,37.6,2.0
10,Jerryd Bayless,PG,MIN,5800.0,12.6,31.6,-1.0
11,Jahlil Okafor,C1B,NO,7500.0,12.54,31.4,-1.0
12,Donovan Mitchell,SG,UTA,8800.0,12.26,44.7,-1.0
13,Devin Booker,SG,PHO,8700.0,11.9,55.6,-1.0
14,Will Barton,SF,DEN,6400.0,11.76,24.1,-1.0
15,Stephen Curry,PG,GS,9500.0,11.66,19.8,2.1
16,Shabazz Napier,PG,BKN,5900.0,11.32,21.9,-1.0
17,Nikola Jokic,C1B,DEN,11500.0,11.07,42.2,2.1
18,Josh Jackson,PF,PHO,5900.0,10.7,42.4,-1.0
19,Bobby Portis,PF,CHI,5900.0,10.68,48.8,-1.0
20,Kelly Jr,SF,PHO,6200.0,10.54,0.0,-1.0
21,Jalen Brunson,PG,DAL,3600.0,9.96,26.2,-1.0
22,DeMar DeRozan,SG,SA,8100.0,9.56,29.7,-1.0
23,Darius Miller,SF,NO,5000.0,9.54,16.9,-1.0
24,Karl-Anthony Towns,C1B,MIN,10500.0,9.35,61.9,1.9
25,Nikola Vucevic,C1B,ORL,10000.0,9.24,54.4,2.3
26,Ante Zizic,C1B,CLE,6400.0,8.86,0.0,-1.0
27,Luka Doncic,SG,DAL,9000.0,8.76,58.2,-1.0
28,Andrew Wiggins,SG,MIN,6800.0,8.48,23.8,1.4
29,Aaron Gordon,PF,ORL,7200.0,8.44,28.9,1.7
30,De'Aaron Fox,PG,SAC,7400.0,8.42,39.6,-1.0
31,Lauri Markkanen,PF,CHI,7700.0,8.4,40.3,-1.0
32,Brandon Ingram,SF,LAL,7000.0,8.4,31.3,-1.0
33,Buddy Hield,SG,SAC,6500.0,8.36,46.7,1.7
34,Richaun Holmes,PF,PHO,5000.0,8.32,16.1,-1.0
35,DeMarcus Cousins,C1B,GS,7600.0,7.92,41.0,-1.0
36,John Collins,PF,ATL,7100.0,7.9,58.2,-1.0
37,Kyle Kuzma,PF,LAL,6000.0,7.88,18.8,1.7
38,Kentavious Caldwell-Pope,SG,LAL,4000.0,7.1,25.2,-1.0
39,Michael Beasley,SF,LAL,3900.0,7.02,7.2,-1.0
40,Khris Middleton,SG,MIL,6700.0,7.02,34.4,1.7
41,Mason Plumlee,C1B,DEN,4100.0,6.96,25.5,-1.0
42,Paul Millsap,PF,DEN,5400.0,6.94,5.6,1.4
43,Justise Winslow,SF,MIA,6700.0,6.86,14.7,1.3
44,Thaddeus Young,PF,IND,5900.0,6.76,36.8,1.2
45,Corey Brewer,SF,PHI,3800.0,6.62,5.9,-1.0
46,Klay Thompson,SG,GS,6900.0,6.56,34.0,-1.0
47,Jimmy Butler,SG,PHI,8600.0,6.52,49.3,-1.0
48,Derrick White,PG,SA,6100.0,6.44,13.5,-1.0
49,Monte Morris,SG,DEN,4700.0,6.38,42.4,-1.0
50,Tomas Satoransky,PG,WAS,6100.0,6.36,0.0,-1.0
51,Trae Young,PG,ATL,7400.0,6.28,43.4,-1.0
52,Joel Embiid,C1B,PHI,11600.0,6.26,63.4,2.8
53,Kemba Walker,PG,CHA,8500.0,6.26,62.2,2.2
54,Derrick Rose,PG,MIN,6000.0,6.2,19.9,-1.0
55,Lance Stephenson,SF,LAL,3700.0,6.0,22.2,-1.0
56,Draymond Green,PF,GS,7300.0,5.8,30.1,0.9
57,Bradley Beal,SG,WAS,9500.0,5.72,35.5,2.0
58,Darren Collison,PG,IND,6200.0,5.18,31.4,1.2
59,Zach LaVine,SG,CHI,7400.0,5.12,27.5,-1.0
60,Domantas Sabonis,PF,IND,5900.0,4.94,32.0,1.5
61,Bojan Bogdanovic,SF,IND,5400.0,4.92,42.9,1.6
62,Dwight Powell,PF,DAL,3700.0,4.9,14.1,-1.0
63,Harrison Barnes,SF,DAL,5500.0,4.74,27.0,-1.0
64,Josh Richardson,SF,MIA,6300.0,4.74,17.9,1.4
65,Taurean Prince,SF,ATL,4900.0,4.52,20.7,-1.0
66,Elie Okobo,PG,PHO,4000.0,4.44,0.0,-1.0
67,Rondae Hollis-Jefferson,PF,BKN,4500.0,4.24,10.6,-1.0
68,Rudy Gobert,C1B,UTA,9100.0,4.17,35.1,1.6
69,Frank Jackson,PG,NO,3600.0,4.12,30.4,-1.0
70,Marvin III,PF,SAC,6300.0,4.1,31.1,1.7
71,Trevor Ariza,SF,WAS,6100.0,4.06,27.2,-1.0
72,Maxi Kleber,PF,DAL,3800.0,4.0,31.8,-1.0
73,Kris Dunn,PG,CHI,6800.0,3.98,21.0,-1.0
74,Joe Ingles,SF,UTA,5700.0,3.92,14.4,-1.0
75,Mikal Bridges,SF,PHO,5200.0,3.88,33.8,-1.0
76,Ivica Zubac,C1B,LAL,5000.0,3.67,27.3,-1.0
77,Ricky Rubio,PG,UTA,6300.0,3.62,17.4,1.3
78,Jonah Bolden,PF,PHI,3600.0,3.58,4.2,-1.0
79,Taj Gibson,PF,MIN,4400.0,3.54,23.0,-1.0
80,Derrick Favors,PF,UTA,5300.0,3.36,22.6,1.2
81,Evan Fournier,SG,ORL,5600.0,3.3,26.6,-1.0
82,Jeff Green,PF,WAS,5200.0,3.3,31.6,-1.0
83,Eric Gordon,SG,HOU,5200.0,3.28,9.9,-1.0
84,Bogdan Bogdanovic,SG,SAC,6600.0,3.2,11.9,1.6
85,JaVale McGee,C1B,LAL,4800.0,3.17,9.4,1.5
86,Hassan Whiteside,C1B,MIA,7800.0,3.15,36.6,-1.0
87,Cedi Osman,SF,CLE,6300.0,3.12,19.9,-1.0
88,PJ Tucker,PF,HOU,4900.0,3.1,0.0,-1.0
89,Alec Burks,SG,CLE,5200.0,3.04,27.1,-1.0
90,James Johnson,PF,MIA,3800.0,3.02,1.7,-1.0
91,Nicolas Batum,SF,CHA,5200.0,2.98,26.5,-1.0
92,Josh Hart,SG,LAL,3900.0,2.96,12.5,-1.0
93,Tim Frazier,PG,NO,4100.0,2.88,30.8,-1.0
94,DeAndre' Bembry,SF,ATL,4000.0,2.86,1.7,-1.0
95,Harry III,PF,SAC,3900.0,2.86,11.7,-1.0
96,Myles Turner,C1B,IND,7100.0,2.8,35.0,-1.0
97,Terrence Ross,SG,ORL,5300.0,2.76,8.4,-1.0
98,Dwyane Wade,SG,MIA,5300.0,2.76,36.2,1.6
99,Otto Jr,SF,WAS,6400.0,2.72,0.0,-1.0
100,Deandre Ayton,C1B,PHO,7000.0,2.7,33.7,-1.0
101,Cheick Diallo,PF,NO,3500.0,2.7,32.1,-1.0
102,Jeremy Lamb,SG,CHA,5700.0,2.6,0.0,1.6
103,Malcolm Brogdon,SG,MIL,6200.0,2.56,32.3,-1.0
104,Ed Davis,PF,BKN,4300.0,2.52,34.7,-1.0
105,Kenrich Williams,PF,NO,4600.0,2.46,25.1,-1.0
106,Jonathan Isaac,SF,ORL,5500.0,2.44,40.9,-1.0
107,Jeremy Lin,PG,ATL,3900.0,2.4,7.9,-1.0
108,Bryn Forbes,PG,SA,4100.0,2.38,20.4,-1.0
109,Solomon Hill,SF,NO,3500.0,2.34,5.6,-1.0
110,Carmelo Anthony,SF,CHI,3500.0,2.3,0.0,0.0
111,Brook Lopez,C1B,MIL,5700.0,2.29,40.7,1.3
112,Isaiah Canaan,PG,MIN,3500.0,2.24,1.2,-1.0
113,DJ Augustin,PG,ORL,4400.0,2.24,0.0,-1.0
