Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,12000.0,57.9,0
1,Stephen Curry,PG,GS,10300.0,57.04,0
2,Kawhi Leonard,SF,TOR,10500.0,56.18,0
3,Nikola Mirotic,SF,MIL,5200.0,53.2,0
4,Draymond Green,PF,GS,8900.0,41.8,0
5,CJ McCollum,SG,POR,7900.0,39.4,0
6,Kyle Lowry,PG,TOR,7500.0,37.04,0
7,Pascal Siakam,PF,TOR,7300.0,35.66,0
8,Klay Thompson,SG,GS,7700.0,35.48,0
9,Danny Green,SG,TOR,4400.0,34.9,0
10,Serge Ibaka,PF,TOR,4600.0,33.46,0
11,Malcolm Brogdon,SG,MIL,5100.0,32.0,0
12,Kevon Looney,PF,GS,5300.0,31.14,0
13,Damian Lillard,PG,POR,9400.0,30.12,0
14,Zach Collins,PF,POR,4500.0,29.16,0
15,Eric Bledsoe,PG,MIL,5400.0,29.1,0
16,Seth Curry,PG,POR,4800.0,25.54,0
17,Khris Middleton,SG,MIL,7200.0,25.5,0
18,Al-Farouq Aminu,PF,POR,4000.0,25.18,0
19,Marc Gasol,C1B,TOR,5700.0,24.44,0
20,Brook Lopez,C1B,MIL,5800.0,24.36,0
21,Ersan Ilyasova,PF,MIL,4200.0,23.5,0
22,George Hill,PG,MIL,5300.0,23.1,0
23,Maurice Harkless,SF,POR,4900.0,21.8,0
24,Andre Iguodala,SG,GS,6000.0,21.14,0
25,Rodney Hood,SF,POR,4700.0,17.42,0
26,Damian Jones,C1B,GS,3500.0,16.27,0
27,Pat Connaughton,SG,MIL,5000.0,16.0,0
28,Enes Kanter,C1B,POR,5200.0,14.92,0
29,Fred VanVleet,PG,TOR,3500.0,10.88,0
30,Evan Turner,SF,POR,3900.0,8.3,0
31,Shaun Livingston,PG,GS,3600.0,6.82,0
32,Jonas Jerebko,PF,GS,3600.0,6.06,0
33,Norman Powell,SF,TOR,3500.0,4.42,0
34,Andrew Bogut,C1B,GS,3500.0,3.33,0
35,Meyers Leonard,PF,POR,3600.0,3.3,0
36,Alfonzo McKinnie,SF,GS,3500.0,2.9,0
37,Sterling Brown,SG,MIL,3500.0,2.32,0
38,Jordan Bell,C1B,GS,4200.0,2.01,0
39,DJ Wilson,PF,MIL,3500.0,1.7,0
