Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Kemba Walker,PG,CHA,9200.0,51.28,50.1,2.3
1,Giannis Antetokounmpo,SF,MIL,12800.0,32.92,36.8,2.8
2,Devin Booker,SG,PHO,8100.0,32.92,31.6,-1.0
3,Damian Lillard,PG,POR,10100.0,31.82,25.7,2.3
4,Josh Jackson,PF,PHO,3500.0,29.82,4.7,-1.0
5,Ersan Ilyasova,PF,MIL,5500.0,28.62,17.8,-1.0
6,Khris Middleton,SG,MIL,7200.0,26.72,39.6,1.7
7,John Wall,PG,WAS,10400.0,22.72,53.8,-1.0
8,Kelly Jr,SF,WAS,4800.0,22.6,0.0,-1.0
9,Trae Young,PG,ATL,7500.0,21.04,30.6,-1.0
10,Markieff Morris,PF,WAS,5300.0,20.9,7.7,-1.0
11,Al-Farouq Aminu,PF,POR,5100.0,19.52,19.4,-1.0
12,Eric Bledsoe,PG,MIL,7100.0,17.96,16.9,-1.0
13,CJ McCollum,SG,POR,6700.0,16.94,63.8,1.7
14,Elie Okobo,PG,PHO,3500.0,16.48,0.0,-1.0
15,Kent Bazemore,SG,ATL,6400.0,16.22,34.9,1.5
16,Bradley Beal,SG,WAS,8800.0,16.1,39.2,2.1
17,Wesley Matthews,SG,DAL,5600.0,15.94,27.4,-1.0
18,Jeff Green,SF,WAS,4200.0,15.44,9.9,-1.0
19,Caris LeVert,SG,BKN,8000.0,15.44,36.5,-1.0
20,Nicolas Batum,SF,CHA,6700.0,15.2,19.0,-1.0
21,TJ Warren,SF,PHO,5400.0,14.44,6.6,-1.0
22,Harrison Barnes,SF,DAL,6000.0,14.38,43.1,-1.0
23,DeAndre Jordan,C1B,DAL,8600.0,14.05,27.9,-1.0
24,Zach Collins,PF,POR,4100.0,13.94,11.0,-1.0
25,John Henson,PF,MIL,4000.0,13.58,8.7,-1.0
26,DeAndre' Bembry,SF,ATL,4900.0,13.56,18.2,-1.0
27,Deandre Ayton,C1B,PHO,8500.0,13.22,31.1,-1.0
28,Michael Kidd-Gilchrist,SF,CHA,4100.0,12.76,13.2,-1.0
29,Luka Doncic,SG,DAL,8100.0,12.56,33.9,-1.0
30,Evan Turner,SF,POR,4400.0,11.94,38.2,-1.0
31,Dennis Jr,PG,DAL,6500.0,11.12,0.0,-1.0
32,Jeremy Lamb,SG,CHA,5700.0,11.02,18.1,1.7
33,D'Angelo Russell,PG,BKN,6800.0,10.88,32.7,-1.0
34,Trevor Ariza,SF,PHO,5700.0,10.84,18.9,-1.0
35,Isaiah Canaan,PG,PHO,4500.0,10.32,22.6,-1.0
36,Jusuf Nurkic,C1B,POR,7600.0,9.98,32.8,-1.0
37,Otto Jr,SF,WAS,6100.0,9.72,0.0,-1.0
38,Joe Harris,SF,BKN,4700.0,9.64,15.5,-1.0
39,Rondae Hollis-Jefferson,PF,BKN,5300.0,8.56,9.9,-1.0
40,Dwight Howard,C1B,WAS,6800.0,8.32,26.2,-1.0
41,Marvin Williams,PF,CHA,3900.0,7.58,32.1,-1.0
42,Jarrett Allen,C1B,BKN,6700.0,6.93,33.3,1.5
43,Allen Crabbe,SG,BKN,3800.0,6.62,20.4,-1.0
44,Cody Zeller,C1B,CHA,4700.0,6.53,9.7,-1.0
45,Ed Davis,PF,BKN,3700.0,6.38,26.4,-1.0
46,Malik Monk,SG,CHA,4600.0,6.18,22.0,-1.0
47,JJ Barea,PG,DAL,3900.0,6.18,0.0,-1.0
48,Austin Rivers,SG,WAS,3800.0,6.16,9.7,-1.0
49,Dewayne Dedmon,C1B,ATL,5300.0,5.85,18.2,1.4
50,Malcolm Brogdon,SG,MIL,5000.0,5.38,12.6,-1.0
51,Miles Bridges,SF,CHA,4000.0,5.34,14.1,-1.0
52,Maxi Kleber,PF,DAL,3700.0,5.12,4.4,-1.0
53,Alex Len,C1B,ATL,5400.0,5.04,16.1,1.6
54,Spencer Dinwiddie,PG,BKN,5300.0,4.74,31.5,1.5
55,Mikal Bridges,SF,PHO,4400.0,4.66,8.7,-1.0
56,Troy Jr,SF,WAS,3500.0,4.54,0.0,-1.0
57,Matthew Dellavedova,PG,MIL,3500.0,4.32,0.0,0.0
58,Omari Spellman,PF,ATL,3700.0,4.32,8.3,-1.0
59,Sterling Brown,SG,MIL,3500.0,4.04,0.0,0.0
60,Ryan Anderson,PF,PHO,3500.0,3.86,3.4,-1.0
61,Troy Daniels,SG,PHO,3500.0,3.86,0.0,0.0
62,Dwight Powell,PF,DAL,3700.0,3.78,15.3,-1.0
63,Brook Lopez,C1B,MIL,4700.0,3.67,31.3,1.3
64,Tony Parker,PG,CHA,4300.0,3.62,15.5,-1.0
