Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,11300.0,66.5,0
1,Kyrie Irving,PG,BOS,9600.0,64.48,0
2,Kevin Durant,SF,GS,11400.0,59.56,0
3,James Harden,SG,HOU,11800.0,52.44,0
4,Stephen Curry,PG,GS,9000.0,41.46,0
5,PJ Tucker,PF,HOU,5900.0,41.18,0
6,Jaylen Brown,SG,BOS,5100.0,40.84,0
7,Klay Thompson,SG,GS,6100.0,39.16,0
8,Marcus Morris,PF,BOS,5600.0,36.9,0
9,Andre Iguodala,SG,GS,5700.0,36.52,0
10,Chris Paul,PG,HOU,8200.0,34.58,0
11,Jayson Tatum,PF,BOS,6400.0,32.6,0
12,Eric Bledsoe,PG,MIL,7400.0,32.0,0
13,Kevon Looney,PF,GS,4300.0,30.5,0
14,Andrew Bogut,C1B,GS,4400.0,26.22,0
15,Brook Lopez,C1B,MIL,5800.0,26.21,0
16,Eric Gordon,SG,HOU,5500.0,26.18,0
17,Gordon Hayward,SF,BOS,5900.0,25.58,0
18,Ersan Ilyasova,PF,MIL,4300.0,25.24,0
19,Khris Middleton,SG,MIL,7500.0,24.42,0
20,Draymond Green,PF,GS,8100.0,23.24,0
21,Al Horford,C1B,BOS,7000.0,23.04,0
22,Sterling Brown,SG,MIL,4200.0,20.58,0
23,Nikola Mirotic,SF,MIL,3900.0,20.4,0
24,Kenneth Faried,PF,HOU,3600.0,17.94,0
25,Terry Rozier,PG,BOS,4300.0,16.92,0
26,Danuel House,SF,HOU,3600.0,16.64,0
27,George Hill,PG,MIL,4400.0,15.7,0
28,Clint Capela,C1B,HOU,7500.0,13.19,0
29,Pat Connaughton,SG,MIL,4200.0,12.6,0
30,Aron Baynes,C1B,BOS,3600.0,9.49,0
31,Gerald Green,SF,HOU,3500.0,5.92,0
32,DJ Wilson,PF,MIL,3500.0,4.56,0
33,Shaun Livingston,PG,GS,3500.0,4.14,0
34,Austin Rivers,SG,HOU,3600.0,3.88,0
35,Alfonzo McKinnie,SF,GS,3500.0,3.0,0
36,Daniel Theis,PF,BOS,3500.0,1.96,0
37,Tim Frazier,PG,MIL,3500.0,1.76,0
38,Quinn Cook,PG,GS,3500.0,1.18,0
