Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,James Harden,SG,HOU,12600.0,58.52,37.4,2.8
1,Alex Len,C1B,ATL,5600.0,50.89,20.1,1.3
2,Trae Young,PG,ATL,8200.0,40.66,35.7,-1.0
3,Lou Williams,SG,LAC,7600.0,38.68,33.2,1.8
4,Buddy Hield,SG,SAC,6700.0,36.02,35.6,1.6
5,Otto Jr,SF,CHI,7000.0,27.66,0.0,-1.0
6,Aaron Gordon,PF,ORL,7300.0,25.12,37.1,1.7
7,De'Aaron Fox,PG,SAC,8000.0,22.78,33.3,-1.0
8,Clint Capela,C1B,HOU,7800.0,22.51,43.1,-1.0
9,DJ Augustin,PG,ORL,4900.0,21.78,0.0,-1.0
10,Evan Fournier,SG,ORL,5700.0,20.92,22.8,-1.0
11,Lauri Markkanen,PF,CHI,7700.0,20.22,17.6,-1.0
12,Nikola Vucevic,C1B,ORL,10000.0,20.15,62.5,2.2
13,Taurean Prince,SF,ATL,5300.0,19.82,13.6,-1.0
14,Zach LaVine,SG,CHI,8300.0,19.72,36.1,-1.0
15,John Collins,PF,ATL,9100.0,18.16,21.9,-1.0
16,Kris Dunn,PG,CHI,6200.0,17.64,17.7,-1.0
17,Jonathan Isaac,SF,ORL,6300.0,17.3,8.6,-1.0
18,Taj Gibson,PF,MIN,4500.0,15.36,29.5,-1.0
19,Danuel House,SF,HOU,3800.0,15.36,23.4,-1.0
20,Bogdan Bogdanovic,SG,SAC,5100.0,14.76,25.7,1.4
21,Kent Bazemore,SG,ATL,5000.0,14.58,18.6,1.5
22,Ed Davis,PF,BKN,3900.0,14.56,18.8,-1.0
23,D'Angelo Russell,SG,BKN,7900.0,14.56,53.0,-1.0
24,Joe Harris,SF,BKN,4700.0,14.38,22.8,-1.0
25,Harrison Barnes,SF,SAC,5600.0,14.08,16.9,-1.0
26,Ryan Arcidiacono,PG,CHI,3900.0,13.94,14.0,-1.0
27,Tyus Jones,PG,MIN,4900.0,13.32,12.3,-1.0
28,Eric Gordon,SG,HOU,5700.0,13.14,19.2,-1.0
29,Robin Lopez,C1B,CHI,6000.0,13.13,20.2,-1.0
30,Marvin III,PF,SAC,6000.0,13.04,36.8,1.6
31,Terrence Ross,SG,ORL,5900.0,12.86,16.3,-1.0
32,Spencer Dinwiddie,PG,BKN,6900.0,12.84,0.0,1.7
33,Dario Saric,PF,MIN,4000.0,11.86,0.0,-1.0
34,Rodions Kurucs,PF,BKN,4800.0,11.86,16.4,-1.0
35,Keita Bates-Diop,SF,MIN,4200.0,11.5,12.9,-1.0
36,Montrezl Harrell,PF,LAC,7800.0,11.26,44.5,1.7
37,Karl-Anthony Towns,C1B,MIN,11400.0,11.16,45.0,2.2
38,Shai Gilgeous-Alexander,PG,LAC,5000.0,10.94,29.4,-1.0
39,Nemanja Bjelica,SF,SAC,5200.0,10.52,17.0,-1.0
40,Patrick Beverley,PG,LAC,6000.0,10.04,22.8,-1.0
41,Willie Cauley-Stein,C1B,SAC,5700.0,9.7,25.9,1.2
42,Danilo Gallinari,SF,LAC,7100.0,8.64,42.7,1.6
43,Chris Paul,PG,HOU,8100.0,8.0,50.4,-1.0
44,Kevin Huerter,SG,ATL,5300.0,7.6,7.6,-1.0
45,Gerald Green,SF,HOU,3600.0,7.44,20.4,-1.0
46,PJ Tucker,PF,HOU,4600.0,7.02,0.0,-1.0
47,JaMychal Green,PF,LAC,3700.0,6.54,13.7,-1.0
48,Caris LeVert,SG,BKN,5200.0,6.18,25.3,-1.0
49,Dewayne Dedmon,C1B,ATL,5600.0,5.8,33.8,1.1
50,Josh Okogie,SG,MIN,3600.0,5.78,32.5,-1.0
51,Harry III,PF,SAC,4700.0,5.78,38.7,-1.0
52,Kenneth Faried,PF,HOU,4700.0,5.68,0.0,0.0
53,DeMarre Carroll,SF,BKN,3800.0,5.62,33.9,-1.0
54,Andrew Wiggins,SG,MIN,6300.0,5.2,25.8,1.5
55,Wayne Selden,SG,CHI,3700.0,5.16,16.1,-1.0
56,DeAndre' Bembry,SF,ATL,3900.0,5.12,17.1,-1.0
57,Landry Shamet,PG,LAC,4400.0,4.72,22.7,-1.0
58,Vince Carter,SF,ATL,3500.0,4.68,18.5,-1.0
59,Jarrett Allen,C1B,BKN,6100.0,4.48,31.2,1.5
60,Austin Rivers,SG,HOU,3500.0,3.72,0.0,0.0
61,Shaquille Harrison,PG,CHI,3500.0,3.5,25.3,-1.0
62,Ivica Zubac,C1B,LAC,5500.0,3.29,19.6,-1.0
63,Wes Iwundu,SF,ORL,3700.0,3.1,0.0,0.0
64,Khem Birch,PF,ORL,3800.0,2.22,7.6,-1.0
65,Jerian Grant,PG,ORL,3600.0,2.2,0.0,0.0
66,Gorgui Dieng,C1B,MIN,3500.0,2.12,14.4,-1.0
67,Corey Brewer,SF,SAC,3600.0,1.64,11.5,-1.0
68,Timothe Luwawu-Cabarrot,SG,CHI,3500.0,1.46,0.0,-1.0
69,Shabazz Napier,PG,BKN,3500.0,1.32,0.0,0.0
70,Yogi Ferrell,PG,SAC,3500.0,1.32,8.0,-1.0
71,Wilson Chandler,SF,LAC,3500.0,1.02,3.0,-1.0
