Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10300.0,48.18,0
1,Giannis Antetokounmpo,SF,MIL,11300.0,41.26,0
2,Kyrie Irving,PG,BOS,9600.0,33.16,0
3,Paul Millsap,PF,DEN,4900.0,31.82,0
4,Damian Lillard,PG,POR,10200.0,30.62,0
5,Jamal Murray,PG,DEN,7800.0,28.56,0
6,JJ Redick,SF,PHI,4400.0,26.2,0
7,Maurice Harkless,SF,POR,5100.0,26.12,0
8,Tobias Harris,PF,PHI,8500.0,24.86,0
9,Pascal Siakam,PF,TOR,8500.0,24.86,0
10,Kyle Lowry,PG,TOR,7500.0,24.54,0
11,Nikola Jokic,C1B,DEN,11800.0,23.72,0
12,Jimmy Butler,SG,PHI,7400.0,23.42,0
13,Al-Farouq Aminu,PF,POR,4900.0,22.98,0
14,Jaylen Brown,SG,BOS,5100.0,22.94,0
15,Gary Harris,SG,DEN,5100.0,22.34,0
16,Nikola Mirotic,SF,MIL,3900.0,21.58,0
17,Marcus Morris,PF,BOS,5600.0,21.32,0
18,Jayson Tatum,PF,BOS,6400.0,21.0,0
19,Ben Simmons,PG,PHI,8800.0,20.52,0
20,Al Horford,C1B,BOS,7000.0,20.29,0
21,Eric Bledsoe,PG,MIL,7400.0,19.92,0
22,CJ McCollum,SG,POR,7700.0,18.9,0
23,Ersan Ilyasova,PF,MIL,4300.0,18.48,0
24,Gordon Hayward,SF,BOS,5900.0,18.28,0
25,Brook Lopez,C1B,MIL,5800.0,14.76,0
26,Terry Rozier,PG,BOS,4300.0,14.64,0
27,Khris Middleton,SG,MIL,7500.0,14.2,0
28,Danny Green,SG,TOR,4400.0,14.14,0
29,Fred VanVleet,PG,TOR,3800.0,13.4,0
30,Serge Ibaka,PF,TOR,5100.0,12.64,0
31,George Hill,PG,MIL,4400.0,11.6,0
32,Sterling Brown,SG,MIL,4200.0,11.54,0
33,Malik Beasley,SG,DEN,3700.0,11.28,0
34,Torrey Craig,SG,DEN,4500.0,10.24,0
35,Marc Gasol,C1B,TOR,5400.0,9.53,0
36,Enes Kanter,C1B,POR,7000.0,9.43,0
37,Rodney Hood,SF,POR,3500.0,9.18,0
38,Pat Connaughton,SG,MIL,4200.0,9.16,0
39,Joel Embiid,C1B,PHI,10600.0,8.88,0
40,Norman Powell,SF,TOR,3900.0,7.9,0
41,Will Barton,SF,DEN,4100.0,7.42,0
42,Mike Scott,PF,PHI,3600.0,7.18,0
43,Zach Collins,PF,POR,3600.0,7.12,0
44,James III,SF,PHI,3500.0,6.78,0
45,Boban Marjanovic,C1B,PHI,4000.0,6.74,0
46,Greg Monroe,C1B,PHI,3700.0,6.34,0
47,Mason Plumlee,C1B,DEN,4100.0,5.82,0
48,Monte Morris,SG,DEN,3800.0,5.82,0
49,Aron Baynes,C1B,BOS,3600.0,5.14,0
50,Seth Curry,PG,POR,3500.0,3.18,0
51,TJ McConnell,PG,PHI,3500.0,3.14,0
52,Evan Turner,SF,POR,3500.0,3.0,0
53,Meyers Leonard,PF,POR,3500.0,2.78,0
54,Jonah Bolden,PF,PHI,3500.0,2.58,0
55,Furkan Korkmaz,SG,PHI,3500.0,2.4,0
56,DJ Wilson,PF,MIL,3500.0,2.16,0
57,Daniel Theis,PF,BOS,3500.0,1.64,0
