Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,11500.0,69.18,0
1,Kevin Durant,SF,GS,11400.0,59.34,0
2,James Harden,SG,HOU,11800.0,55.38,0
3,Kyrie Irving,PG,BOS,9500.0,55.24,0
4,Stephen Curry,PG,GS,9300.0,52.92,0
5,PJ Tucker,PF,HOU,6300.0,50.42,0
6,Jaylen Brown,SG,BOS,5100.0,49.98,0
7,Klay Thompson,SG,GS,6200.0,47.14,0
8,Marcus Morris,PF,BOS,5600.0,36.1,0
9,Andre Iguodala,SG,GS,5700.0,34.58,0
10,Terry Rozier,PG,BOS,3900.0,32.26,0
11,Chris Paul,PG,HOU,8200.0,31.7,0
12,Jayson Tatum,PF,BOS,6400.0,28.74,0
13,Eric Bledsoe,PG,MIL,7500.0,28.36,0
14,Khris Middleton,SG,MIL,7600.0,27.54,0
15,Andrew Bogut,C1B,GS,4700.0,26.81,0
16,Kevon Looney,PF,GS,3800.0,26.12,0
17,Brook Lopez,C1B,MIL,6500.0,25.11,0
18,Eric Gordon,SG,HOU,5000.0,24.02,0
19,Ersan Ilyasova,PF,MIL,3900.0,23.42,0
20,Draymond Green,PF,GS,8100.0,20.7,0
21,Kenneth Faried,PF,HOU,3600.0,19.72,0
22,Sterling Brown,SG,MIL,4200.0,18.44,0
23,Gordon Hayward,SF,BOS,5900.0,18.18,0
24,DJ Wilson,PF,MIL,3500.0,17.98,0
25,Daniel Theis,PF,BOS,3500.0,17.24,0
26,Pat Connaughton,SG,MIL,4400.0,15.34,0
27,Al Horford,C1B,BOS,6800.0,14.99,0
28,Danuel House,SF,HOU,3600.0,14.62,0
29,Clint Capela,C1B,HOU,7900.0,12.14,0
30,George Hill,PG,MIL,4500.0,11.08,0
31,Nikola Mirotic,SF,MIL,3600.0,10.84,0
32,Aron Baynes,C1B,BOS,3600.0,9.17,0
33,Gerald Green,SF,HOU,3500.0,6.42,0
34,Tim Frazier,PG,MIL,3600.0,4.18,0
35,Alfonzo McKinnie,SF,GS,3500.0,2.74,0
36,Shaun Livingston,PG,GS,3500.0,2.24,0
37,Quinn Cook,PG,GS,3500.0,1.2,0
