Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Giannis Antetokounmpo,SF,MIL,11300.0,61.88,0
1,Kyrie Irving,PG,BOS,9600.0,49.74,0
2,Paul Millsap,PF,DEN,6100.0,47.74,0
3,Damian Lillard,PG,POR,9900.0,45.94,0
4,Jamal Murray,PG,DEN,7700.0,42.84,0
5,Maurice Harkless,SF,POR,4500.0,39.18,0
6,Nikola Jokic,C1B,DEN,11600.0,35.58,0
7,Al-Farouq Aminu,PF,POR,4900.0,34.46,0
8,Jaylen Brown,SG,BOS,5300.0,34.42,0
9,Gary Harris,SG,DEN,4900.0,33.1,0
10,Nikola Mirotic,SF,MIL,4400.0,32.36,0
11,Marcus Morris,PF,BOS,5900.0,31.98,0
12,Jayson Tatum,PF,BOS,6400.0,31.5,0
13,Al Horford,C1B,BOS,7000.0,30.43,0
14,Eric Bledsoe,PG,MIL,7400.0,29.88,0
15,CJ McCollum,SG,POR,7400.0,28.7,0
16,Ersan Ilyasova,PF,MIL,4200.0,27.72,0
17,Gordon Hayward,SF,BOS,5700.0,27.42,0
18,Terry Rozier,PG,BOS,4300.0,22.2,0
19,Brook Lopez,C1B,MIL,5500.0,22.14,0
20,Khris Middleton,SG,MIL,7500.0,21.3,0
21,George Hill,PG,MIL,4100.0,17.56,0
22,Sterling Brown,SG,MIL,3800.0,17.32,0
23,Malik Beasley,SG,DEN,4400.0,16.92,0
24,Torrey Craig,SG,DEN,3900.0,15.16,0
25,Enes Kanter,C1B,POR,7400.0,14.14,0
26,Rodney Hood,SF,POR,3500.0,13.76,0
27,Pat Connaughton,SG,MIL,4200.0,13.74,0
28,Will Barton,SF,DEN,4100.0,11.12,0
29,Zach Collins,PF,POR,3700.0,10.66,0
30,Mason Plumlee,C1B,DEN,4300.0,8.74,0
31,Monte Morris,SG,DEN,3500.0,8.72,0
32,Aron Baynes,C1B,BOS,3600.0,7.71,0
33,Seth Curry,PG,POR,3500.0,4.76,0
34,Evan Turner,SF,POR,3500.0,4.48,0
35,Meyers Leonard,PF,POR,3500.0,4.18,0
36,DJ Wilson,PF,MIL,3500.0,3.26,0
37,Daniel Theis,PF,BOS,3500.0,2.46,0
38,Tim Frazier,PG,MIL,3500.0,1.24,0
