Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Kawhi Leonard,SF,TOR,10200.0,85.9,0
1,Paul Millsap,PF,DEN,7800.0,51.24,0
2,Damian Lillard,PG,POR,9900.0,47.34,0
3,Jimmy Butler,SG,PHI,9800.0,44.78,0
4,JJ Redick,SF,PHI,4400.0,44.5,0
5,Nikola Jokic,C1B,DEN,11200.0,44.06,0
6,Jamal Murray,PG,DEN,8100.0,41.76,0
7,Al-Farouq Aminu,PF,POR,5700.0,39.46,0
8,Gary Harris,SG,DEN,5400.0,37.74,0
9,Kyle Lowry,PG,TOR,6900.0,37.3,0
10,Pascal Siakam,PF,TOR,7500.0,35.84,0
11,Maurice Harkless,SF,POR,4300.0,33.6,0
12,Tobias Harris,SF,PHI,7600.0,31.82,0
13,CJ McCollum,SG,POR,7500.0,30.0,0
14,Fred VanVleet,PG,TOR,3500.0,26.18,0
15,Ben Simmons,PG,PHI,7800.0,22.66,0
16,Serge Ibaka,PF,TOR,5200.0,22.34,0
17,Danny Green,SG,TOR,4400.0,19.46,0
18,Malik Beasley,SG,DEN,4200.0,18.38,0
19,Rodney Hood,SF,POR,4500.0,18.18,0
20,Joel Embiid,C1B,PHI,10800.0,17.23,0
21,Marc Gasol,C1B,TOR,5500.0,16.32,0
22,Zach Collins,PF,POR,4000.0,15.52,0
23,Enes Kanter,C1B,POR,7200.0,14.45,0
24,James III,SF,PHI,4400.0,14.26,0
25,Torrey Craig,SG,DEN,3600.0,11.5,0
26,Will Barton,SF,DEN,4700.0,10.9,0
27,Norman Powell,SF,TOR,3500.0,10.2,0
28,Boban Marjanovic,C1B,PHI,3500.0,9.61,0
29,Mike Scott,PF,PHI,3500.0,8.28,0
30,Monte Morris,SG,DEN,3500.0,7.5,0
31,Seth Curry,PG,POR,3800.0,6.96,0
32,Mason Plumlee,PF,DEN,4300.0,6.56,0
33,Evan Turner,SF,POR,3600.0,5.1,0
34,Jonah Bolden,PF,PHI,3500.0,3.56,0
