Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,Russell Westbrook,PG,OKC,11300.0,31.3,51.2,2.8
1,James Harden,SG,HOU,12400.0,26.4,55.2,2.7
2,Kemba Walker,PG,CHA,8800.0,25.82,61.5,2.1
3,Bradley Beal,SG,WAS,10800.0,25.5,60.3,2.0
4,Dennis Schroder,SG,OKC,5300.0,24.02,0.0,1.7
5,Blake Griffin,PF,DET,8300.0,18.56,26.4,2.0
6,Clint Capela,C1B,HOU,8000.0,17.25,38.0,-1.0
7,Kyrie Irving,PG,BOS,9800.0,16.72,35.9,2.2
8,Royce O'Neale,SF,UTA,3500.0,16.16,32.6,-1.0
9,Donovan Mitchell,SG,UTA,8900.0,15.8,52.3,-1.0
10,Buddy Hield,SG,SAC,7400.0,15.24,20.8,1.6
11,Gordon Hayward,SF,BOS,4700.0,15.04,15.2,1.4
12,Kevin Love,PF,CLE,8600.0,15.0,37.6,-1.0
13,Serge Ibaka,PF,TOR,6400.0,14.96,19.4,1.5
14,Cedi Osman,SF,CLE,5800.0,13.66,38.9,-1.0
15,Tomas Satoransky,PG,WAS,6300.0,13.62,0.0,-1.0
16,Lou Williams,SG,LAC,7300.0,13.6,43.3,1.7
17,Jeremy Lamb,SG,CHA,6500.0,12.94,26.8,1.5
18,Kawhi Leonard,SF,TOR,9800.0,12.84,39.8,2.0
19,Andre Drummond,C1B,DET,10600.0,12.81,43.5,1.9
20,Willie Cauley-Stein,C1B,SAC,5900.0,12.62,28.6,1.3
21,Nicolas Batum,SF,CHA,6100.0,12.6,0.0,0.0
22,Pascal Siakam,PF,TOR,7700.0,11.84,25.3,1.4
23,Jabari Parker,SF,WAS,5800.0,11.84,25.8,-1.0
24,Jeff Green,SF,WAS,4700.0,11.58,15.4,-1.0
25,Bobby Portis,PF,WAS,6500.0,11.26,41.1,-1.0
26,De'Aaron Fox,PG,SAC,8000.0,11.24,39.8,-1.0
27,Marcus Morris,PF,BOS,5100.0,11.14,13.4,-1.0
28,Gerald Green,SF,HOU,3700.0,10.74,12.1,-1.0
29,Trevor Ariza,SF,WAS,6400.0,10.5,27.5,-1.0
30,Montrezl Harrell,PF,LAC,7200.0,10.28,31.2,1.7
31,Bogdan Bogdanovic,SG,SAC,5900.0,10.02,20.8,1.5
32,Kyle Lowry,PG,TOR,8500.0,9.54,32.0,-1.0
33,Jerami Grant,PF,OKC,5300.0,9.26,27.0,-1.0
34,Harrison Barnes,SF,SAC,6100.0,8.58,26.3,-1.0
35,Patrick Beverley,PG,LAC,6200.0,8.44,28.0,-1.0
36,Joe Harris,SF,BKN,4500.0,8.22,23.3,-1.0
37,Paul George,SF,OKC,10600.0,8.06,40.2,2.7
38,Jaylen Brown,SG,BOS,4600.0,7.76,39.4,-1.0
39,Danilo Gallinari,SF,LAC,7300.0,7.72,32.0,1.7
40,JaMychal Green,PF,LAC,3700.0,7.58,0.0,-1.0
41,Jordan Clarkson,SG,CLE,5200.0,7.38,23.9,-1.0
42,Harry III,PF,SAC,4500.0,7.38,25.7,-1.0
43,Steven Adams,C1B,OKC,7000.0,7.35,29.4,1.0
44,Joe Ingles,SF,UTA,6400.0,7.24,21.8,-1.0
45,D'Angelo Russell,SG,BKN,8600.0,6.98,30.1,-1.0
46,Reggie Jackson,PG,DET,5300.0,6.88,6.5,-1.0
47,Terry Rozier,PG,BOS,6200.0,6.82,32.4,-1.0
48,Shai Gilgeous-Alexander,PG,LAC,5000.0,6.78,21.5,-1.0
49,Frank Kaminsky,PF,CHA,4500.0,6.66,19.4,-1.0
50,Marc Gasol,C1B,TOR,6000.0,6.55,16.4,-1.0
51,Marcus Smart,SG,BOS,5600.0,6.48,23.2,-1.0
52,Chris Paul,PG,HOU,8900.0,6.44,28.0,-1.0
53,Eric Gordon,SG,HOU,5400.0,6.02,29.9,-1.0
54,Al Horford,C1B,BOS,7100.0,5.72,22.2,1.5
55,Rodions Kurucs,PF,BKN,5000.0,5.68,22.9,-1.0
56,Jeremy Lin,PG,TOR,3600.0,5.68,11.2,-1.0
57,Derrick Favors,PF,UTA,6500.0,5.66,19.2,1.3
58,Danny Green,SG,TOR,4500.0,5.62,5.2,-1.0
59,Markieff Morris,PF,OKC,3800.0,5.2,1.2,-1.0
60,Spencer Dinwiddie,PG,BKN,7400.0,4.74,21.4,1.6
61,Jae Crowder,SF,UTA,5600.0,4.68,25.1,-1.0
62,Devonte' Graham,PG,CHA,3500.0,4.58,9.9,-1.0
63,Ed Davis,PF,BKN,3700.0,4.42,15.8,-1.0
64,Collin Sexton,PG,CLE,5400.0,4.4,40.3,-1.0
65,Terrance Ferguson,SG,OKC,3500.0,3.98,5.4,-1.0
66,Dante Exum,PG,UTA,3600.0,3.76,3.7,-1.0
