Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
89,Antonio Blakeney,SG,CHI,3700.0,3.06,10.4,-1.0
90,Stanley Johnson,SF,DET,4200.0,3.0,22.6,-1.0
91,Malik Monk,SG,CHA,4500.0,2.96,8.4,-1.0
92,Josh Jackson,PF,PHO,4000.0,2.9,18.1,-1.0
93,Gordon Hayward,SF,BOS,5600.0,2.78,22.5,1.2
94,Patty Mills,PG,SA,3600.0,2.78,14.1,-1.0
95,Richaun Holmes,PF,PHO,3500.0,2.76,0.0,-1.0
96,Darren Collison,PG,IND,4300.0,2.76,33.4,1.4
97,Isaiah Briscoe,PG,ORL,3500.0,2.72,4.2,-1.0
98,Georges Niang,PF,UTA,3500.0,2.64,9.9,-1.0
99,Tyler Johnson,PG,MIA,3700.0,2.62,16.6,-1.0
100,Jeremy Lamb,SG,CHA,5600.0,2.56,17.1,1.7
101,TJ Leaf,PF,IND,3500.0,2.52,0.2,-1.0
102,Jonathan Isaac,SF,ORL,5400.0,2.52,18.1,-1.0
103,Rodney Hood,SG,CLE,4100.0,2.5,32.5,-1.0
104,John Henson,PF,MIL,3700.0,2.5,22.5,-1.0
105,Mike Conley,PG,MEM,7800.0,2.48,31.5,-1.0
106,Royce O'Neale,SF,UTA,3500.0,2.4,17.9,-1.0
107,Justise Winslow,SF,MIA,4600.0,2.28,29.5,1.5
108,Matthew Dellavedova,PG,MIL,3500.0,2.28,4.7,-1.0
109,Terrence Ross,SG,ORL,4200.0,2.24,13.2,-1.0
110,Collin Sexton,PG,CLE,3900.0,2.2,20.2,-1.0
111,Jonathon Simmons,SF,ORL,3800.0,2.14,23.3,-1.0
112,Rudy Gobert,C1B,UTA,8100.0,2.11,56.8,1.7
113,Pat Connaughton,SG,MIL,3500.0,2.1,20.7,-1.0
114,Sterling Brown,SG,MIL,3500.0,2.06,2.8,-1.0
115,Derrick Favors,PF,UTA,5300.0,2.04,23.4,1.4
116,Bam Adebayo,C1B,MIA,4400.0,1.99,12.2,-1.0
117,Grayson Allen,SG,UTA,3500.0,1.98,4.2,-1.0
118,Kentavious Caldwell-Pope,SG,LAL,3700.0,1.94,7.7,-1.0
119,Duncan Robinson,SG,MIA,3500.0,1.92,0.0,0.0
120,Jusuf Nurkic,C1B,POR,7500.0,1.91,16.4,-1.0
121,Marc Gasol,C1B,MEM,7400.0,1.87,40.1,-1.0
122,Malcolm Brogdon,SG,MIL,5500.0,1.82,21.8,-1.0
123,Mohamed Bamba,C1B,ORL,4200.0,1.81,14.2,-1.0
124,Shelvin Mack,PG,MEM,4100.0,1.72,20.0,-1.0
125,Quincy Pondexter,SG,SA,3500.0,1.68,0.0,0.0
126,Julius Randle,C1B,NO,6900.0,1.67,18.6,-1.0
127,Glenn III,SF,DET,3500.0,1.62,4.4,-1.0
128,MarShon Brooks,SG,MEM,3600.0,1.6,23.1,-1.0
129,Landry Shamet,PG,PHI,3500.0,1.56,4.0,-1.0
130,Cody Zeller,C1B,CHA,4500.0,1.55,21.2,-1.0
131,Chandler Hutchison,SF,CHI,3500.0,1.44,13.8,-1.0
132,JR Smith,SG,CLE,3500.0,1.42,0.0,-1.0
133,Brook Lopez,C1B,MIL,5800.0,1.42,15.2,1.1
134,Johnathan Williams,PF,LAL,3600.0,1.38,13.3,-1.0
135,Vince Carter,SG,ATL,3600.0,1.38,20.9,-1.0
136,Langston Galloway,SG,DET,3600.0,1.38,11.6,-1.0
137,Channing Frye,PF,CLE,3500.0,1.34,0.0,0.0
138,Pau Gasol,C1B,SA,4000.0,1.27,24.4,-1.0
139,Alec Burks,SG,UTA,3500.0,1.26,15.9,-1.0
140,Amir Johnson,PF,PHI,3600.0,1.24,5.9,-1.0
141,Maurice Harkless,SF,POR,3800.0,1.24,17.3,-1.0
142,Cory Joseph,PG,IND,4400.0,1.24,28.5,-1.0
143,Miles Bridges,SF,CHA,3600.0,1.18,18.4,-1.0
144,Ryan Arcidiacono,PG,CHI,3700.0,1.18,33.9,-1.0
145,Jeremy Lin,PG,ATL,3500.0,1.16,10.3,-1.0
146,George Hill,PG,CLE,4800.0,1.16,26.4,-1.0
147,Marcus Smart,SG,BOS,4200.0,1.1,25.3,-1.0
148,Kyle Korver,SG,CLE,3500.0,1.04,5.0,-1.0
149,Zaza Pachulia,C1B,DET,3800.0,1.04,7.0,-1.0
150,Seth Curry,PG,POR,3500.0,1.02,3.7,-1.0
