Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Nikola Mirotic,SF,MIL,5200.0,65.8,0
1,Kawhi Leonard,SF,TOR,10500.0,59.42,0
2,Giannis Antetokounmpo,SF,MIL,12000.0,57.2,0
3,Stephen Curry,PG,GS,9800.0,47.82,0
4,CJ McCollum,SG,POR,8400.0,47.34,0
5,Kyle Lowry,PG,TOR,6900.0,42.54,0
6,Draymond Green,PF,GS,8600.0,40.56,0
7,Serge Ibaka,PF,TOR,5100.0,37.12,0
8,Pascal Siakam,PF,TOR,7600.0,33.04,0
9,Klay Thompson,SG,GS,7800.0,32.78,0
10,Zach Collins,PF,POR,5000.0,32.68,0
11,Danny Green,SG,TOR,4700.0,32.38,0
12,Damian Lillard,PG,POR,9300.0,31.12,0
13,Al-Farouq Aminu,PF,POR,4000.0,28.02,0
14,Eric Bledsoe,PG,MIL,5500.0,27.36,0
15,Ersan Ilyasova,PF,MIL,4200.0,26.78,0
16,Marc Gasol,C1B,TOR,5700.0,25.7,0
17,Khris Middleton,SG,MIL,7500.0,25.24,0
18,George Hill,PG,MIL,5000.0,24.98,0
19,Kevon Looney,PF,GS,4600.0,23.02,0
20,Andre Iguodala,SG,GS,6500.0,22.44,0
21,Seth Curry,PG,POR,3800.0,22.06,0
22,Brook Lopez,C1B,MIL,4500.0,19.31,0
23,Maurice Harkless,SF,POR,4500.0,18.34,0
24,Pat Connaughton,SG,MIL,5000.0,18.16,0
25,Malcolm Brogdon,SG,MIL,5100.0,18.12,0
26,Rodney Hood,SF,POR,4900.0,15.92,0
27,Fred VanVleet,PG,TOR,3500.0,15.76,0
28,Enes Kanter,C1B,POR,5300.0,12.53,0
29,OG Anunoby,SF,TOR,3500.0,11.34,0
30,Evan Turner,SF,POR,4100.0,8.54,0
31,Shaun Livingston,PG,GS,3600.0,8.52,0
32,Norman Powell,SF,TOR,3500.0,5.64,0
33,Alfonzo McKinnie,SF,GS,3500.0,3.44,0
34,Meyers Leonard,PF,POR,3500.0,3.08,0
35,Andrew Bogut,C1B,GS,3500.0,2.99,0
36,Jonas Jerebko,PF,GS,3500.0,2.48,0
37,Jordan Bell,C1B,GS,3600.0,1.76,0
38,DJ Wilson,PF,MIL,3500.0,1.68,0
