Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
89,Miles Bridges,SF,CHA,5500.0,3.6,26.5,-1.0
90,Shai Gilgeous-Alexander,PG,LAC,5700.0,3.48,23.8,-1.0
91,Kenrich Williams,SF,NO,5000.0,3.42,24.5,-1.0
92,Jamal Murray,PG,DEN,7000.0,3.18,44.1,1.6
93,Jahlil Okafor,C1B,NO,3500.0,3.07,2.6,-1.0
94,PJ Tucker,PF,HOU,4500.0,3.04,0.0,-1.0
95,Dwyane Wade,SG,MIA,5100.0,3.02,46.9,1.7
96,Gary Harris,SF,DEN,4800.0,3.02,6.6,-1.0
97,Larry Jr,PF,CLE,6900.0,3.0,0.0,1.1
98,Jeff Green,SF,WAS,4400.0,2.94,7.4,-1.0
99,Josh Okogie,SG,MIN,5100.0,2.9,30.3,-1.0
100,Ante Zizic,C1B,CLE,4400.0,2.86,0.0,0.0
101,Dion Waiters,SG,MIA,4200.0,2.78,33.2,-1.0
102,Marquese Chriss,PF,CLE,3500.0,2.76,8.4,-1.0
103,Willie Cauley-Stein,C1B,SAC,6500.0,2.72,30.4,1.2
104,JaMychal Green,PF,LAC,3500.0,2.7,18.2,-1.0
105,Marcus Smart,SG,BOS,5100.0,2.68,45.2,-1.0
106,Terrence Ross,SG,ORL,5600.0,2.68,21.3,-1.0
107,Jordan Clarkson,SG,CLE,5600.0,2.64,27.9,-1.0
108,Robin Lopez,C1B,CHI,5000.0,2.48,17.3,-1.0
109,Trevor Ariza,SF,WAS,4800.0,2.48,6.0,-1.0
110,Kelly Olynyk,PF,MIA,5100.0,2.48,7.1,-1.0
111,Ryan Broekhoff,PF,DAL,3500.0,2.42,12.2,-1.0
112,Norman Powell,SF,TOR,3900.0,2.4,25.1,-1.0
113,Jakob Poeltl,C1B,SA,4900.0,2.35,0.0,0.0
114,Danny Green,SG,TOR,4500.0,2.3,16.4,-1.0
115,Daniel Theis,PF,BOS,3600.0,2.26,0.2,-1.0
116,Devonte' Graham,PG,CHA,3800.0,2.26,17.7,-1.0
