Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
89,Mason Plumlee,C1B,DEN,6200.0,3.67,22.9,-1.0
90,Dario Saric,PF,MIN,4700.0,3.66,0.0,-1.0
91,Danny Green,SG,TOR,4500.0,3.58,10.8,-1.0
92,Jamal Murray,PG,DEN,7400.0,3.54,41.7,1.7
93,Reggie Bullock,SG,DET,4800.0,3.52,18.6,-1.0
94,DeAndre Jordan,C1B,DAL,7500.0,3.36,37.5,-1.0
95,Cedi Osman,SF,CLE,4600.0,3.34,21.5,-1.0
96,Jaron Blossomgame,SF,CLE,3600.0,3.26,28.0,-1.0
97,Ian Mahinmi,C1B,WAS,3700.0,2.99,13.6,-1.0
98,Pau Gasol,C1B,SA,4400.0,2.97,0.0,0.0
99,Jonathan Isaac,SF,ORL,4600.0,2.96,31.6,-1.0
100,Tim Frazier,PG,NO,4000.0,2.94,15.3,-1.0
101,Derrick Jr,SF,MIA,3600.0,2.86,0.0,-1.0
102,DeAndre' Bembry,SF,ATL,3800.0,2.84,26.6,-1.0
103,Dwyane Wade,SG,MIA,5100.0,2.8,28.2,1.7
104,Shai Gilgeous-Alexander,PG,LAC,5000.0,2.78,10.2,-1.0
105,DeMarre Carroll,SF,BKN,3900.0,2.74,31.6,-1.0
106,Dewayne Dedmon,C1B,ATL,6400.0,2.69,34.6,1.5
107,Lance Stephenson,SF,LAL,4800.0,2.68,9.4,-1.0
108,Ryan Arcidiacono,PG,CHI,3700.0,2.66,11.4,-1.0
109,Jonathon Simmons,SF,ORL,3500.0,2.64,13.8,-1.0
110,Evan Fournier,SG,ORL,5700.0,2.62,17.1,-1.0
111,Avery Bradley,SG,LAC,4100.0,2.48,20.5,-1.0
112,Bryn Forbes,PG,SA,4800.0,2.48,24.1,-1.0
113,DJ Augustin,PG,ORL,5000.0,2.42,0.0,-1.0
114,Kelly Olynyk,PF,MIA,4000.0,2.42,14.9,-1.0
115,Thomas Bryant,C1B,WAS,4400.0,2.42,36.6,1.4
116,Omari Spellman,PF,ATL,3500.0,2.36,0.0,0.0
117,Dwight Powell,PF,DAL,3800.0,2.36,21.1,-1.0
118,Jalen Brunson,PG,DAL,4100.0,2.32,0.0,0.0
119,Tyson Chandler,C1B,LAL,3800.0,2.31,31.5,-1.0
120,Ed Davis,PF,BKN,4000.0,2.3,24.7,-1.0
121,Isaac Bonga,SF,LAL,3500.0,2.28,0.0,0.0
122,Alex Poythress,PF,ATL,3500.0,2.22,23.5,-1.0
123,Josh Jackson,PF,PHO,4700.0,2.22,15.8,-1.0
124,Dennis Schroder,SG,OKC,5600.0,2.22,0.0,1.5
125,Cory Joseph,PG,IND,4200.0,2.2,12.6,-1.0
126,Jeremy Lin,PG,ATL,4200.0,2.16,21.6,-1.0
127,Hassan Whiteside,C1B,MIA,8000.0,2.14,24.3,-1.0
128,Shaquille Harrison,PG,CHI,3600.0,2.12,13.5,-1.0
129,Torrey Craig,SG,DEN,4400.0,2.12,21.7,-1.0
130,Richaun Holmes,PF,PHO,4400.0,2.08,17.1,-1.0
131,Brandon Goodwin,PG,DEN,3500.0,2.04,1.5,-1.0
132,Kevin Huerter,SG,ATL,4500.0,1.94,23.3,-1.0
133,Ron Baker,SG,WAS,3500.0,1.9,1.7,-1.0
134,Bam Adebayo,PF,MIA,4200.0,1.88,35.3,-1.0
135,Michael Kidd-Gilchrist,SF,CHA,3900.0,1.76,9.2,-1.0
136,Dorian Finney-Smith,SF,DAL,3600.0,1.68,3.6,-1.0
137,Miles Bridges,SF,CHA,3500.0,1.68,0.0,-1.0
138,Justin Anderson,SG,ATL,3500.0,1.68,9.6,-1.0
139,Chris Boucher,PF,TOR,3500.0,1.64,19.2,-1.0
140,Kentavious Caldwell-Pope,SG,LAL,3800.0,1.54,19.3,-1.0
141,Patrick Beverley,PG,LAC,4100.0,1.48,13.6,-1.0
142,Solomon Hill,SF,NO,3700.0,1.44,18.3,-1.0
143,Marco Belinelli,SG,SA,3700.0,1.38,16.6,-1.0
144,Langston Galloway,SG,DET,3800.0,1.34,7.7,-1.0
145,De'Anthony Melton,PG,PHO,4000.0,1.32,13.6,-1.0
146,Vince Carter,SF,ATL,3600.0,1.3,18.1,-1.0
147,Jared Dudley,SF,BKN,3600.0,1.28,15.5,-1.0
148,Luke Kennard,SG,DET,3600.0,1.26,19.4,-1.0
149,Terrence Ross,SG,ORL,4800.0,1.24,17.8,-1.0
150,Jamal Crawford,SG,PHO,4200.0,1.22,15.0,-1.0
151,Stanley Johnson,SF,DET,3600.0,1.18,13.8,-1.0
152,Jon Leuer,PF,DET,3500.0,1.16,9.5,-1.0
153,Matthew Dellavedova,PG,CLE,3600.0,1.14,11.5,-1.0
154,Malik Monk,SG,CHA,3600.0,1.08,6.5,-1.0
155,Devin Harris,PG,DAL,3700.0,1.04,7.5,-1.0
156,Elie Okobo,PG,PHO,3500.0,1.04,0.0,0.0
157,Tony Parker,PG,CHA,3700.0,1.04,26.2,-1.0
