Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Stephen Curry,PG,GS,10300.0,64.04,0
1,Kawhi Leonard,SF,TOR,10500.0,62.04,0
2,Giannis Antetokounmpo,SF,MIL,12000.0,51.98,0
3,Draymond Green,PF,GS,9500.0,48.22,0
4,Nikola Mirotic,SF,MIL,5300.0,44.82,0
5,CJ McCollum,SG,POR,7700.0,40.18,0
6,Malcolm Brogdon,SG,MIL,6200.0,36.72,0
7,Klay Thompson,SG,GS,8000.0,36.18,0
8,Kevon Looney,PF,GS,5400.0,35.94,0
9,Danny Green,SG,TOR,4400.0,35.2,0
10,Damian Lillard,PG,POR,9000.0,34.58,0
11,Pascal Siakam,PF,TOR,7400.0,34.04,0
12,Eric Bledsoe,PG,MIL,5700.0,33.6,0
13,Kyle Lowry,PG,TOR,7200.0,32.24,0
14,Brook Lopez,C1B,MIL,5600.0,30.72,0
15,Serge Ibaka,PF,TOR,4600.0,30.5,0
16,Maurice Harkless,SF,POR,5000.0,26.56,0
17,Zach Collins,PF,POR,4500.0,25.42,0
18,George Hill,PG,MIL,5200.0,23.8,0
19,Marc Gasol,C1B,TOR,6000.0,22.95,0
20,Seth Curry,PG,POR,4800.0,22.24,0
21,Ersan Ilyasova,PF,MIL,4700.0,20.44,0
22,Khris Middleton,SG,MIL,7300.0,20.34,0
23,Al-Farouq Aminu,PF,POR,4200.0,19.44,0
24,Enes Kanter,C1B,POR,4900.0,17.74,0
25,Rodney Hood,SF,POR,4500.0,16.4,0
26,Damian Jones,C1B,GS,3500.0,13.64,0
27,Pat Connaughton,SG,MIL,4700.0,12.48,0
28,Fred VanVleet,PG,TOR,3500.0,11.92,0
29,Norman Powell,SF,TOR,3800.0,9.24,0
30,Evan Turner,SF,POR,3900.0,9.18,0
31,Jonas Jerebko,PF,GS,3600.0,7.4,0
32,Jordan Bell,C1B,GS,4000.0,5.73,0
33,Meyers Leonard,PF,POR,3700.0,5.28,0
34,Shaun Livingston,PG,GS,3500.0,4.94,0
35,Andrew Bogut,C1B,GS,3500.0,4.17,0
36,Alfonzo McKinnie,SF,GS,3500.0,3.24,0
37,DJ Wilson,PF,MIL,3500.0,1.3,0
