Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,James Harden,SG,HOU,14000.0,41.18,46.9,2.7
1,Fred VanVleet,PG,TOR,4500.0,16.28,16.8,-1.0
2,D'Angelo Russell,SG,BKN,8800.0,15.68,17.6,-1.0
3,Otto Jr,SF,WAS,7100.0,15.62,0.0,-1.0
4,Blake Griffin,PF,DET,10100.0,14.96,46.4,2.2
5,Nikola Vucevic,C1B,ORL,10200.0,14.26,40.3,2.3
6,Pascal Siakam,PF,TOR,6200.0,13.78,38.9,1.6
7,Larry Jr,PF,CLE,5000.0,12.96,0.0,1.0
8,Kyle Lowry,PG,TOR,7500.0,12.1,29.3,-1.0
9,Giannis Antetokounmpo,SF,MIL,11500.0,12.02,71.3,2.8
10,Zaza Pachulia,C1B,DET,4300.0,11.24,6.4,-1.0
11,Serge Ibaka,PF,TOR,6700.0,11.24,25.8,1.5
12,Karl-Anthony Towns,C1B,MIN,11100.0,10.96,60.0,2.0
13,Luka Doncic,SG,DAL,9000.0,10.84,58.6,-1.0
14,Tyler Johnson,PG,MIA,4900.0,10.84,24.4,-1.0
15,Royce O'Neale,SF,UTA,4500.0,10.62,16.4,-1.0
16,Devin Booker,SG,PHO,8300.0,10.52,38.8,-1.0
17,Dragan Bender,PF,PHO,4600.0,9.86,24.0,-1.0
18,Donovan Mitchell,SG,UTA,8500.0,9.8,51.9,-1.0
19,PJ Tucker,PF,HOU,5100.0,9.6,0.0,-1.0
20,Eric Bledsoe,PG,MIL,7700.0,9.38,31.3,-1.0
21,Kemba Walker,PG,CHA,8800.0,9.2,27.9,2.3
22,Jonathan Isaac,SF,ORL,5300.0,9.14,19.1,-1.0
23,Bobby Portis,PF,CHI,5300.0,8.96,36.5,-1.0
24,Kelly Jr,SF,PHO,6000.0,8.86,0.0,-1.0
25,Bradley Beal,SG,WAS,10100.0,8.72,47.7,2.3
26,Ante Zizic,C1B,CLE,5400.0,7.93,0.0,-1.0
27,Jamal Murray,PG,DEN,6900.0,7.8,22.9,1.6
28,Tobias Harris,SF,LAC,7900.0,7.72,38.1,-1.0
29,DJ Augustin,PG,ORL,4900.0,7.64,0.0,-1.0
30,Ersan Ilyasova,PF,MIL,3600.0,7.4,4.4,-1.0
31,Noah Vonleh,PF,NY,5900.0,7.4,48.1,1.1
32,Kawhi Leonard,SF,TOR,10300.0,7.22,47.9,2.2
33,Justise Winslow,SF,MIA,6400.0,7.18,39.4,1.5
34,Norman Powell,SF,TOR,3800.0,7.02,18.9,-1.0
35,Mike Conley,PG,MEM,8400.0,7.0,41.7,-1.0
36,Jae Crowder,SF,UTA,5200.0,6.76,14.4,-1.0
37,Buddy Hield,SG,SAC,6000.0,6.64,37.4,1.7
38,Maxi Kleber,PF,DAL,3700.0,6.56,32.1,-1.0
39,Taj Gibson,PF,MIN,4500.0,6.48,13.3,-1.0
40,De'Aaron Fox,PG,SAC,7600.0,6.34,32.7,-1.0
41,Jaren Jr,PF,MEM,6000.0,6.14,0.0,-1.0
42,Zach LaVine,SG,CHI,7200.0,6.0,41.3,-1.0
43,Kenneth Faried,PF,HOU,6200.0,5.98,43.8,-1.0
44,Kris Dunn,PG,CHI,7400.0,5.96,37.8,-1.0
45,Lauri Markkanen,PF,CHI,7200.0,5.78,34.6,-1.0
46,Evan Fournier,SG,ORL,5800.0,5.54,5.7,-1.0
47,Montrezl Harrell,PF,LAC,7200.0,5.38,14.3,1.7
48,Harrison Barnes,SF,DAL,5500.0,5.36,19.3,-1.0
49,Aaron Gordon,PF,ORL,6600.0,5.34,44.2,1.7
50,Josh Jackson,PF,PHO,5300.0,5.3,30.6,-1.0
51,Lou Williams,SG,LAC,6500.0,5.22,61.0,1.7
52,Shai Gilgeous-Alexander,PG,LAC,4300.0,5.14,11.5,-1.0
53,Andrew Wiggins,SG,MIN,6300.0,5.12,39.7,1.7
54,Malcolm Brogdon,SG,MIL,6200.0,5.1,28.5,-1.0
55,Mikal Bridges,SF,PHO,4200.0,4.86,21.7,-1.0
56,Rodions Kurucs,PF,BKN,4100.0,4.84,14.1,-1.0
57,Justin Holiday,SG,MEM,4900.0,4.8,17.6,-1.0
58,Jeremy Lamb,SG,CHA,5600.0,4.78,22.3,1.6
59,Jalen Brunson,PG,DAL,3900.0,4.76,0.0,0.0
60,Khris Middleton,SG,MIL,6500.0,4.74,29.0,1.7
61,Austin Rivers,SG,HOU,4500.0,4.7,33.0,-1.0
62,Chandler Hutchison,SF,CHI,4200.0,4.7,31.4,-1.0
63,Harry III,PF,SAC,3800.0,4.44,0.0,-1.0
64,JaMychal Green,PF,MEM,4700.0,4.44,24.3,-1.0
65,DeAndre Jordan,C1B,DAL,7700.0,4.22,32.2,-1.0
