Unnamed: 0,Player,Pos,Team,Salary,Ownership,Score,ExpectedGame
0,LeBron James,SF,LAL,11400.0,46.68,57.0,2.8
1,Rajon Rondo,PG,LAL,7400.0,45.68,24.7,-1.0
2,Bradley Beal,SG,WAS,10600.0,32.12,64.5,2.1
3,Alex Len,C1B,ATL,4700.0,29.52,21.8,1.6
4,Trae Young,PG,ATL,8300.0,27.92,52.5,-1.0
5,Kemba Walker,PG,CHA,8900.0,24.5,34.6,2.3
6,Tyus Jones,PG,MIN,3600.0,21.2,15.6,-1.0
7,Eric Bledsoe,PG,MIL,7300.0,20.5,28.1,-1.0
8,Kyrie Irving,PG,BOS,9500.0,20.22,56.9,1.9
9,Giannis Antetokounmpo,SF,MIL,12100.0,20.16,51.6,2.8
10,Gordon Hayward,SF,BOS,5100.0,18.56,21.4,1.2
11,Jayson Tatum,PF,BOS,6500.0,18.44,19.5,1.5
12,Nicolas Batum,SF,CHA,6100.0,17.84,27.6,-1.0
13,D'Angelo Russell,SG,BKN,9100.0,17.64,32.6,-1.0
14,Kent Bazemore,SG,ATL,5400.0,17.48,8.8,1.4
15,Marcus Morris,PF,BOS,4900.0,15.38,30.4,-1.0
16,Chasson Randle,SG,WAS,3500.0,15.32,0.0,0.0
17,Jeremy Lamb,SG,CHA,6600.0,14.86,23.3,1.7
18,Jabari Parker,SF,WAS,5800.0,14.82,30.1,-1.0
19,Karl-Anthony Towns,C1B,MIN,11600.0,13.98,69.0,2.2
20,Khris Middleton,SG,MIL,7600.0,12.82,19.7,1.7
21,Jaylen Brown,SG,BOS,4900.0,11.7,21.1,-1.0
22,Tyler Johnson,PG,PHO,5600.0,11.64,34.9,-1.0
23,Jeff Green,SF,WAS,4500.0,11.46,25.0,-1.0
24,Devin Booker,SG,PHO,9300.0,11.28,34.9,-1.0
25,Kelly Jr,SF,PHO,7500.0,11.26,0.0,-1.0
26,Maurice Harkless,SF,POR,6000.0,10.82,25.4,-1.0
27,Tomas Satoransky,PG,WAS,6300.0,10.72,0.0,-1.0
28,DeAndre' Bembry,SF,ATL,4500.0,10.02,11.4,-1.0
29,Trevor Ariza,SF,WAS,6200.0,10.0,38.6,-1.0
30,Derrick Rose,PG,MIN,5300.0,9.3,38.1,-1.0
31,Nikola Mirotic,SF,MIL,5400.0,9.26,34.7,-1.0
32,Damian Lillard,PG,POR,10300.0,9.24,33.9,2.0
33,Bobby Portis,PF,WAS,6300.0,9.22,36.9,-1.0
34,Marvin Williams,PF,CHA,5200.0,9.0,19.6,-1.0
35,CJ McCollum,SG,POR,8000.0,8.92,40.6,1.6
36,Jeff Teague,PG,MIN,6700.0,8.9,22.2,-1.0
37,Frank Kaminsky,PF,CHA,4400.0,8.78,23.2,-1.0
38,Marcus Smart,SG,BOS,5500.0,8.78,28.9,-1.0
39,Taj Gibson,PF,MIN,4800.0,8.48,30.6,-1.0
40,Miles Bridges,SF,CHA,3600.0,8.34,25.2,-1.0
41,Terry Rozier,PG,BOS,6400.0,7.98,19.6,-1.0
42,Taurean Prince,SF,ATL,5000.0,7.72,24.6,-1.0
43,John Collins,PF,ATL,7900.0,7.66,62.8,-1.0
44,Cody Zeller,C1B,CHA,5700.0,7.6,18.6,-1.0
45,Kevin Huerter,SG,ATL,4100.0,7.42,10.5,-1.0
46,Caris LeVert,SG,BKN,6300.0,7.42,10.5,-1.0
47,Dario Saric,PF,MIN,4300.0,6.54,0.0,-1.0
48,Thomas Bryant,C1B,WAS,4500.0,6.4,18.8,1.4
49,Al-Farouq Aminu,PF,POR,4900.0,6.36,15.4,-1.0
50,Deandre Ayton,C1B,PHO,8100.0,6.08,32.1,-1.0
51,Pat Connaughton,SG,MIL,4600.0,6.0,5.6,-1.0
52,Malcolm Brogdon,SG,MIL,6400.0,6.0,28.6,-1.0
