Unnamed: 0,Player,Pos,Team,Salary,Ownership,ExpectedGame
0,Stephen Curry,PG,GS,10300.0,64.04,0
1,Giannis Antetokounmpo,SF,MIL,12000.0,57.9,0
2,Kawhi Leonard,SF,TOR,10300.0,56.18,0
3,Nikola Mirotic,SF,MIL,5200.0,53.2,0
4,Draymond Green,PF,GS,8900.0,48.22,0
5,CJ McCollum,SG,POR,7900.0,40.18,0
6,Kyle Lowry,PG,TOR,7400.0,37.04,0
7,Klay Thompson,SG,GS,7700.0,36.18,0
8,Kevon Looney,PF,GS,5300.0,35.94,0
9,Pascal Siakam,PF,TOR,7300.0,35.66,0
10,Danny Green,SG,TOR,4300.0,34.9,0
11,Damian Lillard,PG,POR,9400.0,34.58,0
12,Serge Ibaka,PF,TOR,4500.0,33.12,0
13,Malcolm Brogdon,SG,MIL,5700.0,32.32,0
14,Eric Bledsoe,PG,MIL,5400.0,29.1,0
15,Maurice Harkless,SF,POR,4900.0,26.9,0
16,Khris Middleton,SG,MIL,7200.0,25.5,0
17,Zach Collins,PF,POR,4500.0,25.42,0
18,Marc Gasol,C1B,TOR,6200.0,24.44,0
19,Brook Lopez,C1B,MIL,5500.0,24.36,0
20,Ersan Ilyasova,PF,MIL,4700.0,23.26,0
21,George Hill,PG,MIL,5300.0,23.1,0
22,Seth Curry,PG,POR,4800.0,22.24,0
23,Al-Farouq Aminu,PF,POR,4000.0,19.66,0
24,Enes Kanter,C1B,POR,5200.0,17.74,0
25,Andre Iguodala,SG,GS,6000.0,16.56,0
26,Rodney Hood,SF,POR,4700.0,16.4,0
27,Pat Connaughton,SG,MIL,5000.0,16.16,0
28,Damian Jones,C1B,GS,3500.0,13.07,0
29,Fred VanVleet,PG,TOR,3500.0,10.88,0
30,Evan Turner,SF,POR,3900.0,9.18,0
31,Jonas Jerebko,PF,GS,3600.0,7.4,0
32,Jordan Bell,C1B,GS,4200.0,6.05,0
33,Meyers Leonard,PF,POR,3600.0,5.34,0
34,Shaun Livingston,PG,GS,3600.0,4.94,0
35,Norman Powell,SF,TOR,3700.0,4.42,0
36,Alfonzo McKinnie,SF,GS,3500.0,3.08,0
37,Sterling Brown,SG,MIL,3500.0,2.34,0
